region,month,perc
Addis Ababa,0,0.2804486
Addis Ababa,1,0
Addis Ababa,2,0.4280513
Addis Ababa,3,0.5819274
Addis Ababa,4,0.7363533
Addis Ababa,5,0.7753635
Addis Ababa,6,0.8967487
Addis Ababa,7,0.9451912
Addis Ababa,8,0.7157481
Addis Ababa,9,0.7606989
Addis Ababa,10,0.6545089
Addis Ababa,11,0.491917
Addis Ababa,12,0.9371189
Addis Ababa,13,0.4345163
Addis Ababa,14,0.718272
Addis Ababa,15,0.5769147
Addis Ababa,16,0.5983957
Addis Ababa,17,1
Addis Ababa,18,0.7650677
Addis Ababa,19,0.7391624
Addis Ababa,20,0.6923765
Addis Ababa,21,0.7672215
Addis Ababa,22,1
Addis Ababa,23,0.7470624
Afar,0,0
Afar,1,0.3223262
Afar,2,0.6493627
Afar,3,0.4746272
Afar,4,0.9809865
Afar,5,0.7868865
Afar,6,0.8223376
Afar,7,0.6789928
Afar,8,0.7423513
Afar,9,0.7324598
Afar,10,0.7412934
Afar,11,0.6886834
Afar,12,0.6908301
Afar,13,0.6040435
Afar,14,0.7196817
Afar,15,0.8518509
Afar,16,0.6400381
Afar,17,0.820258
Afar,18,0.5683755
Afar,19,0.7129655
Afar,20,0.6568757
Afar,21,0.4463903
Afar,22,1
Afar,23,1
Amhara,0,0.3387818
Amhara,1,0.4372472
Amhara,2,0.5614647
Amhara,3,0.65269
Amhara,4,0.7673594
Amhara,5,0.6759703
Amhara,6,0.7347912
Amhara,7,0.7907014
Amhara,8,0.9111799
Amhara,9,0.6272359
Amhara,10,0.8331559
Amhara,11,0.8064375
Amhara,12,0.8994676
Amhara,13,1
Amhara,14,0.9637834
Amhara,15,0.8516251
Amhara,16,0.8936795
Amhara,17,0.83398
Amhara,18,0.7160442
Amhara,19,0.7807041
Amhara,20,0.8707079
Amhara,21,0.9169371
Amhara,22,0.9305917
Amhara,23,0.6328865
Benishangul-Gumuz,0,0.1681034
Benishangul-Gumuz,1,0.2217912
Benishangul-Gumuz,2,0.6564353
Benishangul-Gumuz,3,0.9223433
Benishangul-Gumuz,4,0.7725343
Benishangul-Gumuz,5,0.8492458
Benishangul-Gumuz,6,0.8336415
Benishangul-Gumuz,7,0.9218911
Benishangul-Gumuz,8,0.5644177
Benishangul-Gumuz,9,0.8411147
Benishangul-Gumuz,10,0.8926165
Benishangul-Gumuz,11,0.8030505
Benishangul-Gumuz,12,0.8460035
Benishangul-Gumuz,13,0.950196
Benishangul-Gumuz,14,0.9155294
Benishangul-Gumuz,15,1
Benishangul-Gumuz,16,0.582251
Benishangul-Gumuz,17,0.8919627
Benishangul-Gumuz,18,0.7934396
Benishangul-Gumuz,19,0.6494441
Benishangul-Gumuz,20,0.8558342
Benishangul-Gumuz,21,0.8811209
Benishangul-Gumuz,22,0.9242123
Benishangul-Gumuz,23,0.8618504
Dire Dawa,0,0
Dire Dawa,1,0.14895
Dire Dawa,2,0.76252
Dire Dawa,3,0.6538367
Dire Dawa,4,0.7674337
Dire Dawa,5,0.4050001
Dire Dawa,6,0.7729598
Dire Dawa,7,0.8160694
Dire Dawa,8,0.4408882
Dire Dawa,9,0.6916138
Dire Dawa,10,1
Dire Dawa,11,0.6339258
Dire Dawa,12,0.6085146
Dire Dawa,13,0.6785091
Dire Dawa,14,0.5562305
Dire Dawa,15,0.7476011
Dire Dawa,16,0.8710142
Dire Dawa,17,0.4825061
Dire Dawa,18,0.8497725
Dire Dawa,19,0.9190647
Dire Dawa,20,0.7530446
Dire Dawa,21,0.8465058
Dire Dawa,22,0.8907623
Dire Dawa,23,0.7766797
Gambela,0,0.5585877
Gambela,1,0
Gambela,2,0.197882
Gambela,3,0.1273544
Gambela,4,0.1103051
