"afb","Freq"
6,0.061968
10,6.349009
11,37.684362
12,159.727639
13,336.13567
14,664.237806
15,1181.902151
16,1848.629907
17,2637.571022
18,2751.260182
19,2919.810485
20,2617.345643
21,2043.333194
22,1508.334061
23,1238.985847
24,841.643789
25,628.474827
26,466.160143
27,365.690963
28,250.629582
29,159.95374
30,95.960907
31,60.933106
32,47.151375
33,35.845692
34,17.930805
35,17.159067
36,10.849439
37,11.043721
38,0.375456
39,3.080351
40,2.372522
41,2.660788
42,1.214554
43,3.190376
44,0.352102
Inf,8104.95779
