"rhs","Estimate","Std..Error"
"(Intercept)",0.0574821036460924,0.162381154044157
"intent_cat_0no_intent",-0.527137411932102,0.380867226063089
"intent_cat_0User",1.35462148197912,0.287585848759782
"ns(age, knots = c(25, 40))3",-0.135276035220002,0.199261547252532
"intent_cat_0no_intent:buy_decision_major_0",-0.0489023181127244,0.112546598523688
"intent_cat_0no_intent:buy_decision_clothes_0",-0.133600725023435,0.171132149464686
"intent_cat_0User:buy_decision_clothes_0",0.20137769150826,0.155520159367306
"intent_cat_0no_intent:ns(age, knots = c(25, 40))1",-0.135250719020217,0.258612747024494
"intent_cat_0no_intent:ns(age, knots = c(25, 40))2",-1.52485527084249,1.00922257531377
"intent_cat_0User:ns(age, knots = c(25, 40))2",0.131926249331804,0.515835742830719
"intent_cat_0no_intent:ns(age, knots = c(25, 40))3",-0.320915367931605,0.272718333103858
"intent_cat_0no_intent:urban",-0.334498093369655,0.215943114118662
"intent_cat_0User:wealthquintile",0.0195876830876351,0.0279756099422304
"paid_employment_0:savings_0",-0.0590834521965983,0.0861134879925249
"paid_employment_0:ns(age, knots = c(25, 40))1",-0.0866649459142283,0.171914528066879
"decision_wages_0:decide_spending_partner_0",0.0312018099362838,0.0672715686096497
"buy_decision_major_0:ns(age, knots = c(25, 40))1",-0.164003603291957,0.145888000530526
"buy_decision_major_0:ns(age, knots = c(25, 40))2",-0.38765784934404,0.292561626317559
"decide_spending_partner_0:financial_goals_0",0.0125265561767305,0.0432376596040166
"decide_spending_partner_0:ns(age, knots = c(25, 40))3",-0.0139197831486001,0.132869423059537
"decide_spending_partner_0:urban",0.0288714395240833,0.0617219282707586
"buy_decision_clothes_0:ns(age, knots = c(25, 40))1",-0.00107378036645081,0.113732415082332
"buy_decision_clothes_0:ns(age, knots = c(25, 40))3",-0.0908397903457762,0.177626179471853
"buy_decision_clothes_0:edu_attainment",0.00774925704559479,0.00937576150438242
"buy_decision_clothes_0:wealthquintile",0.022676748742216,0.0255095219506851
"savings_0:financial_goals_0",-0.00367683521079055,0.066003896517347
"savings_0:ns(age, knots = c(25, 40))2",-0.173599210686933,0.159147519399437
"financial_info_0:ns(age, knots = c(25, 40))3",-0.0388002001613721,0.123984203505461
"financial_info_0:parity",0.010882190888922,0.0130504696783803
"financial_goals_0:ns(age, knots = c(25, 40))3",-0.264447793297745,0.197425245689291
"decision.making_0:ns(age, knots = c(25, 40))1",-0.00449364287057285,0.0137808143099008
"ns(age, knots = c(25, 40))1:edu_attainment",-0.00670454103506533,0.0154759692551155
"ns(age, knots = c(25, 40))3:parity",-0.113200955596288,0.0510950903763431
"ns(age, knots = c(25, 40))3:wealthquintile",-0.0211386730297655,0.0361346926882188
"edu_attainment:parity",0.00950783829517697,0.00322400050315801
"parity:urban",0.00997349148416932,0.0193843637436875
"parity:wealthquintile",0.00942087857087222,0.00842283627123397
"urban:wealthquintile",0.00854873127133929,0.0107459105257519
