"rhs","Estimate","Std..Error"
"(Intercept)",-1.24300271469779,0.351583118294428
"ns(age, knots = c(25, 40))1",-0.0157788570200145,0.0917400657032885
"intent_cat_0no_intent:decide_spending_partner_0",-0.0403743386133586,0.350650513055125
"intent_cat_0User:financial_info_0",0.218635373263921,0.136110752994663
"buy_decision_major_0:ns(age, knots = c(25, 40))2",-0.778762863302288,0.0212195442785795
"buy_decision_major_0:urban",-0.0475793335314741,0.314618584321773
"buy_decision_daily_0:ns(age, knots = c(25, 40))1",-0.461831323461046,0.182981624999369
"buy_decision_daily_0:edu_attainment",0.0721518011440415,0.00443901913849017
"decision.making_0:ns(age, knots = c(25, 40))1",-0.440165540945367,0.0199497398275941
"parity:wealthquintile",-0.0314372334289983,0.00256482619516594
