age,knot_1,knot_2,knot_3
15,0,0,0
16,-0.017591222,0.064932521,-0.047223651
17,-0.034221109,0.128928381,-0.093766095
18,-0.048928326,0.191050921,-0.138946124
19,-0.060751537,0.25036348,-0.182082531
20,-0.068729408,0.305929398,-0.222494108
21,-0.071900603,0.356812014,-0.259499647
22,-0.069303787,0.402074669,-0.292417941
23,-0.059977624,0.440780701,-0.320567783
24,-0.042960781,0.471993451,-0.343267965
25,-0.017291921,0.494776259,-0.359837279
26,0.017537741,0.508524654,-0.369751937
27,0.060226788,0.513962925,-0.373117817
28,0.109021256,0.512147553,-0.37019822
29,0.162167178,0.504135016,-0.361256443
30,0.21791059,0.490981796,-0.346555784
31,0.274497525,0.47374437,-0.326359542
32,0.330174017,0.45347922,-0.300931015
33,0.383186102,0.431242824,-0.270533502
34,0.431779814,0.408091663,-0.2354303
35,0.474201186,0.385082215,-0.195884709
36,0.508696254,0.363270961,-0.152160026
37,0.533511051,0.343714381,-0.104519549
38,0.546891613,0.327468953,-0.053226578
39,0.547083972,0.315591157,0.001455589
40,0.532334165,0.309137474,0.059263655
41,0.50148974,0.308868292,0.119925193
42,0.455804308,0.314359635,0.183131264
43,0.397132994,0.324891439,0.248563802
44,0.327330926,0.339743638,0.315904739
45,0.248253228,0.358196165,0.38483601
46,0.161755026,0.379528956,0.455039547
47,0.069691447,0.403021943,0.526197285
48,-0.026082384,0.427955063,0.597991155
49,-0.12371134,0.453608247,0.670103093
