year,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49
1950,23.204,162.516,280.063,302.57,293.19,227.261,146.28,41.513
1951,23.285,163.075,281.048,303.054,293.463,227.341,146.137,41.385
1952,23.43,163.818,282.03,303.456,293.69,227.569,145.994,41.467
1953,23.711,165.072,283.08,303.968,294.127,228.138,146.183,41.756
1954,23.964,166.021,283.823,304.218,294.309,228.434,146.152,41.976
1955,24.104,167.111,285.172,305.134,295.067,228.993,146.149,42.044
1956,23.857,169.514,290.105,306.382,296.08,229.636,146.132,41.908
1957,23.529,172.192,295.305,307.801,297.354,230.466,146.557,41.853
1958,23.302,174.502,299.594,308.215,297.784,230.654,146.98,41.791
1959,23.36,174.881,303.063,309.709,299.073,231.444,147.697,41.745
1960,23.546,173.984,305.26,309.941,299.076,231.218,147.404,41.387
1961,23.716,176.936,309.185,312.655,300.392,232.01,147.286,41.202
1962,23.535,175.455,314.074,316.767,301.932,233.197,147.42,41.26
1963,23.099,176.128,318.564,318.75,303.811,234.512,147.73,40.889
1964,22.223,173.259,323.857,321.679,306.615,236.53,148.416,40.549
1965,21.507,174.848,325.494,323.574,307.64,240.071,150.052,40.297
1966,20.892,177.704,324.435,325.618,307.409,242.506,151.255,40.187
1967,20.001,178.971,324.544,325.48,305.056,243.209,151.733,40.149
1968,19.477,177.88,323.433,326.004,303.2,244.546,152.902,40.329
1969,19.667,176.231,322.152,326.518,301.348,245.928,154.066,40.49
1970,18.55,173.13,318.707,327.797,301.153,248.914,156.42,40.594
1971,18.42,179.915,317.557,323.973,295.959,247.894,156.556,40.935
1972,17.247,178.061,317.794,322.649,294.645,246.204,157.129,41.353
1973,15.288,172.556,320.015,323.478,293.241,243.899,157.044,42.11
1974,14.265,167.483,319.853,324.33,292.606,242.849,155.688,42.777
1975,13.981,167.094,318.768,324.068,291.386,241.82,154.682,42.788
1976,13.641,168.764,319.11,321.961,289.395,242.164,151.3,42.618
1977,13.134,166.872,320.567,320.98,288.992,239.57,148.587,42.255
1978,12.881,164.451,320.934,319.006,287.548,236.1,145.331,41.636
1979,12.338,163.053,318.884,317.026,288.07,232.201,141.885,40.852
1980,11.826,159.5,314.871,316.862,286.753,230.838,139.78,40.58
1981,11.135,160.777,314.518,311.131,284.821,227.614,136.664,39.444
1982,11.255,153.416,315.739,311.011,281.388,221.982,131.545,38.226
1983,11.43,146.575,315.0,309.268,278.932,215.474,125.693,36.938
1984,10.936,147.572,310.094,306.791,275.106,207.821,119.467,35.319
1985,10.29,144.819,307.54,303.412,269.85,202.898,117.278,33.366
1986,9.649,140.352,307.871,303.072,263.271,196.959,112.762,32.133
1987,8.436,141.36,307.054,298.741,253.651,189.019,106.939,30.596
1988,7.993,138.553,301.095,294.05,246.106,182.808,102.796,28.788
1989,7.896,136.578,294.113,287.456,239.318,177.867,96.366,27.041
1990,7.008,133.519,285.006,279.702,231.786,173.034,92.224,25.547
1991,7.106,130.196,275.319,270.203,226.483,167.803,87.771,23.713
1992,7.11,126.37,267.246,265.018,220.07,157.442,83.064,22.367
1993,6.442,122.467,266.65,260.065,212.604,146.951,78.491,20.976
1994,6.279,120.488,263.952,253.729,207.3,142.431,75.697,19.212
1995,6.171,119.997,264.257,250.384,204.422,139.578,73.599,17.621
1996,6.641,121.959,258.361,245.362,202.418,139.953,72.025,16.093
1997,6.87,120.947,255.417,243.648,201.728,139.662,71.5,15.103
1998,6.992,122.221,253.908,243.326,199.64,139.205,70.552,14.318
1999,6.646,121.91,251.607,240.517,197.507,136.66,68.177,13.928
2000,6.386,121.104,249.5,238.498,196.62,135.505,67.497,13.506
2001,7.026,123.253,245.277,235.34,194.026,134.681,67.867,12.899
2002,6.856,120.567,242.052,232.216,193.076,133.806,65.447,12.884
2003,6.544,119.028,238.448,228.226,190.793,130.018,63.153,12.742
2004,6.208,118.167,235.915,225.069,188.871,126.227,60.64,12.732
2005,5.81,115.294,234.622,222.117,187.554,124.633,59.43,12.584
2006,5.33,112.795,233.965,219.78,186.772,123.413,58.384,12.44
2007,5.354,113.472,231.0,216.835,185.838,123.079,58.081,12.234
2008,4.773,112.227,228.353,216.123,183.281,121.505,56.021,12.005
2009,4.205,110.195,224.381,213.917,179.148,118.657,53.191,11.792
2010,3.67,108.691,219.083,210.037,173.758,114.77,49.734,11.353
2011,3.141,104.615,215.22,203.234,166.633,109.074,45.35,10.87
2012,2.684,100.219,210.529,195.942,159.633,103.67,41.476,10.187
2013,2.407,95.576,206.213,188.996,153.654,97.518,37.902,9.513
2014,2.175,89.953,203.497,185.82,150.797,92.725,35.335,8.86
2015,1.937,81.864,203.855,185.112,150.037,89.599,32.938,8.211
2016,1.7,73.781,200.663,186.403,147.974,89.134,31.101,7.394
2017,1.51,68.182,196.11,184.676,147.126,88.148,29.731,6.603
2018,1.353,66.659,189.064,180.058,146.371,87.237,30.97,5.857
2019,1.118,63.656,183.026,175.687,143.672,84.61,29.995,5.246
2020,0.988,59.38,180.613,174.303,141.97,83.418,27.88,4.718
2021,0.985,59.513,177.511,172.304,139.191,82.872,26.332,4.284
2022,0.901,57.272,174.958,170.569,137.131,82.656,25.547,3.966
2023,0.822,56.313,172.576,168.045,134.923,80.857,24.769,3.732
