"rhs","Estimate","Std..Error"
"(Intercept)",-3.18997174789996,0.203266372709948
"intent_cat_0User",0.327425181812005,0.41464801384593
"fp_ever_user",3.0408020729964,0.0269821433312368
"intent_cat_0no_intent:buy_decision_major_0",-0.192578917687446,0.144471906946813
"intent_cat_0no_intent:buy_decision_clothes_0",-0.11991477419305,0.187559905682127
"intent_cat_0User:buy_decision_clothes_0",0.0887946555644774,0.0206049753955487
"intent_cat_0User:financial_info_0",0.0237933338132463,0.020550048214644
"intent_cat_0User:ns(age, knots = c(25, 40))1",0.604036920641284,0.07880148353511
"intent_cat_0no_intent:ns(age, knots = c(25, 40))2",-1.94204405756151,0.454712543168303
"intent_cat_0User:ns(age, knots = c(25, 40))2",0.236436375157833,0.00832447447263155
"intent_cat_0User:ns(age, knots = c(25, 40))3",-0.0486262871876638,0.00901284416650706
"intent_cat_0User:parity",0.036101329247393,0.0171298507824363
"intent_cat_0no_intent:urban",-0.106472387457025,0.0353061195919719
"intent_cat_0User:wealthquintile",0.0343510449444934,0.040825712796899
"paid_employment_0:savings_0",-0.0699404662748167,0
"decision_wages_0:buy_decision_major_0",-0.0389591107755316,0.075022035943708
"decision_wages_0:ns(age, knots = c(25, 40))1",-0.115941114150596,0.0374353484908325
"buy_decision_major_0:savings_0",-0.237075023256063,0.358333534303156
"decide_spending_partner_0:fp_ever_user",0.00199342120084556,0.029368216592031
"decide_spending_partner_0:urban",0.00363625416319918,0.226861130042144
"buy_decision_clothes_0:urban",0.0594258541266634,0.00332686967044484
"financial_info_0:fp_ever_user",0.0290548617895564,0.0698693640670701
"financial_info_0:ns(age, knots = c(25, 40))3",-0.0364735395916375,0.00730330098481622
"financial_goals_0:fp_ever_user",0.0455707924615593,6.20071845574737e-05
"fp_ever_user:ns(age, knots = c(25, 40))3",-0.708500625517699,0.00805813419502598
"fp_ever_user:edu_attainment",0.0226209531933247,NA
"fp_ever_user:parity",0.0212066100042907,NA
"ns(age, knots = c(25, 40))3:parity",-0.0922286666473654,NA
"ns(age, knots = c(25, 40))3:urban",-0.215229377719647,NA
"edu_attainment:parity",0.00369423818406977,NA
