year,cpr,mcpr
1990,22.0,15.6
1991,23.3,17.0
1992,24.5,18.4
1993,25.7,19.8
1994,26.6,20.6
1995,27.4,21.4
1996,28.0,22.0
1997,28.5,22.6
1998,28.8,23.0
1999,28.8,23.2
2000,28.6,23.3
2001,28.4,23.3
2002,28.2,23.3
2003,28.2,23.5
2004,28.6,24.2
2005,29.1,25.1
2006,29.8,26.0
2007,30.5,27.0
2008,31.4,28.1
2009,32.6,29.7
2010,34.2,31.6
2011,35.8,33.6
2012,37.6,35.6
2013,39.2,37.5
2014,41.0,39.5
2015,43.2,41.7
2016,43.8,42.3
2017,44.1,42.5
2018,44.4,42.6
2019,45.1,42.9
2020,46.3,43.7
2021,46.5,43.5
2022,46.0,42.6
2023,46.1,42.7
2024,46.2,42.9
2025,46.4,43.2
2026,46.6,43.5
2027,46.9,43.8
2028,47.1,44.1
2029,47.4,44.4
2030,47.7,44.7
