"age","edu","parity","cum.percent"
15,24,"0",0
16,24,"0",0
17,24,"0",0
18,24,"0",0
19,24,"0",0
20,24,"0",0
21,24,"0",0
22,24,"0",0
23,24,"0",0
24,24,"0",0
25,24,"0",0
26,24,"0",0
27,24,"0",0
28,24,"0",0
29,24,"0",0
30,24,"0",0
31,24,"0",0
32,24,"0",0
33,24,"0",0
34,24,"0",0
35,24,"0",0
36,24,"0",0
37,24,"0",0
38,24,"0",0
39,24,"0",0
40,24,"0",0
41,24,"0",0
42,24,"0",0
43,24,"0",0
44,24,"0",0
45,24,"0",0
46,24,"0",0
47,24,"0",0
48,24,"0",0
49,24,"0",0
15,24,"1",0
16,24,"1",0
17,24,"1",0
18,24,"1",0
19,24,"1",0
20,24,"1",0
21,24,"1",0
22,24,"1",0
23,24,"1",0
24,24,"1",0
25,24,"1",0
26,24,"1",0
27,24,"1",0
28,24,"1",0
29,24,"1",0
30,24,"1",0
31,24,"1",0
32,24,"1",0
33,24,"1",0
34,24,"1",0
35,24,"1",0
36,24,"1",0
37,24,"1",0
38,24,"1",0
39,24,"1",0
40,24,"1",0
41,24,"1",0
42,24,"1",0
43,24,"1",0
44,24,"1",0
45,24,"1",0
46,24,"1",0
47,24,"1",0
48,24,"1",0
49,24,"1",0
15,24,"2",0
16,24,"2",0
17,24,"2",0
18,24,"2",0
19,24,"2",0
20,24,"2",0
21,24,"2",0
22,24,"2",0
23,24,"2",0
24,24,"2",0
25,24,"2",0
26,24,"2",0
27,24,"2",0
28,24,"2",0
29,24,"2",0
30,24,"2",0
31,24,"2",0
32,24,"2",0
33,24,"2",0
34,24,"2",0
35,24,"2",0
36,24,"2",0
37,24,"2",0
38,24,"2",0
39,24,"2",0
40,24,"2",0
41,24,"2",0
42,24,"2",0
43,24,"2",0
44,24,"2",0
45,24,"2",0
46,24,"2",0
47,24,"2",0
48,24,"2",0
49,24,"2",0
15,24,"3",NA
16,24,"3",NA
17,24,"3",0
18,24,"3",0
19,24,"3",0
20,24,"3",0
21,24,"3",0
22,24,"3",0
23,24,"3",0
24,24,"3",0
25,24,"3",0
26,24,"3",0
27,24,"3",0
28,24,"3",0
29,24,"3",0
30,24,"3",0
31,24,"3",0
32,24,"3",0
33,24,"3",0
34,24,"3",0.00132963681832477
35,24,"3",0
36,24,"3",0
37,24,"3",0
38,24,"3",0
39,24,"3",0
40,24,"3",0
41,24,"3",0
42,24,"3",0
43,24,"3",0
44,24,"3",0
45,24,"3",0
46,24,"3",0
47,24,"3",0
48,24,"3",0
49,24,"3",0
15,24,"4",NA
16,24,"4",NA
17,24,"4",NA
18,24,"4",NA
19,24,"4",0
20,24,"4",0
21,24,"4",0
22,24,"4",0
23,24,"4",0
24,24,"4",0
25,24,"4",0
26,24,"4",0
27,24,"4",0
28,24,"4",0
29,24,"4",0
30,24,"4",0
31,24,"4",0
32,24,"4",0
33,24,"4",0
34,24,"4",0
35,24,"4",0
36,24,"4",0
37,24,"4",0
38,24,"4",0
39,24,"4",0
40,24,"4",0
41,24,"4",0
42,24,"4",0
43,24,"4",0
44,24,"4",0
45,24,"4",0
46,24,"4",0
47,24,"4",0
48,24,"4",0
49,24,"4",0
15,24,"5",NA
16,24,"5",NA
17,24,"5",NA
18,24,"5",NA
19,24,"5",NA
20,24,"5",0
21,24,"5",NA
22,24,"5",0
23,24,"5",0
24,24,"5",0
25,24,"5",0
26,24,"5",0
27,24,"5",0
28,24,"5",0
29,24,"5",0
30,24,"5",0
31,24,"5",0
32,24,"5",0
33,24,"5",0
34,24,"5",0
35,24,"5",0
36,24,"5",0
37,24,"5",0
38,24,"5",0
39,24,"5",0
40,24,"5",0
41,24,"5",0
42,24,"5",0
43,24,"5",0
44,24,"5",0
45,24,"5",0
46,24,"5",0
47,24,"5",0
48,24,"5",0
49,24,"5",0
15,24,"6",NA
16,24,"6",NA
17,24,"6",NA
18,24,"6",NA
19,24,"6",NA
20,24,"6",0
21,24,"6",NA
22,24,"6",0
23,24,"6",NA
24,24,"6",0
25,24,"6",0
26,24,"6",0
27,24,"6",0
28,24,"6",0
29,24,"6",0
30,24,"6",0
31,24,"6",0
32,24,"6",0
33,24,"6",0
34,24,"6",0
35,24,"6",0
36,24,"6",0
37,24,"6",0
38,24,"6",0
39,24,"6",0
40,24,"6",0
41,24,"6",0
42,24,"6",0
43,24,"6",0
44,24,"6",0
45,24,"6",0
46,24,"6",0
47,24,"6",0
48,24,"6",0
49,24,"6",0
15,21,"0",0
16,21,"0",0
17,21,"0",0
18,21,"0",0
19,21,"0",0
20,21,"0",0
21,21,"0",0
22,21,"0",0
23,21,"0",0
24,21,"0",0
25,21,"0",0
26,21,"0",0
27,21,"0",0
28,21,"0",0
29,21,"0",0
30,21,"0",0
31,21,"0",0
32,21,"0",0
33,21,"0",0
34,21,"0",0
35,21,"0",0
36,21,"0",0
37,21,"0",0
38,21,"0",0
39,21,"0",0
40,21,"0",0
41,21,"0",0
42,21,"0",0
43,21,"0",0
44,21,"0",0
45,21,"0",0
46,21,"0",0
47,21,"0",0
48,21,"0",0
49,21,"0",0
15,21,"1",0
16,21,"1",0
17,21,"1",0
18,21,"1",0
19,21,"1",0
20,21,"1",0
21,21,"1",0
22,21,"1",0
23,21,"1",0
24,21,"1",0
25,21,"1",0
26,21,"1",0
27,21,"1",0
28,21,"1",0
29,21,"1",0
30,21,"1",0
31,21,"1",0
32,21,"1",0
33,21,"1",0
34,21,"1",0
35,21,"1",0
36,21,"1",0
37,21,"1",0
38,21,"1",0
39,21,"1",0
40,21,"1",0.123591886326648
41,21,"1",0
42,21,"1",0
43,21,"1",0
44,21,"1",0
45,21,"1",0
46,21,"1",0
47,21,"1",0
48,21,"1",0
49,21,"1",0
15,21,"2",0
16,21,"2",0
17,21,"2",0
18,21,"2",0
19,21,"2",0
20,21,"2",0
21,21,"2",0
22,21,"2",0
23,21,"2",0
24,21,"2",0
25,21,"2",0
26,21,"2",0
27,21,"2",0
28,21,"2",0
29,21,"2",0
30,21,"2",0
31,21,"2",0
32,21,"2",0
33,21,"2",0
34,21,"2",0
35,21,"2",0
36,21,"2",0
37,21,"2",0
38,21,"2",0
39,21,"2",0
40,21,"2",0
41,21,"2",0
42,21,"2",0
43,21,"2",0.00586215537934385
44,21,"2",0
45,21,"2",0
46,21,"2",0
47,21,"2",0
48,21,"2",0
49,21,"2",0
15,21,"3",NA
16,21,"3",NA
17,21,"3",0
18,21,"3",0
19,21,"3",0
20,21,"3",0
21,21,"3",0
22,21,"3",0
23,21,"3",0
24,21,"3",0
25,21,"3",0
26,21,"3",0
27,21,"3",0
28,21,"3",0
29,21,"3",0
30,21,"3",0
31,21,"3",0
32,21,"3",0
33,21,"3",0
34,21,"3",0.00132963681832477
35,21,"3",0
36,21,"3",0
37,21,"3",0
38,21,"3",0
39,21,"3",0
40,21,"3",0
41,21,"3",0
42,21,"3",0
43,21,"3",0
44,21,"3",0
45,21,"3",0
46,21,"3",0
47,21,"3",0
48,21,"3",0
49,21,"3",0
15,21,"4",NA
16,21,"4",NA
17,21,"4",NA
18,21,"4",NA
19,21,"4",0
20,21,"4",0
21,21,"4",0
22,21,"4",0
