Estimate,Std. Error,t value,Pr(>|t|),lhs,rhs
-2.311735132,0.181096843,-12.76518738,1.06E-29,paid_employment,(Intercept)
0.295037338,0.058185248,5.070655369,7.24E-07,paid_employment,contraception_0
1.592456206,0.064726597,24.60281076,7.44E-72,paid_employment,paid_employment_0
3.253910044,0.215851288,15.07477705,5.67E-38,paid_employment,"ns(age, knots = c(25))1"
0.814743352,0.128785122,6.326377898,9.95E-10,paid_employment,"ns(age, knots = c(25))2"
0.026300114,0.008731098,3.012234601,0.002831181,paid_employment,edu_attainment
0.002465017,0.018464077,0.133503384,0.893891532,paid_employment,parity
0.236706599,0.120660983,1.961749298,0.05078579,paid_employment,urban
-0.002427649,0.032931319,-0.07371855,0.941287162,paid_employment,wealthquintile
-4.35153866,0.18096372,-24.04646999,5.73E-70,decision_wages,(Intercept)
0.483424889,0.073080529,6.614961537,1.89E-10,decision_wages,contraception_0
1.702281332,0.084344641,20.18244805,1.80E-56,decision_wages,decision_wages_0
5.694808161,0.30995134,18.37323289,5.85E-50,decision_wages,"ns(age, knots = c(25))1"
1.16285735,0.151741131,7.66342876,3.01E-13,decision_wages,"ns(age, knots = c(25))2"
0.032474032,0.01007797,3.22227898,0.001422541,decision_wages,edu_attainment
0.05782883,0.021277757,2.7178067,0.006982898,decision_wages,parity
0.18482488,0.138134112,1.338010411,0.181982549,decision_wages,urban
0.018764496,0.036227452,0.517963453,0.604894246,decision_wages,wealthquintile
-1.129902322,0.236706882,-4.773424048,2.93E-06,decision_health,(Intercept)
0.038821042,0.081319953,0.477386429,0.633460729,decision_health,contraception_0
1.448823317,0.104757899,13.83020594,1.74E-33,decision_health,decision_health_0
2.080330512,0.459206103,4.530276273,8.74E-06,decision_health,"ns(age, knots = c(25))1"
1.150359556,0.203186156,5.661603998,3.72E-08,decision_health,"ns(age, knots = c(25))2"
0.048608384,0.011440917,4.248644091,2.93E-05,decision_health,edu_attainment
-0.034088905,0.024448789,-1.394298347,0.164336838,decision_health,parity
0.050671758,0.153728916,0.32961761,0.741936244,decision_health,urban
-0.005105944,0.041899237,-0.121862457,0.903095675,decision_health,wealthquintile
-0.697329375,0.255101766,-2.733534097,0.006666389,buy_decision_major,(Intercept)
-0.04100497,0.075805586,-0.540922805,0.588992397,buy_decision_major,contraception_0
1.432354223,0.091556581,15.6444704,4.86E-40,buy_decision_major,buy_decision_major_0
1.291282904,0.437525094,2.951334499,0.003432797,buy_decision_major,"ns(age, knots = c(25))1"
1.134986349,0.179274906,6.330982802,9.70E-10,buy_decision_major,"ns(age, knots = c(25))2"
0.037897496,0.010524932,3.600735474,0.000375474,buy_decision_major,edu_attainment
-0.050745006,0.023623266,-2.148094399,0.032567263,buy_decision_major,parity
-0.079366211,0.166953058,-0.475380396,0.634887823,buy_decision_major,urban
-0.010606157,0.040047939,-0.264836534,0.791330941,buy_decision_major,wealthquintile
-0.681873352,0.271296117,-2.513391489,0.012521297,buy_decision_daily,(Intercept)
0.05437618,0.088082694,0.617331025,0.5375199,buy_decision_daily,contraception_0
1.330010186,0.099156409,13.4132548,5.37E-32,buy_decision_daily,buy_decision_daily_0
1.780719379,0.52830795,3.370608715,0.000855902,buy_decision_daily,"ns(age, knots = c(25))1"
1.438973185,0.207744946,6.926633889,2.97E-11,buy_decision_daily,"ns(age, knots = c(25))2"
0.049431464,0.013065555,3.783342067,0.000189371,buy_decision_daily,edu_attainment
-0.02356448,0.025596335,-0.920619308,0.358044538,buy_decision_daily,parity
-0.124172674,0.183104738,-0.67815107,0.498237956,buy_decision_daily,urban
0.041061045,0.050563908,0.812062329,0.417448176,buy_decision_daily,wealthquintile
-0.610670736,0.252376336,-2.419683027,0.016173407,decide_spending_partner,(Intercept)
-0.006661969,0.064986957,-0.102512395,0.918423615,decide_spending_partner,contraception_0
1.286564813,0.079274474,16.22924446,3.63E-42,decide_spending_partner,decide_spending_partner_0
-0.102522739,0.429804724,-0.2385333,0.811642596,decide_spending_partner,"ns(age, knots = c(25))1"
-0.186528216,0.162468896,-1.148085701,0.251916617,decide_spending_partner,"ns(age, knots = c(25))2"
0.023419227,0.01082161,2.164116588,0.031303846,decide_spending_partner,edu_attainment
-0.008282562,0.021499015,-0.385253088,0.700343458,decide_spending_partner,parity
-0.177355087,0.141854261,-1.250262668,0.212251222,decide_spending_partner,urban
0.010564903,0.036005853,0.293421829,0.769417881,decide_spending_partner,wealthquintile
