,year,probs
0,1960.0,118.1
1,1961.0,113.7
2,1962.0,109.8
3,1963.0,106.5
4,1964.0,103.8
5,1965.0,101.6
6,1966.0,99.8
7,1967.0,98.0
8,1968.0,96.3
9,1969.0,94.5
10,1970.0,92.6
11,1971.0,90.8
12,1972.0,88.8
13,1973.0,86.7
14,1974.0,84.5
15,1975.0,82.2
16,1976.0,79.8
17,1977.0,77.4
18,1978.0,75.0
19,1979.0,72.7
20,1980.0,70.5
21,1981.0,68.5
22,1982.0,66.7
23,1983.0,65.1
24,1984.0,63.8
25,1985.0,62.9
26,1986.0,62.4
27,1987.0,62.4
28,1988.0,62.8
29,1989.0,63.7
30,1990.0,64.8
31,1991.0,66.1
32,1992.0,67.2
33,1993.0,67.9
34,1994.0,68.0
35,1995.0,67.6
36,1996.0,66.5
37,1997.0,65.1
38,1998.0,63.5
39,1999.0,61.7
40,2000.0,59.7
41,2001.0,57.6
42,2002.0,55.4
43,2003.0,53.1
44,2004.0,50.7
45,2005.0,48.1
46,2006.0,45.8
47,2007.0,43.8
48,2008.0,41.4
49,2009.0,40.3
50,2010.0,39.4
51,2011.0,38.6
52,2012.0,38.2
53,2013.0,37.5
54,2014.0,36.5
55,2015.0,35.3
56,2016.0,34.5
57,2017.0,33.9
58,2018.0,32.8
59,2019.0,31.9
