postpartum,From,n,age_grp,None,Pill,IUD,Injectable,Condom,F.sterilization,Withdrawal,Implant,Other.trad,Other.mod,group
1,Birth,824.722983,>35,0.897090617,0.029398965,0.001866305,0.017067819,0.004042894,0.017413517,0.001004193,0.013455621,0.015477821,0.003182245,grp1>35
1,Birth,1159.340402,18-20,0.886393104,0.026760134,0.001292086,0.061119786,0.003536683,0.001168929,0.000710593,0.009243003,0.009775681,0,grp118-20
1,Birth,1263.575479,<18,0.909691419,0.017104201,0.001719788,0.049749429,0.001933688,0,0.00128257,0.007834905,0.010684,0,grp1<18
1,Birth,3202.786504,20-25,0.875204782,0.031248479,0.004024979,0.06150614,0.005921728,0.000516986,0.001605629,0.011555372,0.008415905,0,grp120-25
1,Birth,3712.460743,25-35,0.871632698,0.031151046,0.002423118,0.046832768,0.007334585,0.012876693,0.001747404,0.012750486,0.013251203,0,grp125-35
6,None,750.748798,>35,0.771352189,0.042304455,0.014447534,0.100638615,0.005024091,0.007088733,0.005473787,0.021638921,0.032031674,0,grp6>35
6,None,849.349672,18-20,0.661379807,0.046244469,0.006867908,0.227757614,0.003238272,0,0.004795389,0.0331096,0.016606941,0,grp618-20
6,None,853.515994,<18,0.720625116,0.027418078,0.000603308,0.188232464,0.007029557,0,0.008510192,0.025259118,0.022322168,0,grp6<18
6,None,2584.43737,20-25,0.659749175,0.045330633,0.009780884,0.221042436,0.009827308,0.000715707,0.002570287,0.036872952,0.013798727,0.00031189,grp620-25
6,None,3048.007679,25-35,0.647222544,0.067883743,0.013176485,0.17350618,0.013660507,0.004937441,0.006346047,0.050534309,0.021916389,0.000816355,grp625-35
6,Pill,18.066716,<18,0.125692406,0.874307594,0,0,0,0,0,0,0,0,grp6<18
6,Pill,24.53888,>35,0,0.977571185,0,0.022428815,0,0,0,0,0,0,grp6>35
6,Pill,29.687115,18-20,0.093480926,0.467323214,0,0.406479377,0.008793512,0,0,0,0.023922971,0,grp618-20
6,Pill,85.75477,20-25,0,0.863289506,0.028464527,0.098458885,0,0,0,0.009787082,0,0,grp620-25
6,Pill,120.567949,25-35,0,0.855811149,0.002734964,0.086007874,0,0,0,0.047286638,0.008159374,0,grp625-35
6,IUD,0.547086,<18,0,0,1,0,0,0,0,0,0,0,grp6<18
6,IUD,1.539185,>35,0,0,1,0,0,0,0,0,0,0,grp6>35
6,IUD,3.123964,18-20,0,0,1,0,0,0,0,0,0,0,grp618-20
6,IUD,6.095993,25-35,0,0,1,0,0,0,0,0,0,0,grp625-35
6,IUD,11.370869,20-25,0,0,1,0,0,0,0,0,0,0,grp620-25
6,Injectable,18.029685,>35,0.095865735,0,0,0.766051487,0,0.063033492,0,0,0.075049287,0,grp6>35
6,Injectable,43.581324,<18,0.047240947,0,0,0.952759053,0,0,0,0,0,0,grp6<18
6,Injectable,65.584938,18-20,0.124307703,0,0,0.801953522,0,0,0,0.073738775,0,0,grp618-20
6,Injectable,156.259661,25-35,0.007099203,0.006775895,0.013516713,0.904612733,0,0.011053038,0,0.041903547,0.015038872,0,grp625-35
6,Injectable,179.396919,20-25,0.04141686,0.02275946,0,0.920775217,0,0,0,0.006431716,0.008616748,0,grp620-25
6,Condom,2.443361,<18,0,0,0,0,1,0,0,0,0,0,grp6<18
6,Condom,2.656073,>35,0,0,0,0,1,0,0,0,0,0,grp6>35
6,Condom,4.10022,18-20,0,0,0,0,1,0,0,0,0,0,grp618-20
6,Condom,18.966031,20-25,0,0,0,0,1,0,0,0,0,0,grp620-25
6,Condom,24.756279,25-35,0,0,0.063074867,0.045322764,0.891602369,0,0,0,0,0,grp625-35
6,F.sterilization,0,<18,0,0,0,0,0,1,0,0,0,0,grp6<18
6,F.sterilization,1.02033,20-25,0,0,0,0,0,1,0,0,0,0,grp620-25
6,F.sterilization,1.355187,18-20,0,0,0,0,0,1,0,0,0,0,grp618-20
6,F.sterilization,16.148243,>35,0,0,0,0,0,1,0,0,0,0,grp6>35
6,F.sterilization,43.053082,25-35,0,0,0,0,0,1,0,0,0,0,grp625-35
6,Withdrawal,0,18-20,0,0,0,0,0,0,1,0,0,0,grp618-20
6,Withdrawal,0.369341,<18,0,0,0,0,0,0,1,0,0,0,grp6<18
6,Withdrawal,1.162753,>35,0,0,0,0,0,0,1,0,0,0,grp6>35
6,Withdrawal,5.966305,20-25,0,0,0,0,0,0,1,0,0,0,grp620-25
6,Withdrawal,6.152597,25-35,0,0,0.149846317,0,0,0,0.850153683,0,0,0,grp625-35
6,Implant,8.248785,18-20,0,0,0,0,0,0,0,1,0,0,grp618-20
6,Implant,8.354176,<18,0.12860227,0,0,0,0,0,0,0.87139773,0,0,grp6<18
6,Implant,10.141423,>35,0,0,0,0,0,0,0,1,0,0,grp6>35
6,Implant,31.835327,20-25,0,0,0,0,0,0,0,1,0,0,grp620-25
