postpartum,From,n,age_grp,Pill,IUD,Injectable,Condom,F.sterilization,Withdrawal,Implant,Other.trad,Other.mod,group
1,Birth,84.871733,>35,0.285678177,0.018135426,0.165852899,0.039285966,0.169212145,0.009758031,0.130752132,0.150402431,0.030922793,grp1>35
1,Birth,114.111709,<18,0.189397295,0.019043462,0.550882636,0.02141201,0,0.014202083,0.086757039,0.118305476,0,grp1<18
1,Birth,131.709065,18-20,0.235550264,0.01137331,0.537993623,0.031130887,0.010289246,0.006254839,0.081359525,0.086048307,0,grp118-20
1,Birth,399.692441,20-25,0.25039805,0.032252666,0.492856546,0.047451563,0.004142678,0.012866108,0.092594668,0.06743772,0,grp120-25
1,Birth,476.55857,25-35,0.242671191,0.018876439,0.364834087,0.057137487,0.100311317,0.013612532,0.099328141,0.103228804,0,grp125-35
6,None,171.657069,>35,0.185020164,0.063186847,0.440146855,0.021973054,0.031002848,0.023939818,0.094638654,0.140091761,0,grp6>35
6,None,238.450932,<18,0.098140812,0.002159493,0.673763016,0.025161734,0,0.03046155,0.090412987,0.079900409,0,grp6<18
6,None,287.60695,18-20,0.136567371,0.020282038,0.672604939,0.009563138,0,0.014161556,0.097777985,0.049042973,0,grp618-20
6,None,879.356947,20-25,0.133227106,0.0287461,0.649645556,0.028882541,0.002103469,0.007554095,0.108369912,0.040554574,0.000916647,grp620-25
6,None,1075.268395,25-35,0.192426534,0.0373507,0.491828991,0.038722731,0.013995908,0.017988811,0.143246991,0.062125255,0.002314079,grp625-35
0,None,314.86103,>35,0.197349126,0.032604095,0.39438713,0.067511083,0.061423162,0.003720111,0.1687704,0.074234893,0,grpNo>35
0,None,348.231184,18-20,0.103611671,0.009352347,0.312157343,0.385000078,0,0.016357998,0.076803564,0.08566174,0.011055259,grpNo18-20
0,None,449.308493,<18,0.073783388,0.00097541,0.250876197,0.484463762,0,0.014120105,0.04005269,0.131694052,0.004034395,grpNo<18
0,None,867.785001,20-25,0.124533585,0.012253369,0.542699348,0.149967483,0.002513016,0.003528897,0.09539729,0.063787012,0.005320001,grpNo20-25
0,None,922.151597,25-35,0.155508087,0.03349855,0.503693881,0.095993272,0.007584644,0.003921191,0.150259792,0.047840599,0.001699983,grpNo25-35
0,Pill,9.120717,<18,0,0,0.486946695,0.153733528,0,0.123196236,0,0.236123542,0,grpNo<18
0,Pill,27.266608,18-20,0,0,0.844539042,0,0,0,0.155460958,0,0,grpNo18-20
0,Pill,105.042088,20-25,0,0.058468164,0.535744329,0.077717181,0,0.009300139,0.186973701,0.126604147,0.005192338,grpNo20-25
0,Pill,122.033638,>35,0,0.106087045,0.501771905,0.076304469,0.018753542,0.004347801,0.187735024,0.101385898,0.003614315,grpNo>35
0,Pill,268.964357,25-35,0,0.08014517,0.583400789,0.009717384,0.01403525,0.014320674,0.182877354,0.113054129,0.00244925,grpNo25-35
0,IUD,0.547086,<18,0,0,1,0,0,0,0,0,0,grpNo<18
0,IUD,2.12281,18-20,0.151443134,0,0,0,0,0,0,0.848556866,0,grpNo18-20
0,IUD,10.114128,20-25,0.547342391,0,0.316118305,0,0,0,0.082981845,0.053557459,0,grpNo20-25
0,IUD,16.336092,25-35,0.386538041,0,0.311789013,0,0,0,0.301672946,0,0,grpNo25-35
0,IUD,17.742835,>35,0.383684231,0,0.169001797,0.08875594,0.151257508,0,0.098704125,0.1085964,0,grpNo>35
0,Injectable,15.967995,<18,0.665769685,0,0,0,0,0,0.28212108,0.052109235,0,grpNo<18
0,Injectable,46.567744,18-20,0.606373566,0,0,0.100200409,0,0.017230317,0.240923717,0.03527199,0,grpNo18-20
0,Injectable,139.164663,>35,0.404231267,0.088330038,0,0.13916162,0.034773476,0.013490465,0.185630859,0.128047262,0.006335013,grpNo>35
0,Injectable,195.081913,20-25,0.426916538,0.040463669,0,0.052105338,0,0.025557136,0.322550615,0.132406703,0,grpNo20-25
0,Injectable,401.079897,25-35,0.538661789,0.079682214,0,0.05275024,0.020256286,0,0.250555796,0.052874861,0.005218813,grpNo25-35
0,Condom,6.234235,>35,0.192904502,0,0.129807426,0,0,0,0.138871088,0.538416983,0,grpNo>35
0,Condom,6.292595,<18,0.936957487,0,0,0,0,0,0,0.063042513,0,grpNo<18
0,Condom,17.011184,18-20,0.532098354,0,0.02141015,0,0,0,0,0.284663137,0.16182836,grpNo18-20
0,Condom,29.001933,25-35,0.217847376,0,0.266435172,0,0,0.027372244,0.408105246,0.055777179,0.024462783,grpNo25-35
0,Condom,34.148777,20-25,0.237577205,0,0.4713095,0,0,0.016553975,0.060896588,0.170004126,0.043658606,grpNo20-25
0,Withdrawal,0.678195,18-20,0,0,0,1,0,0,0,0,0,grpNo18-20
0,Withdrawal,1.833672,>35,0,0,0,0.856652117,0,0,0.143347883,0,0,grpNo>35
0,Withdrawal,2.027956,25-35,0,0,0.56857989,0,0,0,0.43142011,0,0,grpNo25-35
0,Withdrawal,2.823695,<18,0,0,0.527706427,0.472293573,0,0,0,0,0,grpNo<18
0,Withdrawal,5.052703,20-25,0,0,0.453994228,0.033033408,0,0,0.24764626,0.265326104,0,grpNo20-25
0,Implant,1.043442,<18,0,0,1,0,0,0,0,0,0,grpNo<18
0,Implant,4.71799,18-20,0.566487636,0,0.243538456,0,0,0,0,0.189973908,0,grpNo18-20
0,Implant,25.784849,20-25,0.578218123,0.067079043,0.236209644,0.052637229,0,0.048527839,0,0.017328122,0,grpNo20-25
0,Implant,34.338459,>35,0.534372,0.316197183,0.117261756,0.032169062,0,0,0,0,0,grpNo>35
0,Implant,53.135591,25-35,0.363618897,0.039876286,0.264606429,0.069036684,0,0.010154625,0,0.168165571,0.084541508,grpNo25-35
0,Other.trad,4.371045,<18,0,0,0.430934937,0.569065063,0,0,0,0,0,grpNo<18
0,Other.trad,4.534629,18-20,0.162936152,0,0.178763246,0.658300602,0,0,0,0,0,grpNo18-20
0,Other.trad,18.34519,>35,0.128178667,0.038837156,0.412514561,0.108262493,0.07184777,0.017569783,0.22278957,0,0,grpNo>35
0,Other.trad,25.812365,20-25,0.077214002,0.04527152,0.694192803,0.122827451,0,0,0.060494224,0,0,grpNo20-25
0,Other.trad,50.776987,25-35,0.117521191,0.038725988,0.576970823,0.030982362,0.063027706,0,0.172771929,0,0,grpNo25-35
0,Other.mod,2.077116,18-20,0,0,0.316706915,0.683293085,0,0,0,0,0,grpNo18-20
0,Other.mod,2.093161,>35,0,0,1,0,0,0,0,0,0,grpNo>35
0,Other.mod,2.974602,20-25,0.655489037,0,0,0.344510963,0,0,0,0,0,grpNo20-25
0,Other.mod,4.492163,25-35,0,0,1,0,0,0,0,0,0,grpNo25-35
0,Other.mod,2.077116,18-20,0,0,0.316706915,0.683293085,0,0,0,0,0,grpNo<18
