estimate,coef,se,method,functionform,country
2.11517825,meanlog,0.027300351,None,lnorm,Kenya
0.254967479,sdlog,0.009039914,None,lnorm,Kenya
-0.162425317,"age_grp_fact(0,18]",0.053511254,None,lnorm,Kenya
0.091653353,"age_grp_fact(18,20]",0.053638351,None,lnorm,Kenya
0,"age_grp_fact(20,25]",0,None,lnorm,Kenya
0.128964912,"age_grp_fact(25,35]",0.036742218,None,lnorm,Kenya
1.021583111,"age_grp_fact(35,50]",0.050059174,None,lnorm,Kenya
2.359461879,meanlog,0.075900202,Pill,lnorm,Kenya
0.264891462,sdlog,0.024986419,Pill,lnorm,Kenya
-0.6271321,"age_grp_fact(0,18]",0.184472779,Pill,lnorm,Kenya
-0.57164622,"age_grp_fact(18,20]",0.167670427,Pill,lnorm,Kenya
0,"age_grp_fact(20,25]",0,Pill,lnorm,Kenya
0.509506377,"age_grp_fact(25,35]",0.094741319,Pill,lnorm,Kenya
1.098985677,"age_grp_fact(35,50]",0.1291349,Pill,lnorm,Kenya
0.478671474,shape,0.09944548,IUD,weibull,Kenya
3.774827773,scale,0.149033664,IUD,weibull,Kenya
-2.009135219,"age_grp_fact(0,18]",0.463946016,IUD,weibull,Kenya
-0.36038086,"age_grp_fact(18,20]",0.342644694,IUD,weibull,Kenya
0,"age_grp_fact(20,25]",0,IUD,weibull,Kenya
0.457791445,"age_grp_fact(25,35]",0.182255102,IUD,weibull,Kenya
1.290794405,"age_grp_fact(35,50]",0.293508072,IUD,weibull,Kenya
2.964382666,meanlog,0.041325394,Injectable,lnorm,Kenya
0.156789405,sdlog,0.017455015,Injectable,lnorm,Kenya
-0.471387116,"age_grp_fact(0,18]",0.099230525,Injectable,lnorm,Kenya
-0.214652298,"age_grp_fact(18,20]",0.088581087,Injectable,lnorm,Kenya
0,"age_grp_fact(20,25]",0,Injectable,lnorm,Kenya
0.435210558,"age_grp_fact(25,35]",0.054045587,Injectable,lnorm,Kenya
0.671318534,"age_grp_fact(35,50]",0.0788226,Injectable,lnorm,Kenya
2.966699812,meanlog,0.171786872,Condom,lnorm,Kenya
0.612927808,sdlog,0.043398502,Condom,lnorm,Kenya
-0.94435802,"age_grp_fact(0,18]",0.239115412,Condom,lnorm,Kenya
-0.295970987,"age_grp_fact(18,20]",0.271123263,Condom,lnorm,Kenya
0,"age_grp_fact(20,25]",0,Condom,lnorm,Kenya
0.637698125,"age_grp_fact(25,35]",0.239867105,Condom,lnorm,Kenya
1.041439262,"age_grp_fact(35,50]",0.309028443,Condom,lnorm,Kenya
0.76407859,shape,0.098053076,Withdrawal,llogis,Kenya
2.501787334,scale,0.167448513,Withdrawal,llogis,Kenya
-0.5755443,"age_grp_fact(0,18]",0.314380929,Withdrawal,llogis,Kenya
0.300416984,"age_grp_fact(18,20]",0.266699896,Withdrawal,llogis,Kenya
0,"age_grp_fact(20,25]",0,Withdrawal,llogis,Kenya
0.553921344,"age_grp_fact(25,35]",0.207889617,Withdrawal,llogis,Kenya
1.355307265,"age_grp_fact(35,50]",0.32965666,Withdrawal,llogis,Kenya
0.294546782,shape,0.058250666,Implant,weibull,Kenya
4.137089046,scale,0.115091156,Implant,weibull,Kenya
-0.548227774,"age_grp_fact(0,18]",0.283543703,Implant,weibull,Kenya
-0.516337581,"age_grp_fact(18,20]",0.209597716,Implant,weibull,Kenya
0,"age_grp_fact(20,25]",0,Implant,weibull,Kenya
0.332580675,"age_grp_fact(25,35]",0.1295031,Implant,weibull,Kenya
1.067721536,"age_grp_fact(35,50]",0.217326974,Implant,weibull,Kenya
0.345643206,shape,0.067319598,Other.trad,gamma,Kenya
-2.928180051,rate,0.116550556,Other.trad,gamma,Kenya
0.450960888,"age_grp_fact(0,18]",0.166618979,Other.trad,gamma,Kenya
0.197750574,"age_grp_fact(18,20]",0.165735692,Other.trad,gamma,Kenya
0,"age_grp_fact(20,25]",0,Other.trad,gamma,Kenya
-0.318908929,"age_grp_fact(25,35]",0.114599493,Other.trad,gamma,Kenya
-0.972883241,"age_grp_fact(35,50]",0.149153372,Other.trad,gamma,Kenya
1.786422667,meanlog,0.38957264,Other.mod,lnorm,Kenya
0.422155552,sdlog,0.150570002,Other.mod,lnorm,Kenya
-0.397191956,"age_grp_fact(0,18]",0.985353095,Other.mod,lnorm,Kenya
-1.786422667,"age_grp_fact(18,20]",0.962925259,Other.mod,lnorm,Kenya
0,"age_grp_fact(20,25]",0,Other.mod,lnorm,Kenya
1.162085828,"age_grp_fact(25,35]",0.785854215,Other.mod,lnorm,Kenya
2.282028383,"age_grp_fact(35,50]",0.869180293,Other.mod,lnorm,Kenya
