age,female,male
0,0.02629696,0.03296453
1,0.00523976,0.00460709
2,0.00322041,0.00302739
3,0.00216209,0.00212044
4,0.00154085,0.0015734
5,0.0011634,0.00119715
6,0.00097057,0.00103526
7,0.00085787,0.00093699
8,0.00077144,0.00084936
9,0.00072306,0.00078762
10,0.00069794,0.00076766
11,0.00069155,0.00078965
12,0.00072522,0.00082666
13,0.00079981,0.00089957
14,0.00090404,0.00103289
15,0.001056,0.00122575
16,0.00120225,0.00145566
17,0.00137493,0.00174633
18,0.00155971,0.00206046
19,0.00173442,0.00229136
20,0.00191943,0.00252823
21,0.00205746,0.0027577
22,0.0022545,0.00298942
23,0.00245381,0.00320746
24,0.00266057,0.00341694
25,0.00287562,0.00364762
26,0.00311213,0.0038618
27,0.00335134,0.00411735
28,0.00356395,0.00437617
29,0.00381536,0.00464531
30,0.00404442,0.00497086
31,0.00423733,0.00524055
32,0.00452732,0.00559899
33,0.00478729,0.00596387
34,0.00507709,0.006387
35,0.0054309,0.00683392
36,0.00571899,0.00725866
37,0.00601693,0.00773896
38,0.006336,0.00820512
39,0.00663919,0.00867502
40,0.00696524,0.00923244
41,0.00726107,0.00965616
42,0.007574,0.01021079
43,0.00791409,0.0107562
44,0.00827799,0.01135895
45,0.00872148,0.01206057
46,0.0091415,0.01272607
47,0.00963664,0.01346797
48,0.0101857,0.01428347
49,0.01075329,0.0151156
50,0.01138929,0.01613862
51,0.01190946,0.01688962
52,0.01258591,0.01787826
53,0.01318996,0.01878969
54,0.01388141,0.01979434
55,0.01463015,0.0209218
56,0.01546022,0.02200927
57,0.01634819,0.02328564
58,0.01738116,0.02477008
59,0.01849387,0.02639232
60,0.01986773,0.02857201
61,0.02120668,0.03026611
62,0.02289127,0.03256767
63,0.02463942,0.03474053
64,0.02659776,0.03711171
65,0.02882042,0.03968016
66,0.03029858,0.04141627
67,0.03206966,0.04347582
68,0.03405961,0.04580284
69,0.03612642,0.04826374
70,0.03887276,0.05153875
71,0.0410274,0.0541336
72,0.04429343,0.05800687
73,0.04722015,0.06157144
74,0.05058506,0.06554854
75,0.0541813,0.0698918
76,0.05781363,0.07446356
77,0.06145662,0.07930786
78,0.06635722,0.08539453
79,0.07042037,0.09114188
80,0.07657933,0.09849437
81,0.0822349,0.10593983
82,0.09223477,0.11650454
83,0.10129593,0.12647659
84,0.11181688,0.13783721
85,0.12188992,0.14850366
86,0.13322121,0.16075816
87,0.14387639,0.17281434
88,0.15583036,0.18563632
89,0.16756562,0.19860168
90,0.18306192,0.21355521
91,0.19299779,0.2264033
92,0.20942271,0.24302337
93,0.22435577,0.25864977
94,0.24050439,0.27477409
95,0.25793716,0.29085424
96,0.27388371,0.30652784
97,0.28918236,0.32158248
98,0.3037118,0.33597284
99,0.32318185,0.3538149
100,1.0,1.0
