year,crude_death_rate
1950,30.489
1951,28.757
1952,27.725
1953,26.494
1954,25.305
1955,24.142
1956,23.025
1957,21.617
1958,20.643
1959,19.683
1960,18.794
1961,18.02
1962,17.326
1963,16.721
1964,16.189
1965,15.68
1966,15.227
1967,14.799
1968,14.356
1969,13.952
1970,13.568
1971,13.213
1972,12.798
1973,12.375
1974,11.944
1975,11.519
1976,11.138
1977,10.747
1978,10.373
1979,10.051
1980,9.731
1981,9.482
1982,9.254
1983,8.996
1984,8.832
1985,8.7
1986,8.68
1987,8.696
1988,8.81
1989,8.917
1990,9.461
1991,9.641
1992,9.882
1993,10.021
1994,10.205
1995,10.292
1996,10.376
1997,10.383
1998,10.31
1999,10.109
2000,9.942
2001,9.709
2002,9.535
2003,9.203
2004,8.893
2005,8.6
2006,8.323
2007,8.142
2008,7.886
2009,7.631
2010,7.424
2011,7.275
2012,7.208
2013,7.175
2014,7.149
2015,7.14
2016,7.169
2017,7.126
2018,7.186
2019,7.294
2020,7.937
2021,8.124
2022,7.212
2023,7.211
2024,7.18
2025,7.149
2026,7.126
2027,7.109
2028,7.097
2029,7.092
2030,7.09
