"edu","urban","percent"
"0","0",0.0853139670442647
"1","0",0.00428008241877706
"2","0",0.00833416011754377
"3","0",0.0159108972062558
"4","0",0.0182112073166406
"5","0",0.0287518701508571
"6","0",0.0564930097928179
"7","0",0.135799096864251
"8","0",0.306957139839748
"9","0",0.0322702228004589
"10","0",0.169246986397752
"11","0",6.51483198652949e-05
"12","0",0.00708709850228065
"13","0",0.0133514194734324
"14","0",0.0440044657153824
"15","0",0.0471953573235365
"16","0",0.0244273451159791
"17","0",0.000990469212820434
"18","0",0.000950672024745109
"19","0",9.21742753865677e-05
"20","0",0.000267210087203936
"21","0",0
"22","0",0
"23","0",0
"24","0",0
"0","1",0.0376558138274116
"1","1",0.00110546736568142
"2","1",0.00243399341950708
"3","1",0.00658024955268361
"4","1",0.0105982499269382
"5","1",0.0099375317428802
"6","1",0.0243502220196779
"7","1",0.0590352304856101
"8","1",0.220407032855649
"9","1",0.0276469700307789
"10","1",0.253680438325448
"11","1",0
"12","1",0.0204548865380035
"13","1",0.0331290266401912
"14","1",0.0808343022783261
"15","1",0.122923115032829
"16","1",0.0758278102965036
"17","1",0.0029905945891406
"18","1",0.00881008725490199
"19","1",0.000414890789761096
"20","1",0.000643143123467307
"21","1",0.000510710877043963
"22","1",0
"23","1",0
"24","1",3.02330275663128e-05
