"age","edu","parity","cum.percent","perc"
15,24,"0",0,0
16,24,"0",0,0
17,24,"0",0,0
18,24,"0",0,0
19,24,"0",0,0
20,24,"0",0,0
21,24,"0",0,0
22,24,"0",0,0
23,24,"0",0,0
24,24,"0",0,0
25,24,"0",0,0
26,24,"0",0,0
27,24,"0",0,0
28,24,"0",0,0
29,24,"0",0,0
30,24,"0",0,0
31,24,"0",0,0
32,24,"0",0,0
33,24,"0",0,0
34,24,"0",0,0
35,24,"0",0,0
36,24,"0",0,0
37,24,"0",0,0
38,24,"0",0,0
39,24,"0",0,0
40,24,"0",0,0
41,24,"0",0,0
42,24,"0",0,0
43,24,"0",0,0
44,24,"0",0,0
45,24,"0",0,0
46,24,"0",0,0
47,24,"0",0,0
48,24,"0",0,0
49,24,"0",0,0
15,24,"1",0,0
16,24,"1",0,0
17,24,"1",0,0
18,24,"1",0,0
19,24,"1",0,0
20,24,"1",0,0
21,24,"1",0,0
22,24,"1",0,0
23,24,"1",0,0
24,24,"1",0,0
25,24,"1",0,0
26,24,"1",0,0
27,24,"1",0,0
28,24,"1",0,0
29,24,"1",0,0
30,24,"1",0,0
31,24,"1",0,0
32,24,"1",0,0
33,24,"1",0,0
34,24,"1",0,0
35,24,"1",0,0
36,24,"1",0,0
37,24,"1",0,0
38,24,"1",0,0
39,24,"1",0,0
40,24,"1",0,0
41,24,"1",0,0
42,24,"1",0,0
43,24,"1",0,0
44,24,"1",0,0
45,24,"1",0,0
46,24,"1",0,0
47,24,"1",0,0
48,24,"1",0,0
49,24,"1",0,0
15,24,"2",0,0
16,24,"2",0,0
17,24,"2",0,0
18,24,"2",0,0
19,24,"2",0,0
20,24,"2",0,0
21,24,"2",0,0
22,24,"2",0,0
23,24,"2",0,0
24,24,"2",0,0
25,24,"2",0,0
26,24,"2",0,0
27,24,"2",0,0
28,24,"2",0,0
29,24,"2",0,0
30,24,"2",0,0
31,24,"2",0,0
32,24,"2",0,0
33,24,"2",0,0
34,24,"2",0,0
35,24,"2",0,0
36,24,"2",0,0
37,24,"2",0,0
38,24,"2",0,0
39,24,"2",0,0
40,24,"2",0,0
41,24,"2",0,0
42,24,"2",0,0
43,24,"2",0,0
44,24,"2",0,0
45,24,"2",0,0
46,24,"2",0,0
47,24,"2",0,0
48,24,"2",0,0
49,24,"2",0,0
15,24,"3",NA,NA
16,24,"3",NA,NA
17,24,"3",0,0
18,24,"3",0,0
19,24,"3",0,0
20,24,"3",0,0
21,24,"3",0,0
22,24,"3",0,0
23,24,"3",0,0
24,24,"3",0,0
25,24,"3",0,0
26,24,"3",0,0
27,24,"3",0,0
28,24,"3",0,0
29,24,"3",0,0
30,24,"3",0,0
31,24,"3",0,0
32,24,"3",0,0
33,24,"3",0,0
34,24,"3",0.00132963681832477,0.00132963681832477
35,24,"3",0,0
36,24,"3",0,0
37,24,"3",0,0
38,24,"3",0,0
39,24,"3",0,0
40,24,"3",0,0
41,24,"3",0,0
42,24,"3",0,0
43,24,"3",0,0
44,24,"3",0,0
45,24,"3",0,0
46,24,"3",0,0
47,24,"3",0,0
48,24,"3",0,0
49,24,"3",0,0
15,24,"4",NA,NA
16,24,"4",NA,NA
17,24,"4",NA,NA
18,24,"4",NA,NA
19,24,"4",0,0
20,24,"4",0,0
21,24,"4",0,0
22,24,"4",0,0
23,24,"4",0,0
24,24,"4",0,0
25,24,"4",0,0
26,24,"4",0,0
27,24,"4",0,0
28,24,"4",0,0
29,24,"4",0,0
30,24,"4",0,0
31,24,"4",0,0
32,24,"4",0,0
33,24,"4",0,0
34,24,"4",0,0
35,24,"4",0,0
36,24,"4",0,0
37,24,"4",0,0
38,24,"4",0,0
39,24,"4",0,0
40,24,"4",0,0
41,24,"4",0,0
42,24,"4",0,0
43,24,"4",0,0
44,24,"4",0,0
45,24,"4",0,0
46,24,"4",0,0
47,24,"4",0,0
48,24,"4",0,0
49,24,"4",0,0
15,24,"5",NA,NA
16,24,"5",NA,NA
17,24,"5",NA,NA
18,24,"5",NA,NA
19,24,"5",NA,NA
20,24,"5",0,0
21,24,"5",NA,NA
22,24,"5",0,0
23,24,"5",0,0
24,24,"5",0,0
25,24,"5",0,0
26,24,"5",0,0
27,24,"5",0,0
28,24,"5",0,0
29,24,"5",0,0
30,24,"5",0,0
31,24,"5",0,0
32,24,"5",0,0
33,24,"5",0,0
34,24,"5",0,0
35,24,"5",0,0
36,24,"5",0,0
37,24,"5",0,0
38,24,"5",0,0
39,24,"5",0,0
40,24,"5",0,0
41,24,"5",0,0
42,24,"5",0,0
43,24,"5",0,0
44,24,"5",0,0
45,24,"5",0,0
46,24,"5",0,0
47,24,"5",0,0
48,24,"5",0,0
49,24,"5",0,0
15,24,"6",NA,NA
16,24,"6",NA,NA
17,24,"6",NA,NA
18,24,"6",NA,NA
19,24,"6",NA,NA
20,24,"6",0,0
21,24,"6",NA,NA
22,24,"6",0,0
23,24,"6",NA,NA
24,24,"6",0,0
25,24,"6",0,0
26,24,"6",0,0
27,24,"6",0,0
28,24,"6",0,0
29,24,"6",0,0
30,24,"6",0,0
31,24,"6",0,0
