year,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54
1950,16.63,162.77,307.78,302.12,284.71,207.54,128.72,53.22,4.06
1951,16.77,163.53,308.39,303.88,285.33,208.38,130.33,53.77,4.01
1952,16.69,164.30,310.75,305.03,285.91,209.17,130.82,53.96,3.96
1953,17.25,166.95,311.02,305.70,285.63,209.89,131.44,55.47,4.05
1954,17.18,167.73,312.86,307.39,287.06,211.26,132.12,56.04,4.05
1955,17.29,169.73,313.01,307.67,287.65,211.18,132.12,57.08,4.11
1956,17.26,170.83,317.76,307.65,288.81,212.37,133.17,57.87,4.19
1957,17.60,173.11,321.67,308.52,289.56,213.57,134.30,58.96,4.37
1958,17.86,174.91,324.43,308.56,288.71,212.76,134.76,59.22,4.52
1959,17.33,173.78,326.12,308.99,289.82,212.89,134.77,60.19,4.71
1960,17.59,173.67,326.86,309.26,289.74,212.93,135.67,60.60,4.76
1961,18.57,176.00,331.21,312.80,290.58,213.73,137.21,61.84,4.85
1962,18.28,174.61,337.06,318.54,292.16,215.35,139.28,63.05,4.97
1963,18.00,172.11,340.85,322.13,294.95,218.92,140.11,63.29,5.01
1964,16.76,168.27,344.62,325.14,299.58,222.06,141.30,63.13,4.95
1965,16.45,169.28,346.64,328.43,302.74,229.71,144.92,63.99,4.92
1966,16.30,171.87,344.70,330.55,301.82,232.99,146.74,63.30,4.78
1967,16.65,174.44,345.09,328.90,298.94,233.04,147.24,61.98,4.67
1968,16.55,174.25,343.89,330.29,296.37,233.86,147.84,60.91,4.61
1969,16.30,172.67,343.48,331.11,294.99,235.04,148.20,59.30,4.45
1970,15.48,168.03,337.86,332.81,295.15,240.55,150.93,58.46,4.28
1971,16.83,175.02,337.11,326.84,288.96,241.93,153.21,55.91,3.92
1972,16.27,173.44,337.24,325.47,288.11,239.84,153.37,55.99,3.92
1973,14.69,167.73,338.87,326.71,286.88,237.07,153.57,56.42,3.95
1974,13.37,163.08,339.13,328.54,286.41,236.34,152.00,56.62,3.95
1975,13.21,162.86,337.04,328.99,285.74,234.40,150.61,56.75,3.94
1976,13.55,164.76,336.37,326.28,283.77,235.98,148.18,54.05,3.68
1977,13.34,163.31,337.84,324.78,282.41,234.01,146.07,52.71,3.63
1978,12.84,160.69,339.27,323.23,281.02,231.56,143.53,50.74,3.53
1979,12.58,158.88,337.59,321.90,283.01,227.89,139.65,48.40,3.39
1980,12.00,155.95,331.90,321.83,280.25,226.66,138.40,47.29,3.29
1981,12.40,157.43,329.56,315.31,279.03,224.22,134.54,45.20,3.10
1982,11.11,149.25,331.04,316.11,275.12,218.76,129.47,44.75,3.14
1983,10.09,142.41,329.26,312.17,273.14,213.11,124.01,43.69,3.12
1984,10.46,144.14,320.18,311.75,269.66,205.24,117.32,42.03,3.01
