year,cpr,mcpr
1970,6.1,
1971,6.5,
1972,6.9,
1973,7.4,
1974,8,
1975,8.5,
1976,9.1,
1977,9.8,
1978,10.6,
1979,11.5,
1980,12.4,
1981,13.5,
1982,14.6,
1983,15.8,
1984,17.1,
1985,18.6,
1990,22.1,15.6
1991,23.4,17.0
1992,24.7,18.5
1993,25.9,19.9
1994,26.8,20.8
1995,27.6,21.5
1996,28.2,22.1
1997,28.7,22.7
1998,29,23.1
1999,29,23.2
2000,28.7,23.2
2001,28.4,23.2
2002,28.2,23.2
2003,28.1,23.3
2004,28.5,24.0
2005,29,24.9
2006,29.6,25.8
2007,30.4,26.8
2008,31.2,27.9
2009,32.6,29.5
2010,34.2,31.5
2011,35.9,33.5
2012,37.8,35.6
2013,39.6,37.8
2014,41.5,39.9
2015,43.9,42.3
2016,44.6,43.0
2017,44.9,43.3
2018,45.2,43.5
2019,45.8,43.9
2020,46.9,44.9
2021,47.4,45.5
2022,47.9,45.9
2023,48.2,46.4
2024,48.6,46.8
2025,48.9,47.1
2026,49.2,47.5
2027,49.6,47.9
2028,49.9,48.2
2029,50.3,48.6
2030,50.6,49.0
