year,population
1960,8120082
1961,8377693
1962,8647002
1963,8928510
1964,9222692
1965,9530163
1966,9851453
1967,10187487
1968,10539909
1969,10910677
1970,11301394
1971,11713046
1972,12146070
1973,12600799
1974,13077341
1975,13575898
1976,14096258
1977,14638887
1978,15205381
1979,15797771
1980,16417203
1981,17063870
1982,17736326
1983,18431760
1984,19146403
1985,19877078
1986,20622560
1987,21382111
1988,22153685
1989,22935088
1990,23724574
1991,24521714
1992,25326080
1993,26136217
1994,26950508
1995,27768297
1996,28589456
1997,29415660
1998,30250488
1999,31098763
2000,31964557
2001,32848569
2002,33751746
2003,34678781
2004,35635267
2005,36624897
2006,37649039
2007,38705934
2008,39791984
2009,40901798
2010,42030684
2011,43178270
2012,44343469
2013,45519986
2014,46700063
2015,47878339
2016,49051531
2017,50221146
2018,51392570
2019,52573967
2020,53771300
2021,54985702
