"postpartum","age_grp","From","n","None","Withdrawal","Other.trad","Condom","Pill","Injectable","Implant","IUD","F.sterilization","Other.mod"
"1","<18","Birth",1263.575479,0.90969141860025,0.00128256999833723,0.0106839996694808,0.00193368820510326,0.0171042010225651,0.0497494293334573,0.00783490512797455,0.00171978804283207,0,0
"1","18-20","Birth",1159.340402,0.886393103550272,0.000710592849674534,0.0097756810514398,0.00353668343907159,0.0267601344234012,0.0611197857659066,0.00924300316068861,0.00129208642898654,0.00116892933055912,0
"1","20-25","Birth",3202.786504,0.875204781679697,0.00160562872160773,0.00841590501469154,0.005921728150257,0.0312484793710121,0.0615061402794021,0.0115553718469147,0.00402497855661003,0.000516986379807725,0
"1","25-35","Birth",3712.460743,0.871632697827561,0.00174740406675864,0.0132512030175022,0.00733458503267465,0.0311510461674396,0.0468327675458466,0.0127504855342251,0.0024231176092466,0.0128766931987461,0
"1",">35","Birth",824.722983,0.897090617395829,0.00100419294365657,0.015477821357138,0.00404289448545658,0.0293989648643028,0.0170678194862432,0.0134556211343027,0.00186630545253036,0.017413517382236,0.00318224549830449
"6","<18","None",853.515994,0.720625115784298,0.00851019201873328,0.0223221675210928,0.00702955661308908,0.027418077885486,0.188232464452213,0.0252591177570833,0.000603307968005108,0,0
"6","<18","Withdrawal",0.369341,0,1,0,0,0,0,0,0,0,0
"6","<18","Other.trad",12.081768,0,0,1,0,0,0,0,0,0,0
"6","<18","Condom",2.443361,0,0,0,1,0,0,0,0,0,0
"6","<18","Pill",18.066716,0.125692405858375,0,0,0,0.874307594141625,0,0,0,0,0
"6","<18","Injectable",43.581324,0.0472409466036415,0,0,0,0,0.952759053396358,0,0,0,0
"6","<18","Implant",8.354176,0.128602270289733,0,0,0,0,0,0.871397729710267,0,0,0
"6","<18","IUD",0.547086,0,0,0,0,0,0,0,1,0,0
"6","<18","F.sterilization",0,0,0,0,0,0,0,0,0,1,0
"6","<18","Other.mod",0,0,0,0,0,0,0,0,0,0,1
"6","18-20","None",849.349672,0.661379806831785,0.00479538891256557,0.0166069411280116,0.00323827169265099,0.0462444694980703,0.227757614298578,0.0331096001176769,0.00686790752066129,0,0
"6","18-20","Withdrawal",0,0,1,0,0,0,0,0,0,0,0
"6","18-20","Other.trad",10.09069,0,0,1,0,0,0,0,0,0,0
"6","18-20","Condom",4.10022,0,0,0,1,0,0,0,0,0,0
"6","18-20","Pill",29.687115,0.0934809259842191,0,0.0239229712957962,0.00879351193270212,0.467323214128419,0.406479376658864,0,0,0,0
"6","18-20","Injectable",65.584938,0.124307703088779,0,0,0,0,0.801953521706463,0.0737387752047581,0,0,0
"6","18-20","Implant",8.248785,0,0,0,0,0,0,1,0,0,0
"6","18-20","IUD",3.123964,0,0,0,0,0,0,0,1,0,0
"6","18-20","F.sterilization",1.355187,0,0,0,0,0,0,0,0,1,0
"6","18-20","Other.mod",0,0,0,0,0,0,0,0,0,0,1
"6","20-25","None",2584.43737,0.659749175117368,0.00257028708728198,0.0137987271094134,0.00982730837079639,0.0453306326397842,0.22104243640464,0.036872951964783,0.00978088434002175,0.000715707032204073,0.000311889933707312
"6","20-25","Withdrawal",5.966305,0,1,0,0,0,0,0,0,0,0
"6","20-25","Other.trad",26.156514,0,0,0.923936767720653,0,0,0.0760632322793473,0,0,0,0
"6","20-25","Condom",18.966031,0,0,0,1,0,0,0,0,0,0
"6","20-25","Pill",85.75477,0,0,0,0,0.863289505644992,0.0984588845611737,0.00978708239786545,0.0284645273959688,0,0
"6","20-25","Injectable",179.396919,0.0414168595615625,0,0.00861674776031131,0,0.0227594599882733,0.920775216880954,0.00643171580889859,0,0,0
"6","20-25","Implant",31.835327,0,0,0,0,0,0,1,0,0,0
"6","20-25","IUD",11.370869,0,0,0,0,0,0,0,1,0,0
"6","20-25","F.sterilization",1.02033,0,0,0,0,0,0,0,0,1,0
"6","20-25","Other.mod",0,0,0,0,0,0,0,0,0,0,1
"6","25-35","None",3048.007679,0.647222543956065,0.00634604700416833,0.0219163893385979,0.0136605065948064,0.0678837430186146,0.173506180330066,0.0505343090377431,0.0131764848483507,0.00493744097289723,0.000816354898691185
"6","25-35","Withdrawal",6.152597,0,0.850153683070742,0,0,0,0,0,0.149846316929258,0,0
"6","25-35","Other.trad",51.654691,0.0130469466945413,0,0.986953053305459,0,0,0,0,0,0,0
"6","25-35","Condom",24.756279,0,0,0,0.891602368837417,0,0.0453227643782816,0,0.0630748667843015,0,0
"6","25-35","Pill",120.567949,0,0,0.00815937409700815,0,0.855811149279814,0.0860078742817463,0.0472866383420025,0.00273496399942907,0,0
"6","25-35","Injectable",156.259661,0.00709920265346026,0,0.0150388717405447,0,0.00677589464372382,0.904612733032871,0.0419035466869469,0.013516713056225,0.0110530381862277,0
"6","25-35","Implant",43.777697,0,0,0,0,0,0,1,0,0,0
"6","25-35","IUD",6.095993,0,0,0,0,0,0,0,1,0,0
"6","25-35","F.sterilization",43.053082,0,0,0,0,0,0,0,0,1,0
"6","25-35","Other.mod",0,0,0,0,0,0,0,0,0,0,1
"6",">35","None",750.748798,0.771352189364411,0.00547378698567027,0.032031674328435,0.00502409062798127,0.0423044553445958,0.100638614675478,0.0216389210922187,0.0144475342869613,0.00708873329424898,0
"6",">35","Withdrawal",1.162753,0,1,0,0,0,0,0,0,0,0
"6",">35","Other.trad",12.380367,0,0,1,0,0,0,0,0,0,0
"6",">35","Condom",2.656073,0,0,0,1,0,0,0,0,0,0
"6",">35","Pill",24.53888,0,0,0,0,0.977571184992958,0.0224288150070419,0,0,0,0
"6",">35","Injectable",18.029685,0.0958657347590931,0,0.0750492867734517,0,0,0.766051486756424,0,0,0.063033491711031,0
"6",">35","Implant",10.141423,0,0,0,0,0,0,1,0,0,0
"6",">35","IUD",1.539185,0,0,0,0,0,0,0,1,0,0
"6",">35","F.sterilization",16.148243,0,0,0,0,0,0,0,0,1,0
"6",">35","Other.mod",2.624471,0,0,0,0,0,0,0,0,0,1
"No","<18","None",80026.99413,0.943429561966669,0.000849149248736589,0.00820712422876375,0.026243107150537,0.00432471356448767,0.0141172348651069,0.00255820615206629,5.3218263366713e-05,0,0.000217684560267883
"No","<18","Withdrawal",197.305022,0.0903204090937007,0.777942554453092,0.00046967876553426,0.0603738429034657,0.00166503763300923,0.0687129252610884,0.000503688197948516,2.32191675952673e-06,0,9.54177540065774e-06
"No","<18","Other.trad",1340.157167,0.0888174935727713,3.83465615768481e-05,0.87793186147431,0.0184252079182775,0.000534725709050881,0.0140538880203671,0.000186118997974607,2.41906429033754e-06,0,9.93868138111937e-06
"No","<18","Condom",3002.855808,0.32747217933624,0.000241575442900773,0.00281795837920164,0.649959819363199,0.0161427357880492,0.00288168436600256,0.00043517549866872,9.56879689107503e-06,0,3.93030288485412e-05
"No","<18","Pill",1112.942052,0.309258181302572,0.0087785627708936,0.0189243023320424,0.0148465440871083,0.612442236332016,0.0350944908134896,0.000609480577944619,9.04605219430945e-06,0,3.71557317387642e-05
"No","<18","Injectable",4574.72929,0.272994419949484,0.000234806469363717,0.00311726510885405,0.00405031720633138,0.0193845532997417,0.690389971970121,0.0097884332345244,7.87702819566387e-06,0,3.23557333848472e-05
"No","<18","Implant",497.237729,0.0932287580536711,4.02232842616628e-05,0.000398024738787212,0.00126866538401698,0.000447800305355383,0.0207702564354996,0.883833177823828,2.56325782168854e-06,0,1.05307167583891e-05
"No","<18","IUD",16.302631,0.0482686300585027,2.62488410711089e-05,0.000463891752709645,0.000452101825701469,0.00368052110452637,0.281457990311783,0.0017367848775364,0.663910221341321,0,3.60988685036205e-06
"No","<18","F.sterilization",10.433052,0,0,0,0,0,0,0,0,1,0
"No","<18","Other.mod",22.271113,0.342559886032074,0.000154543712085364,0.00147395203091415,0.00496524793750316,0.000795265557577758,0.00263323480283241,0.000455404955433505,1.004285907103e-05,0,0.646952422112508
"No","18-20","None",28431.551185,0.879143144256451,0.00210707179194046,0.0115151074564216,0.0441935123722997,0.013217408937872,0.0376010709328239,0.00986091928739359,0.00120315354059679,0,0.00115861142420117
"No","18-20","Withdrawal",235.967168,0.127559885453715,0.837294249819083,0.00104312855203832,0.0291423393432915,0.00137871108066928,0.00262748682002118,0.000662861773482833,8.02626966678758e-05,0,0.000211074461031188
"No","18-20","Other.trad",1328.373276,0.127487083929464,0.000144310820817159,0.832965740368844,0.0234157343063607,0.00628680821881854,0.00865415576813463,0.000782966213064755,8.01566051650486e-05,0,0.00018304376932942
"No","18-20","Condom",2561.498412,0.28029548394196,0.000326534370796263,0.0188406936808403,0.651948607930011,0.0296736716544473,0.0102049702967435,0.00194522210237809,0.000185291462057285,0,0.00657952456076633
"No","18-20","Pill",1786.625796,0.25132512024827,0.000362664351452591,0.00182195205591183,0.00672619072656008,0.608026970401682,0.109066557263575,0.0223331887033043,0.000164810471388418,0,0.000172545777855212
"No","18-20","Injectable",6889.306016,0.23524969800686,0.00135686636004698,0.0038100892980073,0.0115277582903212,0.0349844456875503,0.696465354146105,0.0162650552385348,0.000153112138767434,0,0.0001876208338085
"No","18-20","Implant",962.357909,0.18314960470308,0.000213485062285734,0.0101804037181302,0.00465796919690279,0.0249389429682452,0.0161722110437061,0.760447432366619,0.000117361447611082,0,0.000122589493421062
"No","18-20","IUD",200.121638,0.0316123119810915,3.19516344828236e-05,0.092671482293723,0.00177219699535944,0.0148133458164242,0.00191666943389992,0.00035146873630418,0.856808369033422,0,2.22040752933648e-05
"No","18-20","F.sterilization",15.888966,0.322234433707119,0.000375564597503696,0.00202127291279079,0.00822664845113752,0.00236731980086173,0.00687252848798384,0.00176010537784438,0.000214532305741335,0.65570492276778,0.000222671591238714
"No","18-20","Other.mod",29.166465,0.218328053054157,0.00034855393316699,0.00530329462819409,0.295015157452223,0.0115024200241152,0.14407030367614,0.0027088562177877,0.000135781654908276,0,0.322587579359309
"No","20-25","None",57654.566735,0.849011366250038,0.000595737673367058,0.0105433111928556,0.0219695458526747,0.018950262161724,0.0797055618615411,0.0159371589845154,0.00210099323127,0.000420193304275283,0.000765869487738316
"No","20-25","Withdrawal",306.555947,0.161415666009489,0.672621885884068,0.0419680013354927,0.00700345787817277,0.00326185055194995,0.0730690367899053,0.0401529058025486,0.000394180464259805,3.59871561578347e-05,7.70281279548536e-05
"No","20-25","Other.trad",5045.759363,0.0916274831782947,6.5323089159591e-05,0.85041014818353,0.00722696336912282,0.00521314659067947,0.0384534015991831,0.00439117320258112,0.0025445407872254,1.97592337470273e-05,4.80607664768177e-05
"No","20-25","Condom",5623.124132,0.198379752130488,0.000966230562119281,0.0113244324584136,0.730493246264703,0.0151418254701134,0.0352411986674709,0.00574040616174821,0.000325432029047182,4.4534540016692e-05,0.00234294171587917
"No","20-25","Pill",9767.676464,0.208979463840361,0.000971133576309397,0.0142100737605098,0.0100184719223253,0.677903112321692,0.0599577028014697,0.0211730735601713,0.00617947659444894,4.72645825259926e-05,0.000560227040186469
"No","20-25","Injectable",32805.165661,0.198329002952559,0.00141358532258343,0.00896374867670736,0.00539572975196655,0.024426083728712,0.738183975270454,0.0204953267492107,0.00265075444077209,4.46040967701562e-05,9.71890102662175e-05
