postpartum,age_grp,From,n,None,Withdrawal,Other.trad,Condom,Pill,Injectable,Implant,IUD,F.sterilization,Other.mod
1,<18,Birth,1263.575479,0.90969141860025,0.00128256999833723,0.0106839996694808,0.00193368820510326,0.0171042010225651,0.0497494293334573,0.00783490512797455,0.00171978804283207,0,0
1,18-20,Birth,1159.340402,0.886393103550272,0.000710592849674534,0.0097756810514398,0.00353668343907159,0.0267601344234012,0.0611197857659066,0.00924300316068861,0.00129208642898654,0.00116892933055912,0
1,20-25,Birth,3202.786504,0.875204781679697,0.00160562872160773,0.00841590501469154,0.005921728150257,0.0312484793710121,0.0615061402794021,0.0115553718469147,0.00402497855661003,0.000516986379807725,0
1,25-35,Birth,3712.460743,0.871632697827561,0.00174740406675864,0.0132512030175022,0.00733458503267465,0.0311510461674396,0.0468327675458466,0.0127504855342251,0.0024231176092466,0.0128766931987461,0
1,>35,Birth,824.722983,0.897090617395829,0.00100419294365657,0.015477821357138,0.00404289448545658,0.0293989648643028,0.0170678194862432,0.0134556211343027,0.00186630545253036,0.017413517382236,0.00318224549830449
6,<18,None,853.515994,0.720625115784298,0.00851019201873328,0.0223221675210928,0.00702955661308908,0.027418077885486,0.188232464452213,0.0252591177570833,0.000603307968005108,0,0
6,<18,Withdrawal,0.369341,0,1,0,0,0,0,0,0,0,0
6,<18,Other.trad,12.081768,0,0,1,0,0,0,0,0,0,0
6,<18,Condom,2.443361,0,0,0,1,0,0,0,0,0,0
6,<18,Pill,18.066716,0.125692405858375,0,0,0,0.874307594141625,0,0,0,0,0
6,<18,Injectable,43.581324,0.0472409466036415,0,0,0,0,0.952759053396358,0,0,0,0
6,<18,Implant,8.354176,0.128602270289733,0,0,0,0,0,0.871397729710267,0,0,0
6,<18,IUD,0.547086,0,0,0,0,0,0,0,1,0,0
6,<18,F.sterilization,0,0,0,0,0,0,0,0,0,1,0
6,<18,Other.mod,0,0,0,0,0,0,0,0,0,0,1
6,18-20,None,849.349672,0.661379806831785,0.00479538891256557,0.0166069411280116,0.00323827169265099,0.0462444694980703,0.227757614298578,0.0331096001176769,0.00686790752066129,0,0
6,18-20,Withdrawal,0,0,1,0,0,0,0,0,0,0,0
6,18-20,Other.trad,10.09069,0,0,1,0,0,0,0,0,0,0
6,18-20,Condom,4.10022,0,0,0,1,0,0,0,0,0,0
6,18-20,Pill,29.687115,0.0934809259842191,0,0.0239229712957962,0.00879351193270212,0.467323214128419,0.406479376658864,0,0,0,0
6,18-20,Injectable,65.584938,0.124307703088779,0,0,0,0,0.801953521706463,0.0737387752047581,0,0,0
6,18-20,Implant,8.248785,0,0,0,0,0,0,1,0,0,0
6,18-20,IUD,3.123964,0,0,0,0,0,0,0,1,0,0
6,18-20,F.sterilization,1.355187,0,0,0,0,0,0,0,0,1,0
6,18-20,Other.mod,0,0,0,0,0,0,0,0,0,0,1
6,20-25,None,2584.43737,0.659749175117368,0.00257028708728198,0.0137987271094134,0.00982730837079639,0.0453306326397842,0.22104243640464,0.036872951964783,0.00978088434002175,0.000715707032204073,0.000311889933707312
6,20-25,Withdrawal,5.966305,0,1,0,0,0,0,0,0,0,0
6,20-25,Other.trad,26.156514,0,0,0.923936767720653,0,0,0.0760632322793473,0,0,0,0
6,20-25,Condom,18.966031,0,0,0,1,0,0,0,0,0,0
6,20-25,Pill,85.75477,0,0,0,0,0.863289505644992,0.0984588845611737,0.00978708239786545,0.0284645273959688,0,0
6,20-25,Injectable,179.396919,0.0414168595615625,0,0.00861674776031131,0,0.0227594599882733,0.920775216880954,0.00643171580889859,0,0,0
6,20-25,Implant,31.835327,0,0,0,0,0,0,1,0,0,0
6,20-25,IUD,11.370869,0,0,0,0,0,0,0,1,0,0
6,20-25,F.sterilization,1.02033,0,0,0,0,0,0,0,0,1,0
6,20-25,Other.mod,0,0,0,0,0,0,0,0,0,0,1
6,25-35,None,3048.007679,0.647222543956065,0.00634604700416833,0.0219163893385979,0.0136605065948064,0.0678837430186146,0.173506180330066,0.0505343090377431,0.0131764848483507,0.00493744097289723,0.000816354898691185
6,25-35,Withdrawal,6.152597,0,0.850153683070742,0,0,0,0,0,0.149846316929258,0,0
6,25-35,Other.trad,51.654691,0.0130469466945413,0,0.986953053305459,0,0,0,0,0,0,0
6,25-35,Condom,24.756279,0,0,0,0.891602368837417,0,0.0453227643782816,0,0.0630748667843015,0,0
6,25-35,Pill,120.567949,0,0,0.00815937409700815,0,0.855811149279814,0.0860078742817463,0.0472866383420025,0.00273496399942907,0,0
6,25-35,Injectable,156.259661,0.00709920265346026,0,0.0150388717405447,0,0.00677589464372382,0.904612733032871,0.0419035466869469,0.013516713056225,0.0110530381862277,0
6,25-35,Implant,43.777697,0,0,0,0,0,0,1,0,0,0
6,25-35,IUD,6.095993,0,0,0,0,0,0,0,1,0,0
6,25-35,F.sterilization,43.053082,0,0,0,0,0,0,0,0,1,0
6,25-35,Other.mod,0,0,0,0,0,0,0,0,0,0,1
6,>35,None,750.748798,0.771352189364411,0.00547378698567027,0.032031674328435,0.00502409062798127,0.0423044553445958,0.100638614675478,0.0216389210922187,0.0144475342869613,0.00708873329424898,0
6,>35,Withdrawal,1.162753,0,1,0,0,0,0,0,0,0,0
6,>35,Other.trad,12.380367,0,0,1,0,0,0,0,0,0,0
6,>35,Condom,2.656073,0,0,0,1,0,0,0,0,0,0
6,>35,Pill,24.53888,0,0,0,0,0.977571184992958,0.0224288150070419,0,0,0,0
6,>35,Injectable,18.029685,0.0958657347590931,0,0.0750492867734517,0,0,0.766051486756424,0,0,0.063033491711031,0
6,>35,Implant,10.141423,0,0,0,0,0,0,1,0,0,0
6,>35,IUD,1.539185,0,0,0,0,0,0,0,1,0,0
6,>35,F.sterilization,16.148243,0,0,0,0,0,0,0,0,1,0
6,>35,Other.mod,2.624471,0,0,0,0,0,0,0,0,0,1
No,<18,None,231474.897925,0.978251232805288,0.000298945256989591,0.00297420082929034,0.0102206556741792,0.00156526906715137,0.0054898899195512,0.00110437403543727,1.87463140896196E-05,0,7.66860980247692E-05
No,<18,Withdrawal,197.305022,0.092582904904063,0.777918859767162,0.000241589331393164,0.0583082775541028,0.00140575585950329,0.0689015754785558,0.000636864729703435,8.16581397097705E-07,0,3.35579411908875E-06
No,<18,Other.trad,1419.686161,0.0985205602906623,1.52075612654008E-05,0.871585737464121,0.0163527342232915,0.000368055156264824,0.0129948051903971,0.00015817390330215,9.25161567720892E-07,0,3.80104912808567E-06
No,<18,Condom,3250.187721,0.368254215324743,0.000140056267593737,0.00183171961413206,0.613964628204859,0.0139815415845593,0.00160052206531149,0.000208280925116489,3.72715377491811E-06,0,1.53088599111526E-05
No,<18,Pill,1146.513363,0.3170583066297,0.00832260942050916,0.0172975367434059,0.011444710339528,0.593395670171784,0.0518290838660072,0.000635799154756619,3.18820005004918E-06,0,1.30954742593345E-05
No,<18,Injectable,5042.461529,0.262939285539354,0.000139706479460299,0.00217289319065236,0.00156660095161104,0.0171421017178151,0.701758768670462,0.0142673755092293,2.59760792949627E-06,0,1.06703334864283E-05
No,<18,Implant,769.708906,0.0729526544168756,1.10410804518689E-05,0.000117179967371601,0.000379709189370825,0.000200735707232725,0.0134903213309004,0.912844848206389,6.87113909130848E-07,0,2.82298750016771E-06
No,<18,IUD,16.302631,0.0460408752196459,1.57781323384008E-05,0.000349656832300804,0.000175107013711743,0.00328934029068045,0.283682866703228,0.00253555941223433,0.663909632105077,0,1.18429078425617E-06
No,<18,F.sterilization,10.433052,0,0,0,0,0,0,0,0,1,0
No,<18,Other.mod,22.271113,0.349054238077696,5.40529472148482E-05,0.000531412434770731,0.0019366163473027,0.000287500802251347,0.00101346098041731,0.000193603618417742,3.51296578767413E-06,0,0.646925601826141
No,18-20,None,40525.234483,0.906991280567668,0.00150150629532483,0.00978111417990704,0.0333885254689133,0.00966372278575421,0.0293885056626854,0.00756510488758489,0.000860216846144624,0,0.00086002330601909
No,18-20,Withdrawal,235.967168,0.129936478136557,0.83725349609128,0.000912130333062963,0.0279500480780073,0.00111089547799639,0.00205321404372037,0.000548997953661858,5.70980709056514E-05,0,0.00017764181480809
No,18-20,Other.trad,1467.50551,0.118365167555035,9.39963580311346E-05,0.847503067041206,0.0203678845385305,0.00550688479545136,0.00737652601960951,0.000595674013176529,5.18341345988815E-05,0,0.000138965544362169
No,18-20,Condom,2686.345618,0.309888033117506,0.000253748843425912,0.0177881734305906,0.625600917673396,0.0276205157550413,0.00896173402092277,0.00418028335329176,0.000144163762383189,0,0.00556243004344276
No,18-20,Pill,1848.508785,0.253757582541101,0.000271282872663413,0.00161823307033768,0.00511669666158532,0.61244174432573,0.105125260743129,0.0214212725096026,0.000116285849778135,0,0.000131641426073222
No,18-20,Injectable,7278.467034,0.235449921008595,0.00122115133825868,0.00456363524236867,0.00965689809610928,0.0329325704066623,0.700665332643861,0.015259244053173,0.000107011928487844,0,0.000144235282484665
No,18-20,Implant,1078.508961,0.182873655223255,0.000149863067557137,0.00912578940245684,0.00347183534000042,0.0221891284441886,0.0139828756200082,0.768032463635806,8.18896895425716E-05,0,9.24995771855674E-05
No,18-20,IUD,211.350416,0.0298941744691719,2.13037083001709E-05,0.0887620851375916,0.00141308065689386,0.0140531325246045,0.00163621832030655,0.000293342634459355,0.863910431543774,0,1.62310048987149E-05
No,18-20,F.sterilization,15.888966,0.327383920570857,0.000266110395815472,0.00170685127587589,0.00621837905073038,0.00171932236049979,0.0053392673541502,0.00133816268268861,0.000152322997549211,0.65570492276778,0.00017074054405431
No,18-20,Other.mod,29.788508,0.340849455701175,0.000383682562953366,0.0054671503310871,0.258306872828639,0.0105833445648221,0.130330064974407,0.00336791101175911,0.000164041011962784,0,0.250547477013194
No,20-25,None,74164.622279,0.871298723937706,0.000473672716594053,0.0088552527182009,0.0192855667478977,0.0159499609533196,0.0667224992803709,0.0143540600053671,0.00165533805503133,0.000330590185024348,0.0010743354004859
No,20-25,Withdrawal,325.044105,0.164328758094937,0.679872645374978,0.0396025498892176,0.00641663714962222,0.00283377130761436,0.0683145428232201,0.0381626588527513,0.000333441619558178,2.83297482847183E-05,0.000106665139815259
No,20-25,Other.trad,5306.200925,0.097838016662001,5.73382094154866E-05,0.847653999504808,0.00674294172338313,0.00485659149905281,0.0361752135373634,0.00419498708383775,0.00239794309742083,1.63625279515995E-05,6.66061547652731E-05
No,20-25,Condom,5826.373101,0.22554202658707,0.000916707373699577,0.0125927066047151,0.704066626388307,0.0153713101560793,0.0334003074427003,0.005593616625475,0.000297897432491833,3.94558542495396E-05,0.00217934553521182
No,20-25,Pill,10088.915637,0.21951942204825,0.00092864348308172,0.0135716988968638,0.00940134568577513,0.671315068680824,0.0582603518385204,0.0204888347048224,0.00591003327531613,3.84823120644431E-05,0.000566119074481517
No,20-25,Injectable,34149.445796,0.20506162464796,0.00135090085457886,0.00846070018027382,0.00497426365712691,0.0231113885858744,0.733644433694863,0.0207258941985567,0.00249908589400183,3.57112604920265E-05,0.000135997026273091
