postpartum,age_grp,From,n,None,Withdrawal,Other.trad,Condom,Pill,Injectable,Implant,IUD,F.sterilization,Other.mod
1,<18,Birth,282,0.75531914893617,0,0.00354609929078014,0.0177304964539007,0.0106382978723404,0.0638297872340425,0.148936170212766,0,0,0
1,18-20,Birth,420,0.764285714285714,0,0.00714285714285714,0.00714285714285714,0.0166666666666667,0.0904761904761905,0.104761904761905,0.00714285714285714,0,0.00238095238095238
1,20-25,Birth,1083,0.734995383194829,0.00369344413665743,0.0110803324099723,0.00923361034164358,0.0193905817174515,0.112650046168052,0.0987996306555863,0.00184672206832872,0,0.00831024930747922
1,25-35,Birth,1456,0.752747252747253,0.00343406593406593,0.0144230769230769,0.0144230769230769,0.0212912087912088,0.0899725274725275,0.0782967032967033,0.00824175824175824,0.00824175824175824,0.00892857142857143
1,>35,Birth,372,0.793010752688172,0,0.00806451612903226,0.00537634408602151,0.00806451612903226,0.0403225806451613,0.0806451612903226,0.00537634408602151,0.0483870967741935,0.010752688172043
6,<18,None,140,0.714285714285714,0,0,0.0142857142857143,0.0214285714285714,0.128571428571429,0.121428571428571,0,0,0
6,<18,Withdrawal,0,0,1,0,0,0,0,0,0,0,0
6,<18,Other.trad,0,0,0,1,0,0,0,0,0,0,0
6,<18,Condom,1,0,0,0,1,0,0,0,0,0,0
6,<18,Pill,3,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0
6,<18,Injectable,12,0.0833333333333333,0,0,0,0.0833333333333333,0.75,0.0833333333333333,0,0,0
6,<18,Implant,29,0,0,0,0,0,0,1,0,0,0
6,<18,IUD,0,0,0,0,0,0,0,0,1,0,0
6,<18,F.sterilization,0,0,0,0,0,0,0,0,0,1,0
6,<18,Other.mod,0,0,0,0,0,0,0,0,0,0,1
6,18-20,None,222,0.558558558558559,0,0.0045045045045045,0.0045045045045045,0.0225225225225225,0.211711711711712,0.198198198198198,0,0,0
6,18-20,Withdrawal,0,0,1,0,0,0,0,0,0,0,0
6,18-20,Other.trad,3,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0
6,18-20,Condom,3,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0
6,18-20,Pill,6,0,0,0,0,0.5,0.166666666666667,0.333333333333333,0,0,0
6,18-20,Injectable,29,0,0,0,0,0,0.896551724137931,0.103448275862069,0,0,0
6,18-20,Implant,39,0,0,0,0,0,0,1,0,0,0
6,18-20,IUD,1,0,0,0,0,0,0,0,1,0,0
6,18-20,F.sterilization,0,0,0,0,0,0,0,0,0,1,0
6,18-20,Other.mod,0,0,0,0,0,0,0,0,0,0,1
6,20-25,None,636,0.482704402515723,0.00157232704402516,0.00628930817610063,0.0188679245283019,0.0408805031446541,0.257861635220126,0.177672955974843,0.0110062893081761,0,0.00314465408805031
6,20-25,Withdrawal,3,0,1,0,0,0,0,0,0,0,0
6,20-25,Other.trad,8,0,0,0.75,0,0,0.125,0,0,0.125,0
6,20-25,Condom,7,0,0,0,0.285714285714286,0,0.571428571428571,0.142857142857143,0,0,0
6,20-25,Pill,20,0,0,0,0,0.6,0.25,0.15,0,0,0
6,20-25,Injectable,102,0.0588235294117647,0,0,0,0,0.833333333333333,0.0980392156862745,0.00980392156862745,0,0
6,20-25,Implant,84,0,0,0,0,0,0,1,0,0,0
6,20-25,IUD,1,0,0,0,0,0,0,0,1,0,0
