postpartum,age_grp,From,n,None,Withdrawal,Other.trad,Condom,Pill,Injectable,Implant,IUD,F.sterilization,Other.mod
1,<18,Birth,283.68367743979,0.800980213188989,0,0.00518965691047249,0.00993134367231809,0.00885221762049127,0.0507767737819975,0.124269794825731,0,0,0
1,18-20,Birth,355.347481764245,0.784855903041144,0,0.00655199210382721,0.0133572534177736,0.00815669975212254,0.0792981835593429,0.100700514113139,0.00380458257522344,0,0.00327487143742732
1,20-25,Birth,989.904901852143,0.72524512427127,0.00304586157391163,0.0104067449679841,0.0150901051192661,0.0107611807944115,0.124166960320661,0.106812961172305,0.00154821672283032,0,0.00292284505735989
1,25-35,Birth,1371.59463768787,0.770562389401038,0.00404161796426906,0.0109623990560826,0.0120752344767374,0.0141902335908799,0.0834628361238019,0.0829045018901436,0.00953334039185173,0.00916471375786734,0.00310273334732841
1,>35,Birth,363.051614490445,0.80128064049253,0,0.00369788521981218,0.00929684833196331,0.00587541723784746,0.0594360859143558,0.0621895663865769,0.00753259528768073,0.0406015272802031,0.0100894338490301
6,<18,None,137.312655063215,0.700495446740929,0,0.00544492146622592,0.0259977281431988,0.0171503751743176,0.109563622830394,0.141347905644935,0,0,0
6,<18,Withdrawal,0,0,1,0,0,0,0,0,0,0,0
6,<18,Other.trad,0.747656623138173,0,0,1,0,0,0,0,0,0,0
6,<18,Condom,0.819625518197536,0,0,0,1,0,0,0,0,0,0
6,<18,Pill,2.51122964807827,0,0,0,0,0.615392405479464,0.384607594520536,0,0,0,0
6,<18,Injectable,7.58755272070508,0.0912878292990385,0,0,0,0,0.785767269858482,0.122944900842479,0,0,0
6,<18,Implant,18.5727217682504,0,0,0,0,0,0,1,0,0,0
6,<18,IUD,0,0,0,0,0,0,0,0,1,0,0
6,<18,F.sterilization,0,0,0,0,0,0,0,0,0,1,0
6,<18,Other.mod,0,0,0,0,0,0,0,0,0,0,1
6,18-20,None,162.474778583151,0.565003766923843,0,0,0.00784326669401571,0.0146250243295906,0.220494689286598,0.192033252765953,0,0,0
6,18-20,Withdrawal,0,0,1,0,0,0,0,0,0,0,0
6,18-20,Other.trad,2.32823389463422,0,0,0.678828570407984,0,0,0.321171429592016,0,0,0,0
6,18-20,Condom,2.62108810202434,0,0,0,0.397016954504767,0,0.602983045495233,0,0,0,0
6,18-20,Pill,1.3078808590428,0,0,0,0,1,0,0,0,0,0
6,18-20,Injectable,12.222035227592,0,0,0,0,0,0.923674666329041,0.0763253336709587,0,0,0
6,18-20,Implant,30.5818860582454,0,0,0,0,0,0,1,0,0,0
6,18-20,IUD,0.798547449846652,0,0,0,0,0,0,0,1,0,0
6,18-20,F.sterilization,0,0,0,0,0,0,0,0,0,1,0
6,18-20,Other.mod,0,0,0,0,0,0,0,0,0,0,1
6,20-25,None,485.962563566959,0.481420326560037,0.00620219059303444,0.00852213777681671,0.0191390726565953,0.0364036180129003,0.254073750624959,0.171209245697735,0.020484460390643,0,0.00254519768727808
6,20-25,Withdrawal,2.6484057481282,0,1,0,0,0,0,0,0,0,0
6,20-25,Other.trad,5.0463812003124,0,0,0.654939618066431,0,0,0.345060381933569,0,0,0,0
6,20-25,Condom,10.3644475166669,0,0,0,0.507513097529206,0,0.450976807428222,0.0415100950425716,0,0,0
6,20-25,Pill,8.18764324244072,0,0,0,0,0.608739551924415,0.319971809571134,0.0712886385044507,0,0,0
6,20-25,Injectable,92.21545650029,0.0329268333904569,0,0,0,0,0.855814378812374,0.10142343364878,0.00983535414838899,0,0
