"postpartum","From","n","age_grp","None","Pill","IUD","Injectable","Condom","F.sterilization","Withdrawal","Implant","Other.trad","Other.mod","group"
"1","Birth",824.722983,">35",0.897090617395829,0.0293989648643028,0.00186630545253036,0.0170678194862432,0.00404289448545658,0.017413517382236,0.00100419294365657,0.0134556211343027,0.015477821357138,0.00318224549830449,"grp1>35"
"1","Birth",1159.340402,"18-20",0.886393103550272,0.0267601344234012,0.00129208642898654,0.0611197857659066,0.00353668343907159,0.00116892933055912,0.000710592849674534,0.00924300316068861,0.0097756810514398,0,"grp118-20"
"1","Birth",1263.575479,"<18",0.90969141860025,0.0171042010225651,0.00171978804283207,0.0497494293334573,0.00193368820510326,0,0.00128256999833723,0.00783490512797455,0.0106839996694808,0,"grp1<18"
"1","Birth",3202.786504,"20-25",0.875204781679697,0.0312484793710121,0.00402497855661003,0.0615061402794021,0.005921728150257,0.000516986379807725,0.00160562872160773,0.0115553718469147,0.00841590501469154,0,"grp120-25"
"1","Birth",3712.460743,"25-35",0.871632697827561,0.0311510461674396,0.0024231176092466,0.0468327675458466,0.00733458503267465,0.0128766931987461,0.00174740406675864,0.0127504855342251,0.0132512030175022,0,"grp125-35"
"6","None",750.748798,">35",0.771352189364411,0.0423044553445958,0.0144475342869613,0.100638614675478,0.00502409062798127,0.00708873329424898,0.00547378698567027,0.0216389210922187,0.032031674328435,0,"grp6>35"
"6","None",849.349672,"18-20",0.661379806831785,0.0462444694980703,0.00686790752066129,0.227757614298578,0.00323827169265099,0,0.00479538891256557,0.0331096001176769,0.0166069411280116,0,"grp618-20"
"6","None",853.515994,"<18",0.720625115784298,0.027418077885486,0.000603307968005108,0.188232464452213,0.00702955661308908,0,0.00851019201873328,0.0252591177570833,0.0223221675210928,0,"grp6<18"
"6","None",2584.43737,"20-25",0.659749175117368,0.0453306326397842,0.00978088434002175,0.22104243640464,0.00982730837079639,0.000715707032204073,0.00257028708728198,0.036872951964783,0.0137987271094134,0.000311889933707312,"grp620-25"
"6","None",3048.007679,"25-35",0.647222543956065,0.0678837430186146,0.0131764848483507,0.173506180330066,0.0136605065948064,0.00493744097289723,0.00634604700416833,0.0505343090377431,0.0219163893385979,0.000816354898691185,"grp625-35"
"6","Pill",18.066716,"<18",0.125692405858375,0.874307594141625,0,0,0,0,0,0,0,0,"grp6<18"
"6","Pill",24.53888,">35",0,0.977571184992958,0,0.0224288150070419,0,0,0,0,0,0,"grp6>35"
"6","Pill",29.687115,"18-20",0.0934809259842191,0.467323214128419,0,0.406479376658864,0.00879351193270212,0,0,0,0.0239229712957962,0,"grp618-20"
"6","Pill",85.75477,"20-25",0,0.863289505644992,0.0284645273959688,0.0984588845611737,0,0,0,0.00978708239786545,0,0,"grp620-25"
"6","Pill",120.567949,"25-35",0,0.855811149279814,0.00273496399942907,0.0860078742817463,0,0,0,0.0472866383420025,0.00815937409700815,0,"grp625-35"
"6","IUD",0.547086,"<18",0,0,1,0,0,0,0,0,0,0,"grp6<18"
"6","IUD",1.539185,">35",0,0,1,0,0,0,0,0,0,0,"grp6>35"
"6","IUD",3.123964,"18-20",0,0,1,0,0,0,0,0,0,0,"grp618-20"
"6","IUD",6.095993,"25-35",0,0,1,0,0,0,0,0,0,0,"grp625-35"
"6","IUD",11.370869,"20-25",0,0,1,0,0,0,0,0,0,0,"grp620-25"
"6","Injectable",18.029685,">35",0.0958657347590931,0,0,0.766051486756424,0,0.063033491711031,0,0,0.0750492867734517,0,"grp6>35"
"6","Injectable",43.581324,"<18",0.0472409466036415,0,0,0.952759053396358,0,0,0,0,0,0,"grp6<18"
"6","Injectable",65.584938,"18-20",0.124307703088779,0,0,0.801953521706463,0,0,0,0.0737387752047581,0,0,"grp618-20"
"6","Injectable",156.259661,"25-35",0.00709920265346026,0.00677589464372382,0.013516713056225,0.904612733032871,0,0.0110530381862277,0,0.0419035466869469,0.0150388717405447,0,"grp625-35"
"6","Injectable",179.396919,"20-25",0.0414168595615625,0.0227594599882733,0,0.920775216880954,0,0,0,0.00643171580889859,0.00861674776031131,0,"grp620-25"
"6","Condom",2.443361,"<18",0,0,0,0,1,0,0,0,0,0,"grp6<18"
"6","Condom",2.656073,">35",0,0,0,0,1,0,0,0,0,0,"grp6>35"
"6","Condom",4.10022,"18-20",0,0,0,0,1,0,0,0,0,0,"grp618-20"
"6","Condom",18.966031,"20-25",0,0,0,0,1,0,0,0,0,0,"grp620-25"
"6","Condom",24.756279,"25-35",0,0,0.0630748667843015,0.0453227643782816,0.891602368837417,0,0,0,0,0,"grp625-35"
"6","F.sterilization",0,"<18",0,0,0,0,0,1,0,0,0,0,"grp6<18"
"6","F.sterilization",1.02033,"20-25",0,0,0,0,0,1,0,0,0,0,"grp620-25"
"6","F.sterilization",1.355187,"18-20",0,0,0,0,0,1,0,0,0,0,"grp618-20"
"6","F.sterilization",16.148243,">35",0,0,0,0,0,1,0,0,0,0,"grp6>35"
"6","F.sterilization",43.053082,"25-35",0,0,0,0,0,1,0,0,0,0,"grp625-35"
"6","Withdrawal",0,"18-20",0,0,0,0,0,0,1,0,0,0,"grp618-20"
"6","Withdrawal",0.369341,"<18",0,0,0,0,0,0,1,0,0,0,"grp6<18"
"6","Withdrawal",1.162753,">35",0,0,0,0,0,0,1,0,0,0,"grp6>35"
"6","Withdrawal",5.966305,"20-25",0,0,0,0,0,0,1,0,0,0,"grp620-25"
"6","Withdrawal",6.152597,"25-35",0,0,0.149846316929258,0,0,0,0.850153683070742,0,0,0,"grp625-35"
"6","Implant",8.248785,"18-20",0,0,0,0,0,0,0,1,0,0,"grp618-20"
"6","Implant",8.354176,"<18",0.128602270289733,0,0,0,0,0,0,0.871397729710267,0,0,"grp6<18"
"6","Implant",10.141423,">35",0,0,0,0,0,0,0,1,0,0,"grp6>35"
"6","Implant",31.835327,"20-25",0,0,0,0,0,0,0,1,0,0,"grp620-25"
"6","Implant",43.777697,"25-35",0,0,0,0,0,0,0,1,0,0,"grp625-35"
"6","Other.trad",10.09069,"18-20",0,0,0,0,0,0,0,0,1,0,"grp618-20"
"6","Other.trad",12.081768,"<18",0,0,0,0,0,0,0,0,1,0,"grp6<18"
"6","Other.trad",12.380367,">35",0,0,0,0,0,0,0,0,1,0,"grp6>35"
"6","Other.trad",26.156514,"20-25",0,0,0,0.0760632322793473,0,0,0,0,0.923936767720653,0,"grp620-25"
"6","Other.trad",51.654691,"25-35",0.0130469466945413,0,0,0,0,0,0,0,0.986953053305459,0,"grp625-35"
"6","Other.mod",0,"<18",0,0,0,0,0,0,0,0,0,1,"grp6<18"
"6","Other.mod",0,"18-20",0,0,0,0,0,0,0,0,0,1,"grp618-20"
"6","Other.mod",0,"20-25",0,0,0,0,0,0,0,0,0,1,"grp620-25"
"6","Other.mod",0,"25-35",0,0,0,0,0,0,0,0,0,1,"grp625-35"
"6","Other.mod",2.624471,">35",0,0,0,0,0,0,0,0,0,1,"grp6>35"
"No","None",28431.551185,"18-20",0.987751945655933,0.00126904138171102,0.000114548058908521,0.00382332009578675,0.00471550187774252,0,0.000200353648062836,0.000940694224735456,0.00104918964167308,0.000135405415446734,"grpNo18-20"
"No","None",51991.656344,">35",0.993944008478654,0.00119514463222464,0.000197450124152175,0.00238840511597454,0.00040884654374842,0.000371978147263467,2.25289610365563e-05,0.00102207211188671,0.000449565885059505,0,"grpNo>35"
"No","None",57654.566735,"20-25",0.984948547007757,0.00187441139739579,0.000184431010450121,0.00816841372106098,0.0022572285140597,3.78245492681179e-05,5.3115029275573e-05,0.00143586781911839,0.000960087207912308,8.00737437022039e-05,"grpNo20-25"
"No","None",67110.921121,"25-35",0.986259291608629,0.00213679127934257,0.000460293801426216,0.00692111074086654,0.00131901555695233,0.000104218387755244,5.38799488905915e-05,0.00206467598247049,0.000657363723565334,2.33589701022515e-05,"grpNo25-35"
"No","None",80026.99413,"<18",0.994385538306361,0.000414254007168468,5.47640211611682e-06,0.00140853479785696,0.00272000323598809,0,7.92767874011864e-05,0.000224874296425108,0.00073939120971955,2.26509569640386e-05,"grpNo<18"
"No","Pill",1112.942052,"<18",0.0320036590728086,0.959801199964003,0,0.00399059680782014,0.00125986793066204,0,0.00100961051654107,0,0.00193506570816501,0,"grpNo<18"
"No","Pill",1786.625796,"18-20",0.0259480586834648,0.958790431009762,0,0.0128889412945653,0,0,0,0.00237256901220741,0,0,"grpNo18-20"
"No","Pill",9767.676464,"20-25",0.0215292249671713,0.967716724324132,0.000628769597624953,0.00576142168584424,0.000835774508921122,0,0.000100014164433119,0.00201072466644305,0.00136150742185353,5.58386635767669e-05,"grpNo20-25"
"No","Pill",11847.060829,">35",0.00769949342850631,0.981999754362872,0.00109277635920544,0.00516862805752713,0.000785993431991688,0.000193175592919883,4.47856230045867e-05,0.00193381196658664,0.00104435101487061,3.72301625159487e-05,"grpNo>35"
"No","Pill",20773.233098,"25-35",0.0154606587469969,0.97159170061704,0.00103769085429824,0.00755366375853681,0.00012581719887655,0.000181723373641027,0.000185418946671851,0.00236783026349113,0.00146378422927953,3.17120111680364e-05,"grpNo25-35"
"No","IUD",16.302631,"<18",0,0,0.966441858372431,0.0335581416275692,0,0,0,0,0,0,"grpNo<18"
"No","IUD",200.121638,"18-20",0.00218996808331141,0.00160644797440645,0.98720243335206,0,0,0,0,0,0.00900115059022253,0,"grpNo18-20"
"No","IUD",1576.331882,"20-25",0.00817209824092107,0.00351188164320843,0.985411659015091,0.00202829178075331,0,0,0,0.00053243165959134,0.000343637660435266,0,"grpNo20-25"
"No","IUD",5366.155718,"25-35",0.0059184452835515,0.00117673085386226,0.991037272578828,0.000949173722803994,0,0,0,0.000918377560954708,0,0,"grpNo25-35"
"No","IUD",5370.108334,">35",0.00169333138820063,0.00126769248897615,0.995002669158443,0.000558381845113816,0.000293249577486084,0.000499754722452867,0,0.000326118374356058,0.000358802444971308,0,"grpNo>35"
"No","Injectable",4574.72929,"<18",0.0272202012635375,0.00232385488322523,0,0.969289320068161,0,0,0,0.000984737612747354,0.000181886172329117,0,"grpNo<18"
"No","Injectable",6889.306016,"18-20",0.0238107647735531,0.00409873635086324,0,0.969429810707947,0.000677297102083032,0,0.000116467028483933,0.00162850568314775,0.000238418353922051,0,"grpNo18-20"
"No","Injectable",22175.059276,">35",0.00849423497162245,0.00253684589068424,0.000554335384045807,0.985230036009217,0.000873340619249671,0.000218228909324157,8.46625019862698e-05,0.00116496897160312,0.000803589915057686,3.97568272096645e-05,"grpNo>35"
"No","Injectable",32805.165661,"20-25",0.0201420075980759,0.0025387372178099,0.000240624604111796,0.973911309644217,0.000309853914625534,0,0.000151980180545993,0.00191810618029605,0.000787380660318013,0,"grpNo20-25"
"No","Injectable",57956.447062,"25-35",0.0147626933218441,0.0037277373950974,0.000551430179386451,0.978316939448416,0.00036505103526044,0.000140180936062364,0,0.00173393812240588,0.000365913458727264,3.61161027997593e-05,"grpNo25-35"
"No","Condom",2561.498412,"18-20",0.0295373394125688,0.00353372188621915,0,0.00014218708795358,0.963821553991266,0,0,0,0.00189047823622075,0.00107471938577177,"grpNo18-20"
