"postpartum","From","n","age_grp","Pill","IUD","Injectable","Condom","F.sterilization","Withdrawal","Implant","Other.trad","Other.mod","group"
"1","Birth",84.871733,">35",0.285678177444544,0.018135425607487,0.165852899457114,0.0392859657997086,0.169212145108431,0.00975803098070355,0.130752131572475,0.150402431396093,0.0309227926334437,"grp1>35"
"1","Birth",114.111709,"<18",0.189397294891097,0.0190434620517339,0.550882635540933,0.021412009524807,0,0.0142020833287143,0.0867570391045497,0.118305475558166,0,"grp1<18"
"1","Birth",131.709065,"18-20",0.235550263757472,0.0113733098021765,0.537993622534637,0.0311308868527766,0.0102892462261424,0.00625483902721502,0.0813595252536338,0.0860483065459465,0,"grp118-20"
"1","Birth",399.692441,"20-25",0.250398050434984,0.0322526664946361,0.492856546166206,0.0474515628880757,0.00414267779459957,0.0128661077180591,0.0925946683089761,0.0674377201944632,0,"grp120-25"
"1","Birth",476.55857,"25-35",0.242671191496986,0.0188764394689198,0.364834087444907,0.0571374867941206,0.100311317452543,0.0136125324532512,0.099328141344725,0.103228803544546,0,"grp125-35"
"6","None",171.657069,">35",0.185020163661305,0.0631868472599867,0.44014685465706,0.0219730537284194,0.0310028478932027,0.0239398180566627,0.0946386542345075,0.140091760508855,0,"grp6>35"
"6","None",238.450932,"<18",0.0981408116282808,0.002159492503053,0.673763015528914,0.0251617343227662,0,0.0304615500517314,0.090412986936868,0.0799004090283866,0,"grp6<18"
"6","None",287.60695,"18-20",0.136567370851087,0.0202820376906747,0.672604938788858,0.00956313816477662,0,0.0141615562489015,0.0977779848505052,0.0490429734051976,0,"grp618-20"
"6","None",879.356947,"20-25",0.133227105784154,0.0287461003023156,0.64964555627716,0.0288825409142984,0.00210346891135665,0.00755409509490121,0.1083699120421,0.0405545735684055,0.000916647105307966,"grp620-25"
"6","None",1075.268395,"25-35",0.192426533656278,0.0373506997757523,0.491828991216653,0.0387227311744804,0.0139959084354934,0.0179888110633067,0.143246990905931,0.0621252547834813,0.00231407898862311,"grp625-35"
"No","None",314.86103,">35",0.197349125739695,0.0326040952098772,0.394387130093553,0.067511082587769,0.0614231618311101,0.00372011105979041,0.168770400071422,0.0742348934067833,0,"grpNo>35"
"No","None",348.231184,"18-20",0.103611671377484,0.0093523473762189,0.312157342577338,0.385000077994164,0,0.0163579979672355,0.0768035639220639,0.0856617395873426,0.0110552591981538,"grpNo18-20"
"No","None",449.308493,"<18",0.0737833882877438,0.000975410006327212,0.250876196991896,0.484463762406557,0,0.014120104780659,0.0400526904796344,0.13169405190834,0.00403439513884284,"grpNo<18"
