"wt","age","afb"
2.06624,30,18
2.06624,25,16
2.06624,35,16
2.06624,22,19
2.06624,34,32
2.06624,22,19
2.06624,40,16
2.06624,32,22
2.06624,30,16
2.06624,20,15
2.06624,18,16
2.06624,27,16
2.06624,20,14
1.296445,29,21
1.296445,30,23
1.296445,25,19
1.296445,18,Inf
1.296445,35,17
1.296445,28,16
1.296445,20,16
1.296445,31,21
1.296445,45,15
1.296445,16,Inf
1.296445,15,Inf
1.812608,37,19
1.812608,47,22
1.812608,35,21
1.812608,27,20
1.812608,34,22
1.812608,31,15
1.812608,36,30
1.812608,27,19
1.812608,28,18
1.812608,35,22
1.812608,18,16
1.812608,27,17
1.812608,17,16
1.812608,30,19
1.812608,32,22
1.812608,40,Inf
1.812608,24,18
1.812608,42,21
1.812608,38,20
1.256755,30,17
1.256755,24,18
1.256755,20,17
1.256755,42,20
1.256755,28,20
1.256755,17,Inf
1.256755,19,15
1.256755,24,16
1.256755,26,15
1.256755,44,14
1.256755,28,17
1.256755,18,17
1.256755,35,24
1.256755,40,21
1.256755,27,16
1.256755,28,16
1.256755,34,17
1.256755,29,18
1.256755,40,20
1.256755,18,17
1.256755,20,14
1.256755,32,15
1.256755,31,15
0.908833,20,14
0.908833,28,18
0.908833,35,Inf
0.908833,40,33
0.908833,20,18
0.908833,32,21
0.908833,35,16
0.908833,25,14
0.908833,18,Inf
0.908833,31,21
0.908833,30,Inf
0.908833,25,19
0.908833,27,18
0.908833,25,16
0.908833,25,18
0.908833,37,Inf
0.908833,25,18
0.908833,39,23
0.908833,25,20
0.908833,28,24
0.908833,28,17
0.908833,25,15
0.908833,30,20
2.469418,45,13
2.469418,40,18
2.469418,15,Inf
2.469418,15,Inf
2.469418,45,14
2.469418,27,14
2.469418,17,17
2.469418,48,26
2.469418,20,17
2.469418,30,19
2.469418,49,17
2.469418,17,Inf
2.469418,38,23
2.469418,36,16
2.469418,18,Inf
2.469418,16,Inf
2.469418,28,19
2.469418,30,23
2.469418,16,15
2.469418,22,21
2.469418,28,18
2.469418,45,Inf
2.469418,20,Inf
2.469418,18,Inf
2.469418,20,15
2.469418,40,12
2.469418,25,21
2.469418,25,19
1.026379,17,Inf
1.026379,17,Inf
1.026379,22,15
1.026379,25,19
1.026379,35,14
1.026379,27,16
1.026379,25,15
1.026379,49,23
1.026379,25,16
1.026379,23,19
1.026379,20,16
1.026379,23,15
1.026379,30,15
1.026379,24,16
1.026379,47,19
1.026379,34,17
1.026379,21,15
1.026379,34,16
1.026379,32,15
1.026379,25,16
1.026379,25,19
1.026379,31,16
1.026379,20,15
1.138675,25,19
1.138675,16,Inf
1.138675,28,15
1.138675,35,18
1.138675,42,17
1.138675,19,15
1.138675,18,18
1.138675,16,Inf
1.138675,37,19
1.138675,18,16
1.138675,18,18
1.138675,19,16
1.138675,18,15
0.324644,30,14
0.324644,29,14
0.324644,25,14
0.324644,35,22
0.324644,20,16
0.324644,28,15
0.324644,30,19
0.324644,26,16
0.324644,38,15
0.324644,26,16
0.324644,18,16
0.324644,21,16
0.324644,18,16
0.324644,39,15
0.324644,30,14
0.863832,45,19
0.863832,16,Inf
0.863832,19,16
0.863832,33,19
0.863832,26,18
0.863832,21,16
0.863832,32,17
0.863832,19,16
0.863832,35,20
0.863832,19,14
0.863832,29,17
0.863832,30,17
0.863832,38,31
0.863832,27,20
0.863832,36,17
0.863832,31,21
0.863832,20,Inf
0.863832,30,18
0.863832,16,Inf
0.863832,22,15
0.863832,18,18
0.863832,23,15
0.863832,19,17
0.826432,45,19
0.826432,27,19
0.826432,44,26
0.826432,30,17
0.826432,44,19
0.826432,27,19
0.826432,45,22
0.826432,34,20
0.826432,33,15
0.826432,42,18
0.826432,28,18
0.826432,44,16
0.826432,38,15
0.826432,32,21
0.826432,26,22
0.826432,48,16
0.826432,37,15
0.826432,25,22
0.826432,34,16
0.967262,24,18
0.967262,19,15
0.967262,16,Inf
0.967262,37,17
0.967262,43,17
0.967262,24,21
0.967262,42,19
0.967262,35,21
0.967262,40,18
0.967262,16,Inf
0.967262,17,14
0.967262,28,15
0.967262,21,16
0.967262,31,15
0.967262,36,19
0.967262,37,18
0.967262,19,13
0.967262,18,17
0.967262,21,14
0.967262,32,15
0.967262,20,Inf
0.967262,31,15
0.967262,18,16
0.967262,34,19
0.967262,42,17
0.967262,32,21
0.967262,30,18
0.967262,25,15
0.967262,27,13
0.967262,28,18
0.967262,43,15
0.967262,38,24
0.967262,28,21
0.967262,22,16
0.967262,26,15
2.724716,25,20
2.724716,45,22
2.724716,30,15
2.724716,22,18
2.724716,35,23
2.724716,28,15
2.724716,35,15
2.724716,20,Inf
2.724716,21,16
2.724716,17,Inf
2.724716,40,17
2.724716,30,17
2.724716,28,20
2.724716,48,16
2.724716,49,18
2.724716,16,Inf
2.724716,15,Inf
2.724716,30,17
2.724716,39,19
2.724716,28,14
2.724716,18,18
2.724716,30,20
2.724716,45,14
2.724716,33,17
2.724716,19,15
2.724716,45,15
2.724716,16,12
2.724716,25,Inf
2.724716,27,24
2.724716,26,15
2.724716,35,15
2.724716,47,16
2.724716,20,20
2.724716,32,15
0.689579,20,18
0.689579,23,21
0.689579,19,16
0.689579,26,15
0.689579,20,17
0.689579,17,Inf
0.689579,30,20
0.689579,44,18
0.689579,19,18
0.689579,49,14
0.689579,19,17
0.689579,25,16
0.689579,40,18
0.689579,15,Inf
0.689579,20,18
0.689579,30,16
0.689579,20,19
0.689579,21,17
0.689579,20,11
0.689579,28,17
0.689579,19,18
0.689579,47,16
0.689579,27,23
0.689579,36,16
0.689579,30,22
0.689579,40,25
0.532883,31,23
0.532883,25,18
0.532883,36,22
0.532883,21,Inf
0.532883,21,Inf
0.532883,44,21
0.532883,17,Inf
0.532883,30,17
0.532883,39,20
0.532883,18,Inf
0.532883,15,Inf
0.532883,21,20
0.532883,37,24
0.532883,38,Inf
0.532883,20,Inf
0.532883,17,Inf
0.532883,31,19
0.532883,25,Inf
0.532883,23,18
0.532883,22,18
0.532883,39,21
0.532883,16,Inf
0.532883,35,19
0.532883,19,Inf
0.532883,27,25
0.532883,48,23
0.532883,23,Inf
0.532883,40,24
0.532883,41,18
0.532883,29,19
0.532883,40,21
0.532883,20,Inf
0.532883,30,17
0.532883,33,25
0.532883,28,Inf
0.488431,30,20
0.488431,28,22
0.488431,31,21
0.488431,36,19
0.488431,17,17
0.488431,15,Inf
0.488431,17,Inf
0.488431,20,18
0.488431,26,21
0.488431,29,29
0.488431,40,18
0.488431,16,Inf
0.488431,18,Inf
0.488431,35,19
0.488431,29,19
0.488431,35,24
0.488431,41,21
0.488431,30,18
0.488431,25,18
1.372662,30,17
1.372662,25,21
1.372662,27,14
1.372662,20,17
1.372662,38,21
1.372662,20,14
1.372662,18,Inf
1.372662,18,Inf
1.372662,30,16
1.372662,27,19
1.372662,24,16
1.372662,19,14
1.372662,28,21
1.372662,22,16
1.372662,21,19
1.372662,47,17
1.372662,41,15
1.372662,20,19
1.372662,46,13
1.372662,42,16
1.372662,35,14
1.372662,30,20
1.372662,27,17
1.372662,47,9
1.372662,30,18
1.372662,24,15
1.372662,19,14
1.372662,21,17
1.372662,16,Inf
1.372662,35,22
1.372662,27,Inf
1.372662,16,Inf
1.372662,38,12
1.372662,23,11
0.743367,31,18
0.743367,23,21
0.743367,33,18
0.743367,21,20
0.743367,31,20
0.743367,21,16
0.743367,35,33
0.743367,44,17
0.743367,29,24
0.743367,18,Inf
0.743367,21,Inf
0.743367,38,14
0.743367,33,21
0.743367,45,21
0.743367,20,Inf
0.743367,24,Inf
0.743367,19,Inf
0.743367,30,26
0.743367,28,22
0.743367,30,16
0.743367,32,26
1.945622,28,18
1.945622,22,19
1.945622,25,17
1.945622,39,15
1.945622,21,Inf
1.945622,35,20
1.945622,27,19
1.945622,23,19
1.945622,47,27
1.945622,25,13
1.945622,17,Inf
1.945622,15,Inf
1.945622,35,15
1.945622,42,28
1.945622,42,28
1.945622,17,17
1.945622,22,17
1.945622,19,13
1.945622,15,Inf
1.945622,33,14
1.945622,40,25
1.945622,22,15
0.314811,24,23
0.314811,43,22
0.314811,15,Inf
0.314811,21,Inf
0.314811,32,20
0.314811,23,17
0.314811,30,20
0.314811,18,16
0.314811,43,23
0.314811,40,18
0.314811,17,Inf
0.314811,21,Inf
0.314811,40,19
0.314811,23,17
0.314811,38,17
0.314811,24,13
0.314811,37,25
0.314811,18,17
0.314811,37,17
0.314811,18,18
0.314811,43,23
0.314811,17,Inf
0.314811,42,18
0.314811,38,16
0.314811,22,Inf
0.314811,30,Inf
0.503501,23,19
0.503501,22,12
0.503501,40,22
0.503501,24,23
0.503501,21,Inf
0.503501,37,30
0.503501,35,15
0.503501,16,Inf
0.503501,20,16
0.503501,27,26
0.503501,43,18
0.503501,39,22
0.503501,15,Inf
0.503501,17,Inf
0.503501,21,16
0.503501,48,17
0.503501,18,Inf
0.503501,19,14
0.503501,19,17
0.503501,40,19
0.503501,15,Inf
0.503501,21,15
0.503501,15,Inf
0.503501,22,21
0.503501,27,Inf
0.503501,15,Inf
0.503501,18,Inf
0.503501,36,17
0.503501,44,15
0.503501,17,Inf
0.503501,22,14
0.503501,34,16
0.503501,34,17
0.503501,26,20
0.503501,45,13
0.503501,38,30
0.503501,37,17
0.503501,17,Inf
0.8674,34,20
0.8674,36,16
0.8674,44,18
0.8674,35,22
0.8674,25,21
0.8674,29,16
0.8674,35,17
0.8674,22,19
0.8674,27,15
0.8674,17,Inf
0.8674,27,22
0.8674,27,21
0.8674,21,17
0.8674,31,19
0.8674,45,18
0.8674,26,25
0.8674,35,23
0.8674,34,21
0.8674,19,17
1.009314,29,18
1.009314,30,16
1.009314,27,18
1.009314,23,20
1.009314,39,Inf
1.009314,36,13
1.009314,47,20
1.009314,33,16
1.009314,16,Inf
1.009314,45,20
1.009314,35,15
1.009314,31,17
1.009314,45,23
1.009314,25,20
1.009314,46,23
1.009314,30,20
0.936151,47,32
0.936151,26,16
0.936151,32,17
0.936151,34,16
0.936151,20,14
0.936151,34,16
0.936151,22,17
0.936151,35,18
0.936151,26,18
0.936151,46,16
0.936151,39,19
0.936151,27,17
0.936151,28,22
0.936151,21,13
0.936151,35,16
0.936151,45,20
0.936151,37,22
0.936151,18,16
0.936151,35,14
0.936151,35,14
0.936151,34,17
0.511942,46,17
0.511942,42,27
