"age","parity","Freq","percentage"
"15-19","0",1103.470868,9.88773171060292
"20-24","0",248.007339,2.22228796555103
"25-29","0",92.934357,0.832745127543678
"30-34","0",36.713105,0.328970472198451
"35-39","0",34.685622,0.310803061953953
"40-44","0",25.55259,0.228965858327522
"45-49","0",19.667025,0.176227821127871
"15-19","1",529.713020000001,4.74653239814687
"20-24","1",491.351501,4.40279119130315
"25-29","1",188.125154,1.68570925133645
"30-34","1",71.597111,0.641551168546352
"35-39","1",23.971727,0.214800419376197
"40-44","1",21.923799,0.196449810208478
"45-49","1",20.092721,0.180042301383164
"15-19","2",161.609295,1.44811195042775
"20-24","2",640.347213,5.73787820538666
"25-29","2",360.365653,3.2290828855667
"30-34","2",122.564855,1.0982513798352
"35-39","2",55.284894,0.495384350754896
"40-44","2",32.700267,0.29301314274577
"45-49","2",37.889721,0.3395136262334
"15-19","3",34.125121,0.305780651601091
"20-24","3",440.455182,3.9467309889696
"25-29","3",581.823422,5.21347148031905
"30-34","3",237.672663,2.12968334265852
"35-39","3",133.001239,1.19176736472737
"40-44","3",86.875529,0.778454554514532
"45-49","3",46.334723,0.41518568654148
"15-19","4",1.372662,0.0122998386082809
"20-24","4",138.823688,1.24393984637612
"25-29","4",545.387948000001,4.88698874107501
"30-34","4",383.682813,3.43801800929232
"35-39","4",202.589439,1.81531753879846
"40-44","4",121.278056,1.08672092294101
"45-49","4",74.180837,0.664702835022163
"15-19","5",0,0
"20-24","5",26.79616,0.240108958594084
"25-29","5",332.108166,2.97587959912357
"30-34","5",435.435078,3.90174797858774
"35-39","5",283.795834,2.54297340197549
"40-44","5",154.797247,1.38707209430012
"45-49","5",102.141824,0.915249311451349
"15-19","6",0,0
"20-24","6",5.921414,0.0530592647955688
"25-29","6",175.700521,1.57437741533667
"30-34","6",561.696894000001,5.03312624883086
"35-39","6",710.875108,6.36984858548153
"40-44","6",546.057600000001,4.89298920697536
"45-49","6",478.503087,4.28766203454616
