year,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49
1950,19.001,208.686,311.49,307.752,284.55,217.47,122.631,38.301
1951,18.924,208.042,311.428,307.83,284.577,217.575,122.629,38.792
1952,18.866,207.27,311.481,308.039,284.739,217.784,122.749,39.181
1953,18.849,206.258,311.111,307.815,284.515,217.667,122.724,39.372
1954,18.84,205.651,311.167,307.992,284.667,217.798,122.836,39.55
1955,18.863,204.992,310.992,307.935,284.6,217.734,122.814,39.69
1956,18.932,204.218,310.584,307.645,284.317,217.501,122.678,39.812
1957,19.11,203.586,310.532,307.72,284.37,217.556,122.697,40.012
1958,20.031,203.056,310.406,307.709,284.35,217.555,122.628,40.231
1959,21.084,202.144,309.66,307.093,283.785,217.135,122.288,40.376
1960,21.688,201.84,308.047,306.455,284.447,217.921,123.187,40.472
1961,21.439,201.39,305.747,305.1,284.446,218.187,123.784,40.471
1962,20.72,201.665,303.747,304.007,284.671,218.616,124.483,40.506
1963,20.219,202.983,301.734,302.86,284.822,218.994,125.147,40.525
1964,20.154,203.723,299.967,301.981,285.199,219.603,125.953,40.56
1965,20.071,201.396,298.221,301.17,285.618,220.299,126.819,40.584
1966,20.326,198.836,297.584,301.418,287.047,221.736,128.06,40.752
1967,19.957,196.074,296.835,301.484,288.338,223.016,129.201,40.91
1968,19.669,194.265,296.042,301.464,289.561,224.203,130.324,41.065
1969,19.442,193.537,295.297,301.523,290.855,225.412,131.511,41.226
1970,19.939,197.148,293.175,300.375,290.987,225.696,132.181,41.216
1971,20.333,198.667,291.319,299.512,291.351,226.192,132.97,41.226
1972,21.289,200.226,289.475,298.657,291.685,226.691,133.693,41.215
1973,20.871,201.911,290.497,297.431,291.529,226.83,134.14,41.127
1974,21.041,203.783,291.578,296.271,291.432,226.99,134.528,41.055
1975,21.579,204.938,293.103,295.863,289.383,226.271,134.445,40.996
1976,20.775,201.702,296.309,298.483,289.796,227.505,135.562,41.269
1977,20.122,198.771,299.795,301.426,290.379,228.93,136.826,41.537
1978,21.024,204.852,302.54,303.563,290.001,229.711,137.731,41.64
1979,20.807,203.93,308.318,307.608,289.388,231.694,139.34,41.918
1980,21.287,204.261,314.25,311.802,288.679,231.587,140.836,42.386
1981,21.04,201.836,320.551,315.791,290.056,230.311,140.814,42.719
1982,20.135,199.896,323.818,320.949,292.768,229.426,141.1,43.163
1983,19.176,197.92,327.167,326.232,295.388,228.276,141.401,43.604
1984,19.082,194.894,334.994,328.84,295.158,225.159,140.436,43.64
1985,18.551,198.848,336.754,330.043,291.792,226.342,138.179,43.71
1986,17.484,202.985,337.083,331.09,288.541,223.926,133.82,43.778
1987,16.573,213.629,333.797,331.69,283.8,220.543,128.661,43.614
1988,16.152,210.931,330.151,331.555,284.606,220.907,127.662,43.636
1989,15.431,208.49,328.049,335.137,285.658,218.935,124.389,44.071
1990,14.943,212.251,330.155,331.856,285.912,216.398,122.804,43.324
1991,14.867,208.108,326.804,330.525,290.164,219.981,123.144,42.812
1992,14.752,204.202,323.72,329.437,294.617,223.745,123.795,42.263
1993,14.831,204.765,321.333,324.936,297.034,227.308,123.799,41.492
1994,15.03,204.373,316.137,324.28,300.918,228.576,123.446,41.257
1995,15.133,209.046,317.932,325.1,299.208,225.537,118.192,41.619
1996,15.487,209.603,319.819,325.093,297.886,226.378,116.803,41.987
1997,16.984,207.981,321.63,323.399,298.439,230.829,117.073,41.706
1998,18.631,206.888,323.993,322.327,299.537,235.692,117.551,41.318
1999,19.529,207.245,322.487,321.982,298.912,239.089,115.291,41.383
2000,18.94,206.236,323.765,322.471,298.874,236.022,115.382,41.813
2001,18.465,206.357,324.375,321.293,299.65,233.353,114.623,41.612
2002,17.672,203.061,325.271,322.013,299.435,235.055,112.991,41.356
2003,16.74,199.992,326.501,323.046,299.506,237.007,111.451,41.015
2004,16.503,196.046,328.666,323.373,299.503,240.102,108.395,40.094
2005,15.383,198.978,326.23,322.989,297.142,239.032,110.748,40.261
2006,14.372,201.456,323.024,321.832,294.086,237.397,112.876,40.505
2007,13.385,204.311,320.45,321.16,291.26,235.395,114.605,40.955
2008,11.921,202.098,321.418,322.083,289.699,233.239,115.047,41.098
2009,10.498,200.133,322.765,323.254,288.1,230.491,114.929,41.587
2010,9.543,196.63,323.031,322.988,286.612,228.039,115.425,41.632
2011,9.073,191.96,319.143,322.389,285.191,226.266,118.106,42.034
2012,8.567,187.111,314.856,321.271,283.023,223.358,119.982,42.791
2013,8.093,183.74,311.647,318.917,280.175,219.888,119.22,42.978
2014,7.579,180.056,307.97,315.939,276.539,215.251,117.527,43.343
2015,6.988,178.4,303.183,311.617,271.512,208.945,114.654,43.484
2016,6.422,177.529,297.993,306.49,264.608,200.967,108.084,42.591
2017,5.808,170.649,292.499,300.373,261.401,194.389,104.341,41.816
2018,5.253,163.784,286.619,293.955,258.141,188.418,101.146,40.528
2019,4.749,157.051,280.725,287.491,254.767,182.484,97.907,39.19
2020,4.283,152.034,275.014,281.765,250.064,176.536,93.184,37.954
2021,3.977,148.248,269.397,275.71,243.946,170.615,89.379,36.138
2022,3.729,146.929,267.897,274.013,241.948,168.207,87.63,34.43
2023,3.516,145.324,265.587,271.613,239.597,166.104,86.292,32.34
