"space_mo","urban_rural","Freq"
"5","urban",0.476691
"7","urban",0
"9","urban",25.421348
"10","urban",28.64085
"11","urban",70.993839
"12","urban",66.993947
"13","urban",69.088436
"14","urban",79.42137
"15","urban",48.760456
"16","urban",68.565661
"17","urban",66.018389
"18","urban",68.990518
"19","urban",89.467591
"20","urban",114.954275
"21","urban",130.05659
"22","urban",174.308495
"23","urban",200.680435
"24","urban",191.267922
"25","urban",232.0777
"26","urban",207.064588
"27","urban",162.71608
"28","urban",143.226532
"29","urban",125.025573
"30","urban",124.926295
"31","urban",114.351741
"32","urban",122.799766
"33","urban",118.63898
"34","urban",122.229408
"35","urban",119.400026
"36","urban",110.529791
"37","urban",115.057444
"38","urban",111.921171
"39","urban",75.020784
"40","urban",77.457762
"41","urban",60.13494
"42","urban",52.699087
"43","urban",56.751353
"44","urban",47.300632
"45","urban",50.706195
"46","urban",45.302153
"47","urban",64.753498
"48","urban",64.320447
"49","urban",43.709834
"50","urban",51.651612
"51","urban",27.924279
"52","urban",23.287131
"53","urban",24.399457
"54","urban",25.682906
"55","urban",21.32588
"56","urban",17.832025
"57","urban",20.818367
"58","urban",20.485848
"59","urban",26.290394
"60","urban",22.505506
"61","urban",21.720666
"62","urban",21.618158
"63","urban",14.947617
"64","urban",13.391935
"65","urban",15.892489
"66","urban",11.889283
"67","urban",10.732542
"68","urban",8.658107
"69","urban",8.686314
"70","urban",17.834207
"71","urban",13.638481
"72","urban",7.930133
"73","urban",14.051103
"74","urban",8.451441
"75","urban",6.630328
"76","urban",6.180602
"77","urban",10.349824
"78","urban",5.333007
"79","urban",7.058017
"80","urban",1.798361
"81","urban",4.825042
"82","urban",2.01784
"83","urban",7.593762
"84","urban",3.23198
"85","urban",2.585397
"86","urban",4.258838
"87","urban",3.662488
"88","urban",3.657459
"89","urban",4.439656
"90","urban",5.586997
"91","urban",0.499069
"92","urban",1.060575
"93","urban",0.473745
"94","urban",3.168759
"95","urban",5.421066
"96","urban",4.937064
"97","urban",3.652192
"98","urban",5.218321
"99","urban",1.939308
"100","urban",2.452587
"101","urban",0.226177
"102","urban",3.184008
"103","urban",1.722226
"104","urban",1.214301
"105","urban",1.281564
"106","urban",2.067688
"107","urban",2.799159
"108","urban",0.691581
"109","urban",1.817753
"110","urban",0.931565
"111","urban",0.854479
"112","urban",0.074678
"113","urban",0.906901
"114","urban",0.988633
"115","urban",0.685508
"116","urban",1.405661
"117","urban",1.839419
"118","urban",1.780215
"119","urban",0.314811
"120","urban",2.342652
"121","urban",0.192417
"122","urban",1.045285
"123","urban",0.074678
"124","urban",0
"125","urban",0.416997
"126","urban",0.332534
"127","urban",0.962273
"128","urban",0.276838
"129","urban",1.069016
"130","urban",0
"131","urban",1.046791
"132","urban",0.666132
"133","urban",0
"134","urban",0
"135","urban",0
"136","urban",0
"137","urban",0
"138","urban",0.841949
"140","urban",0
"141","urban",0
"142","urban",1.692846
"143","urban",0.732668
"144","urban",0
"145","urban",0
"147","urban",1.447013
"148","urban",0.691035
"152","urban",0
"153","urban",0.896649
"154","urban",0
"156","urban",0.735645
"157","urban",0
"158","urban",0
"160","urban",0
"162","urban",0
"164","urban",0
"166","urban",0
"168","urban",0
"170","urban",1.587184
"178","urban",0
"181","urban",0.192417
"184","urban",0
"189","urban",0
"193","urban",0
"197","urban",0.486616
"199","urban",0.182364
"210","urban",0
"213","urban",0
"222","urban",0.506047
"241","urban",0
"5","rural",0
"7","rural",1.850203
"9","rural",201.2992
"10","rural",415.785913
"11","rural",518.861923
"12","rural",718.864462999999
"13","rural",747.414750999999
"14","rural",616.15475
"15","rural",558.533699
"16","rural",508.813193
"17","rural",514.472813
"18","rural",609.165361
"19","rural",645.472891
"20","rural",850.272940999999
"21","rural",1081.433674
"22","rural",1599.539651
"23","rural",1741.480248
"24","rural",1816.831511
"25","rural",1713.179574
"26","rural",1672.693662
"27","rural",1238.587502
"28","rural",987.240747
"29","rural",872.740903999999
"30","rural",796.113938999999
"31","rural",792.877052
"32","rural",703.367183
"33","rural",678.916114
"34","rural",738.319008
"35","rural",756.241646
"36","rural",793.741568
"37","rural",668.853324999999
"38","rural",601.881115
"39","rural",437.910963
"40","rural",396.374243
"41","rural",293.165371
"42","rural",248.206369
"43","rural",280.863513
"44","rural",247.426619
"45","rural",248.323318
"46","rural",246.152294
"47","rural",256.814145
"48","rural",276.028769
"49","rural",222.625111
"50","rural",205.759283
"51","rural",161.704989
"52","rural",119.81759
"53","rural",99.006271
"54","rural",102.378474
"55","rural",95.822422
"56","rural",101.70733
"57","rural",119.688926
"58","rural",116.356804
"59","rural",109.204442
"60","rural",117.390067
"61","rural",85.433324
"62","rural",82.884602
"63","rural",64.169243
"64","rural",49.273352
"65","rural",35.265621
"66","rural",30.387057
"67","rural",35.989294
"68","rural",39.014977
"69","rural",42.302401
"70","rural",50.459174
"71","rural",49.42428
"72","rural",51.761646
"73","rural",39.884049
"74","rural",36.215265
"75","rural",26.54312
"76","rural",16.416691
"77","rural",8.885186
"78","rural",12.994747
"79","rural",20.902224
"80","rural",21.454668
"81","rural",13.699499
"82","rural",25.373815
"83","rural",14.046289
"84","rural",28.506713
"85","rural",12.838226
"86","rural",15.401839
"87","rural",12.827879
"88","rural",15.726416
"89","rural",1.257703
"90","rural",4.661663
"91","rural",2.424114
"92","rural",2.87816
"93","rural",10.952549
"94","rural",12.895483
"95","rural",14.393407
"96","rural",18.168911
"97","rural",10.548833
"98","rural",8.514906
"99","rural",2.287533
"100","rural",2.256444
"101","rural",7.749053
"102","rural",4.107251
"103","rural",3.587277
"104","rural",1.33558
"105","rural",1.883018
"106","rural",11.136386
"107","rural",8.922576
"108","rural",1.352953
"109","rural",2.327809
"110","rural",5.133647
"111","rural",1.938928
"112","rural",3.320192
"113","rural",4.486091
"114","rural",3.961848
"115","rural",1.875055
"116","rural",5.363611
