rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-3.569896401216418,0.21197725709016238,-16.840940628352403,6.663982722677136e-50
"age_grp(18,20]",1.5048361712893066,0.2677760984331693,5.619755385542294,3.322374664273985e-8
"age_grp(20,25]",1.9742870894454347,0.21636570173202452,9.124769192349392,2.2790126943594536e-18
"age_grp(25,35]",1.9928604895093525,0.20715259492827193,9.620253563318359,4.4285257633510807e-20
"age_grp(35,50]",0.7303380214458635,0.2296801873963463,3.1798041865298545,0.0015734756736750233
prior_userTRUE,-9.05129323965982,0.5647229413776914,-16.027847598290222,3.0917221005053884e-46
"age_grp(18,20]:prior_userTRUE",10.310582275658728,0.6676920588955465,15.442122065542959,1.2604022891466698e-43
"age_grp(20,25]:prior_userTRUE",10.077024629320682,0.5793279717772257,17.39433467782856,2.0154053685404874e-52
"age_grp(25,35]:prior_userTRUE",10.73879862193411,0.5629937343802032,19.07445494709883,3.703181465822323e-60
"age_grp(35,50]:prior_userTRUE",12.496618678276187,0.6002861873219174,20.817768161596202,2.8942127777574967e-68
