rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-4.596810645707627,0.23506030477480877,-19.55587801228897,2.721604994988417e-62
"ns(age, knots = c(25, 40))1",-0.5203342043008806,0.2851137178729769,-1.8250058544454129,0.06865419993351658
"ns(age, knots = c(25, 40))2",0.0529518965663988,0.5340957689800293,0.09914307441064704,0.9210682404419492
"ns(age, knots = c(25, 40))3",-4.126068439176509,0.33793815254723847,-12.209537183286072,7.335250152030067e-30
prior_userTRUE,1.7943649208053642,0.6518315278117701,2.752804742092077,0.006144492056513663
edu.levelPrimary,0.3182324807771093,0.11631906069787985,2.735858412781266,0.006464528090138476
edu.levelSecondary,0.4473477575899145,0.1365659132050459,3.275691181577993,0.0011343973778968753
parity,0.26129634444016203,0.026047268890041216,10.031621570124182,1.5617950312173722e-21
urban,0.2581119795512487,0.13134404376827954,1.9651593794890032,0.05000238628636732
wealthquintile,0.21767579998568165,0.050985429118446966,4.269372715879029,2.3862455552982374e-5
"ns(age, knots = c(25, 40))1:prior_userTRUE",1.0589829289051038,0.5350823724062892,1.9791026270269576,0.04840554359049501
"ns(age, knots = c(25, 40))2:prior_userTRUE",1.2708810070709282,1.5978549446080783,0.7953669457665632,0.4268138869051029
"ns(age, knots = c(25, 40))3:prior_userTRUE",3.7907554355488764,0.6752673705848141,5.613710362261247,3.444783867267575e-8
