year,cpr,mcpr
1990,4.4,1.9
1991,4.7,2.1
1992,4.9,2.4
1993,5.2,2.6
1994,5.5,2.9
1995,5.9,3.3
1996,6.3,3.7
1997,6.8,4.1
1998,7.3,4.6
1999,7.9,5.3
2000,8.4,6.0
2001,8.8,6.5
2002,9.1,6.9
2003,9.4,7.4
2004,9.7,7.8
2005,10.0,8.2
2006,10.2,8.6
2007,10.5,8.9
2008,10.7,9.3
2009,11.0,9.6
2010,11.2,10.0
2011,11.5,10.3
2012,11.8,10.7
2013,12.1,11.0
2014,12.4,11.4
2015,12.6,11.7
2016,12.9,12.0
2017,12.9,12.2
2018,12.6,11.9
2019,12.2,11.6
2020,11.8,11.2
2021,11.6,11.0
2022,11.6,11.0
2023,11.7,11.2
2024,11.9,11.4
2025,12.2,11.7
2026,12.5,12.0
2027,12.9,12.3
2028,13.2,12.7
2029,13.6,13.0
2030,13.9,13.4
