"age","edu","parity","cum.percent"
15,99,"0",0.00186151982888408
16,99,"0",0.00847715641027646
17,99,"0",0.000752542315942427
18,99,"0",0
19,99,"0",0.00426463448312432
20,99,"0",0
21,99,"0",0
22,99,"0",0
23,99,"0",0
24,99,"0",0
25,99,"0",0
26,99,"0",0
27,99,"0",0
28,99,"0",0
29,99,"0",0
30,99,"0",0
31,99,"0",0
32,99,"0",0
33,99,"0",0
34,99,"0",0
35,99,"0",0
36,99,"0",0
37,99,"0",0
38,99,"0",0
39,99,"0",0
40,99,"0",0
41,99,"0",0
42,99,"0",0
43,99,"0",0
44,99,"0",0
45,99,"0",0
46,99,"0",0
47,99,"0",0
48,99,"0",0
49,99,"0",0
15,99,"1",0
16,99,"1",0
17,99,"1",0
18,99,"1",0
19,99,"1",0
20,99,"1",0
21,99,"1",0.00439179672270622
22,99,"1",0
23,99,"1",0
24,99,"1",0
25,99,"1",0
26,99,"1",0.0464707009151289
27,99,"1",0
28,99,"1",0
29,99,"1",0.0404488014509684
30,99,"1",0
31,99,"1",0
32,99,"1",0
33,99,"1",0
34,99,"1",0
35,99,"1",0
36,99,"1",0
37,99,"1",0
38,99,"1",0
39,99,"1",0
40,99,"1",0
41,99,"1",0
42,99,"1",0
43,99,"1",0
44,99,"1",0
45,99,"1",0
46,99,"1",0
47,99,"1",0
48,99,"1",0
49,99,"1",0
15,99,"2",NA
16,99,"2",0
17,99,"2",0
18,99,"2",0
19,99,"2",0
20,99,"2",0.00153891602159822
21,99,"2",0
22,99,"2",0
23,99,"2",0
24,99,"2",0
25,99,"2",0
26,99,"2",0.0083762413234618
27,99,"2",0
28,99,"2",0
29,99,"2",0
30,99,"2",0
31,99,"2",0
32,99,"2",0
33,99,"2",0
34,99,"2",0
35,99,"2",0
36,99,"2",0
37,99,"2",0
38,99,"2",0
39,99,"2",0
40,99,"2",0
41,99,"2",0
42,99,"2",0
43,99,"2",0
44,99,"2",0
45,99,"2",0
46,99,"2",0
47,99,"2",0
48,99,"2",0
49,99,"2",0
15,99,"3",NA
16,99,"3",NA
17,99,"3",0
18,99,"3",0
19,99,"3",0
20,99,"3",0
21,99,"3",0.00400273413944388
22,99,"3",0
23,99,"3",0
24,99,"3",0.00524222702855971
25,99,"3",0
26,99,"3",0
27,99,"3",0
28,99,"3",0
29,99,"3",0
30,99,"3",0
31,99,"3",0
32,99,"3",0
33,99,"3",0
34,99,"3",0
35,99,"3",0
36,99,"3",0
37,99,"3",0
38,99,"3",0
39,99,"3",0
40,99,"3",0
41,99,"3",0
42,99,"3",0
43,99,"3",0
44,99,"3",0
45,99,"3",0
46,99,"3",0
47,99,"3",0
48,99,"3",0
49,99,"3",0
15,99,"4",NA
16,99,"4",NA
17,99,"4",NA
18,99,"4",NA
19,99,"4",0
20,99,"4",0
21,99,"4",0
22,99,"4",0
23,99,"4",0
24,99,"4",0
25,99,"4",0
26,99,"4",0
27,99,"4",0
28,99,"4",0
29,99,"4",0.023717997218881
30,99,"4",0
31,99,"4",0.0161022776693868
32,99,"4",0
33,99,"4",0
34,99,"4",0
35,99,"4",0
36,99,"4",0
37,99,"4",0
38,99,"4",0
39,99,"4",0
40,99,"4",0
41,99,"4",0
42,99,"4",0.00791601432320862
43,99,"4",0
44,99,"4",0
45,99,"4",0
46,99,"4",0
47,99,"4",0
48,99,"4",0
49,99,"4",0
15,99,"5",NA
16,99,"5",NA
17,99,"5",NA
18,99,"5",NA
19,99,"5",NA
20,99,"5",0
21,99,"5",NA
22,99,"5",0
23,99,"5",0
24,99,"5",0
25,99,"5",0
26,99,"5",0
27,99,"5",0
28,99,"5",0.00346500991325984
29,99,"5",0
30,99,"5",0
31,99,"5",0
32,99,"5",0.00338513611403489
33,99,"5",0
34,99,"5",0
35,99,"5",0.00574120104193037
36,99,"5",0
37,99,"5",0
38,99,"5",0
39,99,"5",0
40,99,"5",0
41,99,"5",0
42,99,"5",0
43,99,"5",0
44,99,"5",0
45,99,"5",0
46,99,"5",0
47,99,"5",0
48,99,"5",0
49,99,"5",0
15,99,"6",NA
16,99,"6",NA
17,99,"6",NA
18,99,"6",NA
19,99,"6",NA
20,99,"6",NA
21,99,"6",0
22,99,"6",NA
23,99,"6",0
24,99,"6",0
25,99,"6",0
26,99,"6",0
27,99,"6",0
28,99,"6",0
