year,probs
1969,149.5
1970,150.7
1971,151.9
1972,153.0
1973,153.3
1974,152.9
1975,151.8
1976,149.9
1977,147.3
1978,144.7
1979,142.2
1980,140.5
1981,140.1
1982,140.7
1983,142.2
1984,144.2
1985,146.1
1986,147.7
1987,148.5
1988,148.7
1989,148.1
1990,146.6
1991,144.6
1992,141.7
1993,138.0
1994,133.4
1995,128.4
1996,123.5
1997,119.1
1998,115.0
1999,111.3
2000,107.7
2001,103.6
2002,99.0
2003,94.1
2004,89.3
2005,84.8
2006,80.7
2007,77.2
2008,74.5
2009,72.3
2010,70.9
2011,69.9
2012,69.4
2013,69.2
2014,69.1
2015,69.3
2016,69.3
2017,69.4
2018,69.4
2019,69.5
2020,69.4
2021,69.0
2022,68.3
2023,67.4
