"postpartum","From","n","age_grp","Pill","IUD","Injectable","Condom","F.sterilization","Withdrawal","Implant","Other.trad","Other.mod","group"
0,"None",67.211113,"<18",0.633213171161144,0,0.279520352534558,0.0695070471456112,0,0,0,0.0177594291586869,0,"grp0<18"
0,"None",46.849063,"18-20",0.66632291023622,0,0.307922679264684,0,0,0,0,0.0257544104990958,0,"grp018-20"
0,"None",157.538927,"20-25",0.684505252470076,0,0.237123685627235,0,0,0,0.014140797086932,0.0520457080426859,0.0121845567730698,"grp020-25"
0,"None",237.088249,"25-35",0.61460891720534,0,0.328944139277017,0.00205246781336683,0,0,0.0174284386401622,0.0369660370641145,0,"grp025-35"
0,"None",69.323541,">35",0.514228016713687,0.0246410090332806,0.397465617054963,0,0,0,0.0115628253900071,0.0521025318080622,0,"grp0>35"
0,"Pill",7.465319,"<18",0,0,0.363691223375719,0,0,0.518533769287019,0.117775007337262,0,0,"grp0<18"
0,"Pill",2.851528,"18-20",0,0,0.509382338170974,0,0,0,0.490617661829026,0,0,"grp018-20"
0,"Pill",7.744626,"20-25",0,0,0.72200749267944,0.0174229200996924,0,0,0.14679533911644,0.113774248104428,0,"grp020-25"
0,"Pill",24.771679,"25-35",0,0.0520659096220325,0.807294410685687,0,0,0,0.132002679350076,0.0086370003422053,0,"grp025-35"
0,"Pill",12.447166,">35",0,0,0.736081530526708,0,0,0.193281667489612,0,0.0706368019836805,0,"grp0>35"
0,"Injectable",1.882688,"<18",0.553499039670939,0,0,0.446500960329061,0,0,0,0,0,"grp0<18"
0,"Injectable",0.988422,"18-20",0,0,0,0,0,0,0,1,0,"grp018-20"
0,"Injectable",7.041673,"20-25",1,0,0,0,0,0,0,0,0,"grp020-25"
0,"Injectable",18.185761,"25-35",0.978243308047433,0,0,0,0,0,0.0217566919525666,0,0,"grp025-35"
0,"Injectable",9.556003,">35",0.780242534457137,0.0522257056637592,0,0,0,0,0.0737007931035601,0.0938309667755441,0,"grp0>35"
1,"Birth",62.391809,"<18",0.491457268052606,0.0226608431885666,0.232127778183191,0,0,0,0.00119691993543576,0.252557190640201,0,"grp1<18"
1,"Birth",61.08212,"18-20",0.558484676039404,0,0.0603177001715068,0.00315981174196311,0,0,0.0276996116048362,0.35033820044229,0,"grp118-20"
1,"Birth",165.699543,"20-25",0.48781964353396,0.00686106297830888,0.119108409369602,0.00193343924913541,0,0,0.020884330381044,0.350561328947057,0.0128317855408931,"grp120-25"
