"estimate","coef","se","method","functionform"
0.19240333053089,"shape",0.010667250432593,"None","weibull"
2.97617387472924,"scale",0.0198213033360066,"None","weibull"
-0.168324097952715,"age_grp_fact(0,18]",0.0349290263080609,"None","weibull"
0.0100234737089356,"age_grp_fact(18,20]",0.0394948065057626,"None","weibull"
0,"age_grp_fact(20,25]",0,"None","weibull"
0.160579555875863,"age_grp_fact(25,35]",0.0260912531651044,"None","weibull"
0.891487769487694,"age_grp_fact(35,50]",0.0401183208629758,"None","weibull"
0.269120791056693,"shape",0.0254007513234797,"Pill","weibull"
2.94308751334091,"scale",0.0434884200636972,"Pill","weibull"
-0.421442126523838,"age_grp_fact(0,18]",0.0944679338709458,"Pill","weibull"
-0.169969644911576,"age_grp_fact(18,20]",0.0927503890720485,"Pill","weibull"
0,"age_grp_fact(20,25]",0,"Pill","weibull"
0.151205757435145,"age_grp_fact(25,35]",0.0575649531654252,"Pill","weibull"
0.446366320676394,"age_grp_fact(35,50]",0.095967493516419,"Pill","weibull"
0.396225435175715,"shape",0.430171380100915,"IUD","gamma"
-7.30699929389804,"rate",41.6934989306239,"IUD","gamma"
4.06566259184711,"age_grp_fact(0,18]",41.6798102863597,"IUD","gamma"
4.06566259184711,"age_grp_fact(18,20]",41.6798102863597,"IUD","gamma"
0,"age_grp_fact(20,25]",0,"IUD","gamma"
4.18056824647024,"age_grp_fact(25,35]",41.6679154058281,"IUD","gamma"
3.20827513951696,"age_grp_fact(35,50]",41.6639694584786,"IUD","gamma"
2.34808940913832,"meanlog",0.105077828629449,"Injectable","lnorm"
-0.00148253689404921,"sdlog",0.039208317998129,"Injectable","lnorm"
-0.722981763970294,"age_grp_fact(0,18]",0.212608546755523,"Injectable","lnorm"
-0.0599230144025792,"age_grp_fact(18,20]",0.217148191635663,"Injectable","lnorm"
0,"age_grp_fact(20,25]",0,"Injectable","lnorm"
0.0993402690165906,"age_grp_fact(25,35]",0.125513127202403,"Injectable","lnorm"
0.465116006007613,"age_grp_fact(35,50]",0.15321796078592,"Injectable","lnorm"
1.02073694525279,"shape",0.734572335494096,"Condom","llogis"
3.83735213996389,"scale",0.734572335494096,"Condom","llogis"
-1.24087371446536,"age_grp_fact(0,18]",0.734572335494096,"Condom","llogis"
-0.252847633925883,"age_grp_fact(18,20]",0.734572335494096,"Condom","llogis"
0,"age_grp_fact(20,25]",0,"Condom","llogis"
-1.57167580584563,"age_grp_fact(25,35]",0.734572335494096,"Condom","llogis"
7.24559644234832,"age_grp_fact(35,50]",7345.72335494096,"Condom","llogis"
1.53728612944402,"shape",0.344289053522412,"Withdrawal","weibull"
2.39789523652131,"scale",0.214963676030443,"Withdrawal","weibull"
0.492476631459029,"age_grp_fact(0,18]",0.304004597806363,"Withdrawal","weibull"
0.492476631459029,"age_grp_fact(18,20]",0.304004597806363,"Withdrawal","weibull"
0,"age_grp_fact(20,25]",0,"Withdrawal","weibull"
0.516230521310824,"age_grp_fact(25,35]",0.263322434125193,"Withdrawal","weibull"
-0.531332345530546,"age_grp_fact(35,50]",0.249058954163267,"Withdrawal","weibull"
-4.09988474259791,"rate",0.810308394814526,"Implant","exponential"
-16.3850219071905,"age_grp_fact(0,18]",8103.08394814526,"Implant","exponential"
-0.243920679255968,"age_grp_fact(18,20]",0.810308394814526,"Implant","exponential"
0,"age_grp_fact(20,25]",0,"Implant","exponential"
-0.187831212604924,"age_grp_fact(25,35]",0.810308394814526,"Implant","exponential"
-0.0109891215755957,"age_grp_fact(35,50]",0.810308394814526,"Implant","exponential"
0.663128988681413,"shape",0.061537705696376,"Other.trad","weibull"
3.07861788986247,"scale",0.0776860446443762,"Other.trad","weibull"
-0.000922884464852209,"age_grp_fact(0,18]",0.167909869709239,"Other.trad","weibull"
0.0320916214369033,"age_grp_fact(18,20]",0.158170288943298,"Other.trad","weibull"
0,"age_grp_fact(20,25]",0,"Other.trad","weibull"
0.124060516448578,"age_grp_fact(25,35]",0.101909012333227,"Other.trad","weibull"
0.355107222115053,"age_grp_fact(35,50]",0.144422679958902,"Other.trad","weibull"
0.394548527777469,"shape",0.494257752467735,"Other.mod","gamma"
-2.43057144323372,"rate",0.817909498103529,"Other.mod","gamma"
0.260170516624514,"age_grp_fact(0,18]",0.70703916939856,"Other.mod","gamma"
0.260170516624514,"age_grp_fact(18,20]",0.70703916939856,"Other.mod","gamma"
0,"age_grp_fact(20,25]",0,"Other.mod","gamma"
0.260170516624514,"age_grp_fact(25,35]",0.70703916939856,"Other.mod","gamma"
0.260170516624514,"age_grp_fact(35,50]",0.70703916939856,"Other.mod","gamma"
