age,female,male
0,0.06071193,0.06832357
1,0.02714559,0.02896517
2,0.01520102,0.01483459
3,0.00865935,0.0077793
4,0.00512438,0.00429699
5,0.00321794,0.00257095
6,0.00218375,0.00170367
7,0.00162346,0.00126964
8,0.00132214,0.00105842
9,0.00117376,0.00097444
10,0.00112105,0.00096648
11,0.00113421,0.00100509
12,0.00119646,0.00107158
13,0.0012952,0.0011521
14,0.0014211,0.00124341
15,0.00156431,0.00134469
16,0.00171595,0.00146367
17,0.00186634,0.0016128
18,0.00200839,0.0018021
19,0.0021368,0.00203201
20,0.00225118,0.00227618
21,0.00235461,0.00249007
22,0.0024504,0.00263251
23,0.002542,0.00268134
24,0.00262943,0.00265586
25,0.0027101,0.00259292
26,0.00278048,0.00253402
27,0.00283661,0.00251884
28,0.00287825,0.00256272
29,0.00290845,0.00266777
30,0.00293355,0.00282216
31,0.00296243,0.00299603
32,0.00300263,0.00316105
33,0.00306043,0.00329181
34,0.00313942,0.00338178
35,0.00324031,0.00344932
36,0.00336208,0.00352033
37,0.0035014,0.00362707
38,0.00365392,0.00379127
39,0.00381352,0.00402038
40,0.00397329,0.00431189
41,0.00412631,0.00464463
42,0.00426915,0.00499536
43,0.0044052,0.00534415
44,0.00454385,0.0056804
45,0.00470364,0.00601756
46,0.00490425,0.0063772
47,0.00516427,0.00678912
48,0.00549787,0.00728046
49,0.00590424,0.00786224
50,0.00637482,0.00853756
51,0.00688533,0.00928957
52,0.00740849,0.01009552
53,0.00793148,0.01094046
54,0.00845321,0.01181471
55,0.00900674,0.01273356
56,0.00963893,0.01372336
57,0.01040217,0.01481762
58,0.01135157,0.01605287
59,0.01251228,0.01744596
60,0.01389557,0.0190035
61,0.01547892,0.020713
62,0.01721872,0.02255355
63,0.01909096,0.02452395
64,0.02108403,0.02663602
65,0.02324797,0.02894233
66,0.02567509,0.03152363
67,0.02847385,0.03447094
68,0.03177178,0.03788992
69,0.03564514,0.04185918
70,0.0401309,0.04644056
71,0.04521112,0.05166852
72,0.05081392,0.0575527
73,0.05690986,0.06411223
74,0.06351202,0.07137379
75,0.07074205,0.07939236
76,0.07883154,0.08824724
77,0.08800303,0.09801141
78,0.09846474,0.10875126
79,0.11025501,0.12048371
80,0.12319626,0.13316652
81,0.13699919,0.14675479
82,0.15126688,0.16121111
83,0.16581644,0.17662058
84,0.18078857,0.19322599
85,0.19660717,0.21137486
86,0.21403747,0.23153736
87,0.2336759,0.25400594
88,0.25576936,0.27875149
89,0.28010291,0.30536141
90,0.30572813,0.33286134
91,0.33152152,0.3601702
92,0.3563646,0.38629286
93,0.37950861,0.41058164
94,0.40097488,0.43304416
95,0.4210743,0.45392263
96,0.44045712,0.47372945
97,0.4596572,0.49289051
98,0.47876848,0.51148083
99,0.49772143,0.52947516
100,1.0,1.0
