year,crude_death_rate
1950,27.763
1951,27.768
1952,27.792
1953,27.796
1954,27.785
1955,27.781
1956,27.718
1957,27.688
1958,27.696
1959,27.664
1960,27.633
1961,27.563
1962,27.553
1963,27.456
1964,27.443
1965,27.5
1966,27.579
1967,27.668
1968,27.785
1969,27.914
1970,28.016
1971,28.655
1972,28.196
1973,28.13
1974,27.946
1975,27.655
1976,27.219
1977,26.749
1978,26.339
1979,25.928
1980,25.697
1981,25.603
1982,25.562
1983,25.56
1984,25.638
1985,25.594
1986,25.512
1987,25.336
1988,25.03
1989,24.636
1990,24.126
1991,23.607
1992,22.918
1993,22.227
1994,21.544
1995,20.778
1996,20.112
1997,19.473
1998,18.882
1999,18.308
2000,17.7
2001,17.076
2002,16.403
2003,15.662
2004,14.965
2005,14.258
2006,13.586
2007,12.981
2008,12.434
2009,12.0
2010,11.605
2011,11.261
2012,10.99
2013,10.751
2014,10.532
2015,10.386
2016,10.156
2017,9.957
2018,9.769
2019,9.573
2020,9.526
2021,9.55
2022,9.173
2023,8.859
2024,8.719
2025,8.581
2026,8.44
2027,8.29
2028,8.142
2029,8.005
2030,7.866
