year,population
1960,3505050
1961,3608162
1962,3714520
1963,3823873
1964,3935814
1965,4049695
1966,4165544
1967,4283590
1968,4403637
1969,4525725
1970,4650275
1971,4776225
1972,4904845
1973,5037865
1974,5174953
1975,5317019
1976,5464962
1977,5619716
1978,5782932
1979,5955556
1980,6135971
1981,6322006
1982,6512732
1983,6708644
1984,6909971
1985,7118457
1986,7335811
1987,7561150
1988,7793748
1989,8034780
1990,8286059
1991,8546900
1992,8817633
1993,9100789
1994,9398258
1995,9714529
1996,10044852
1997,10383969
1998,10741413
1999,11117411
2000,11509630
2001,11920647
2002,12349144
2003,12796984
2004,13265836
2005,13756192
2006,14268581
2007,14803610
2008,15361915
2009,15943675
2010,16548835
2011,17176283
2012,17836769
2013,18519898
2014,19215909
2015,19939498
2016,20685753
2017,21435446
2018,22188069
2019,22947757
2020,23717613
2021,24502140
2022,25311973
2023,26159867
2024,27032412
