year,tfr
1960,7.53
1961,7.512
1962,7.501
1963,7.489
1964,7.48
1965,7.466
1966,7.481
1967,7.49
1968,7.497
1969,7.506
1970,7.514
1971,7.518
1972,7.523
1973,7.529
1974,7.539
1975,7.539
1976,7.563
1977,7.595
1978,7.662
1979,7.722
1980,7.782
1981,7.822
1982,7.862
1983,7.902
1984,7.921
1985,7.932
1986,7.904
1987,7.871
1988,7.841
1989,7.818
1990,7.806
1991,7.798
1992,7.795
1993,7.79
1994,7.786
1995,7.776
1996,7.78
1997,7.802
1998,7.84
1999,7.84
2000,7.829
2001,7.81
2002,7.797
2003,7.789
2004,7.777
2005,7.769
2006,7.744
2007,7.726
2008,7.702
2009,7.679
2010,7.64
2011,7.592
2012,7.527
2013,7.445
2014,7.342
2015,7.215
2016,7.043
2017,6.874
2018,6.706
2019,6.537
2020,6.369
2021,6.2
2022,6.135
2023,6.061
