age,country,region,probs
10,NG7,100,0.0014649037784028776
11,NG7,100,0.0031281359506600804
12,NG7,100,0.021876990612635927
13,NG7,100,0.05215197372159333
14,NG7,100,0.16687105597145643
15,NG7,100,0.3072858099239729
16,NG7,100,0.13092056247053735
17,NG7,100,0.10871079974195068
18,NG7,100,0.07708640864337031
19,NG7,100,0.03778172150013221
20,NG7,100,0.03575117580878468
21,NG7,100,0.009740199010734215
22,NG7,100,0.012739330278921815
23,NG7,100,0.005515485909429733
24,NG7,100,0.009714733100405737
25,NG7,100,0.006752954261759077
26,NG7,100,0.005403109281484788
27,NG7,100,0.0018855282894740665
28,NG7,100,0.002569998044915031
29,NG7,100,0.0008825222289160849
30,NG7,100,0.0017666014704627103
10,NG7,110,0.0038791143032734132
11,NG7,110,0.006809505782098871
12,NG7,110,0.03229536499790864
13,NG7,110,0.07551048565081069
14,NG7,110,0.1824646477309279
15,NG7,110,0.29362500863872565
16,NG7,110,0.11035522140020101
17,NG7,110,0.10265639337237764
18,NG7,110,0.07934076811761623
19,NG7,110,0.028845388992289996
20,NG7,110,0.03485373933795313
21,NG7,110,0.013845955014663198
22,NG7,110,0.013017265816312738
23,NG7,110,0.008383595951174523
24,NG7,110,0.003950039015158951
25,NG7,110,0.006214296288609244
27,NG7,110,0.0005778772739135886
28,NG7,110,0.0002861268731022958
29,NG7,110,0.0012750072748846982
31,NG7,110,0.0012088873211806694
35,NG7,110,0.0006053108468170482
