"wt","age","afb"
1.590044,41,16
1.590044,30,18
1.590044,23,Inf
1.590044,25,25
1.590044,30,15
1.590044,25,15
1.590044,18,17
1.590044,47,16
1.590044,22,16
1.590044,40,15
1.590044,38,17
1.590044,35,17
1.590044,30,26
1.590044,18,Inf
1.590044,35,27
1.590044,32,18
1.590044,30,20
1.590044,20,19
1.590044,35,18
1.590044,30,15
1.590044,27,15
1.590044,21,14
1.590044,20,17
1.590044,49,19
1.590044,40,16
1.590044,15,Inf
1.590044,35,17
1.590044,27,23
1.590044,49,19
1.590044,46,26
1.590044,43,23
1.590044,42,22
1.590044,34,17
1.590044,46,15
1.590044,23,17
1.590044,39,17
1.590044,27,16
1.590044,20,20
1.590044,40,18
1.590044,30,16
1.590044,40,33
1.590044,21,17
1.590044,35,15
1.590044,15,Inf
1.590044,18,18
1.590044,38,16
1.590044,38,15
1.590044,38,28
1.590044,45,18
1.590044,19,14
1.590044,15,Inf
1.590044,32,15
1.590044,30,Inf
0.683108,40,17
0.683108,35,19
0.683108,18,Inf
0.683108,27,Inf
0.683108,19,18
0.683108,20,20
0.683108,25,16
0.683108,27,19
0.683108,31,14
0.683108,20,20
0.683108,30,16
0.683108,25,19
0.683108,30,16
0.683108,44,15
0.683108,18,Inf
0.683108,16,Inf
0.683108,20,18
0.683108,20,19
0.683108,49,18
0.683108,40,15
0.683108,25,20
0.683108,25,18
0.683108,34,15
0.683108,25,16
0.683108,25,18
0.683108,20,20
0.683108,35,28
0.683108,45,18
0.683108,18,Inf
0.683108,30,23
0.683108,21,21
1.205485,35,14
1.205485,20,Inf
1.205485,48,29
1.205485,32,25
1.205485,41,25
1.205485,38,19
1.205485,18,Inf
1.205485,38,34
1.205485,16,Inf
1.205485,21,Inf
1.205485,33,23
1.205485,18,Inf
1.205485,48,22
1.205485,48,30
1.205485,17,Inf
1.205485,45,23
1.205485,18,Inf
1.205485,27,22
1.205485,16,Inf
1.205485,48,26
1.205485,30,Inf
1.205485,49,20
1.205485,20,Inf
1.205485,25,22
1.205485,34,27
1.205485,43,28
1.205485,24,Inf
1.205485,28,27
1.205485,23,22
1.205485,23,Inf
1.205485,40,20
1.205485,18,Inf
1.205485,15,Inf
1.205485,22,Inf
1.205485,35,28
1.332122,28,16
1.332122,32,18
1.332122,29,16
1.332122,18,16
1.332122,28,16
1.332122,29,17
1.332122,18,16
1.332122,16,Inf
1.332122,19,17
1.332122,16,Inf
1.332122,30,16
1.332122,25,21
1.332122,32,18
1.332122,25,16
1.332122,35,12
1.332122,25,17
1.332122,18,15
1.332122,37,21
1.332122,45,22
1.332122,40,23
1.332122,48,20
1.332122,45,25
1.332122,41,15
1.332122,33,32
1.332122,24,16
1.332122,23,18
1.332122,20,16
1.332122,34,17
1.332122,17,15
1.332122,17,17
1.332122,38,19
1.332122,21,17
1.332122,32,18
1.332122,30,18
1.332122,18,18
1.332122,30,22
1.332122,17,Inf
1.332122,17,17
1.332122,21,14
1.332122,31,19
1.332122,19,13
1.332122,28,14
1.332122,35,14
1.332122,15,Inf
1.082759,28,25
1.082759,28,17
1.082759,35,20
1.082759,38,22
1.082759,33,24
1.082759,30,Inf
1.082759,40,17
1.082759,20,Inf
1.082759,29,17
1.082759,25,16
1.082759,24,Inf
1.082759,31,17
1.082759,33,16
1.082759,16,Inf
1.082759,45,15
1.082759,18,Inf
1.082759,41,16
1.082759,38,18
1.082759,20,Inf
1.082759,27,14
1.082759,20,18
1.082759,29,19
1.082759,27,24
1.082759,17,16
1.082759,35,20
1.082759,30,21
1.082759,46,16
1.082759,18,Inf
1.082759,16,Inf
1.082759,49,20
1.082759,17,Inf
1.082759,30,18
1.082759,15,Inf
1.082759,21,14
1.082759,22,Inf
1.082759,35,15
1.082759,16,Inf
1.082759,49,15
1.082759,18,Inf
1.082759,15,Inf
1.082759,21,16
1.082759,36,16
1.082759,20,15
1.082759,32,21
1.082759,30,14
1.082759,27,13
0.932485,45,19
0.932485,45,20
0.932485,35,19
0.932485,18,16
0.932485,40,25
0.932485,16,Inf
0.932485,34,16
0.932485,19,17
0.932485,36,13
0.932485,20,20
0.932485,30,19
0.932485,40,Inf
0.932485,41,14
0.932485,36,18
0.932485,40,14
0.932485,27,15
0.932485,30,15
0.932485,33,15
0.932485,20,19
0.932485,18,16
0.932485,23,15
0.932485,22,19
0.932485,40,18
0.932485,25,13
0.932485,24,17
0.932485,35,22
0.932485,17,15
0.932485,16,Inf
0.932485,49,18
0.932485,35,20
0.932485,40,17
0.932485,38,18
0.932485,22,19
0.932485,40,23
0.932485,42,22
0.932485,45,19
0.932485,30,16
0.932485,34,19
0.932485,23,14
0.932485,16,Inf
0.932485,41,16
0.932485,24,19
0.932485,26,20
0.932485,25,20
0.932485,24,16
0.932485,18,15
0.932485,16,Inf
0.932485,25,15
0.932485,20,14
1.422655,29,20
1.422655,22,16
1.422655,39,22
1.422655,35,29
1.422655,41,15
