"age","parity","Freq","percentage"
"15-19","0",376.096419,15.0865786679481
"20-24","0",115.896295,4.64901680396276
"25-29","0",35.452269,1.42211788840712
"30-34","0",18.728302,0.751259483382877
"35-39","0",12.849288,0.515431108742148
"40-44","0",5.726035,0.229691837302296
"45-49","0",0.973302,0.0390426402615422
"15-19","1",104.302438,4.18394554335222
"20-24","1",114.109873,4.57735699898825
"25-29","1",59.592731,2.39047855509991
"30-34","1",23.446552,0.940525443397364
"35-39","1",6.991609,0.280458557607362
"40-44","1",1.85959,0.0745948363446918
"45-49","1",3.997431,0.160351320045923
"15-19","2",40.448939,1.62255227497535
"20-24","2",105.008486,4.21226766543908
"25-29","2",108.295733,4.34413095357763
"30-34","2",46.291574,1.85692135721755
"35-39","2",21.403922,0.858588214996073
"40-44","2",17.698864,0.709965026466564
"45-49","2",9.048086,0.362951238930461
"15-19","3",1.422655,0.0570678036018464
"20-24","3",67.359131,2.70201676351543
"25-29","3",79.297939,3.18092524813338
"30-34","3",52.574849,2.10896609306454
"35-39","3",39.659638,1.59089057593325
"40-44","3",16.768535,0.672646187635573
"45-49","3",17.550574,0.704016581765552
"15-19","4",0,0
"20-24","4",35.568432,1.42677760370689
"25-29","4",56.995637,2.28629978348801
"30-34","4",82.050527,3.29134144277003
"35-39","4",51.236906,2.05529639215007
"40-44","4",26.153962,1.04912938613097
"45-49","4",42.893767,1.72062311024061
"15-19","5",0,0
"20-24","5",1.239164,0.0497073203148187
"25-29","5",40.177592,1.61166757186466
"30-34","5",82.244303,3.29911449436071
"35-39","5",39.137131,1.56993094281307
"40-44","5",46.177588,1.85234896920967
"45-49","5",27.108596,1.08742318583901
"15-19","6",0,0
"20-24","6",0,0
"25-29","6",25.249845,1.01286200479882
"30-34","6",79.632753,3.19435584064889
"35-39","6",111.618894,4.47743488129399
"40-44","6",110.862943,4.44711097057733
"45-49","6",131.721445,5.28382042969758
