year,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49
1950,17.586,120.564,242.329,288.029,262.216,197.899,123.18,30.519
1951,17.622,120.665,242.39,287.695,261.952,197.756,122.971,30.53
1952,17.669,120.355,241.684,286.474,260.889,196.97,122.398,30.408
1953,17.716,120.601,242.065,286.547,261.019,197.034,122.414,30.387
1954,18.092,120.995,242.15,286.282,260.843,196.833,122.323,30.306
1955,18.55,122.222,242.306,286.097,260.736,196.664,122.292,30.233
1956,19.047,123.465,242.481,285.966,260.677,196.525,122.277,30.174
1957,19.805,129.178,241.16,284.012,258.979,195.151,121.447,29.936
1958,20.713,134.712,239.305,281.425,256.706,193.349,120.289,29.655
1959,21.562,140.534,237.703,279.095,254.669,191.717,119.198,29.429
1960,21.757,146.675,239.367,275.86,251.778,189.437,117.689,29.122
1961,21.745,153.12,240.961,272.618,248.888,187.15,116.182,28.816
1962,21.662,160.281,242.983,269.953,246.524,185.256,114.95,28.562
1963,21.521,163.075,245.023,268.069,244.94,183.952,114.111,28.386
1964,21.482,164.59,248.208,267.47,244.515,183.519,113.818,28.335
1965,21.446,164.087,252.245,267.323,243.258,182.604,113.563,28.29
1966,21.373,161.976,257.104,267.869,242.978,182.417,113.763,28.376
1967,21.411,159.953,261.893,268.247,242.551,182.102,113.891,28.472
1968,21.56,158.309,266.87,268.761,242.233,181.861,114.077,28.607
1969,21.638,163.157,266.471,269.117,240.47,182.531,114.168,28.573
1970,21.758,165.121,266.915,272.202,239.843,182.801,114.659,28.598
1971,21.843,167.912,268.814,276.853,240.579,184.115,115.808,28.803
1972,21.842,172.666,267.63,279.783,242.498,184.452,116.321,28.868
1973,21.743,177.735,266.767,282.993,244.696,184.953,116.941,28.979
1974,21.521,187.29,271.587,285.236,244.334,183.416,116.519,29.03
1975,21.427,190.158,275.902,287.739,249.061,183.136,116.247,29.19
1976,20.771,185.764,280.285,290.449,253.924,182.949,116.05,29.38
1977,20.644,181.908,285.461,293.986,259.479,183.293,116.198,29.665
1978,20.573,176.38,290.486,297.607,264.066,186.428,116.526,30.209
1979,20.072,173.773,290.64,298.249,263.449,183.851,114.648,30.643
1980,19.817,169.892,288.863,298.298,263.585,183.532,112.515,30.827
1981,20.48,162.808,283.193,298.644,265.61,187.665,112.838,30.744
1982,20.481,158.252,285.863,298.283,261.786,190.69,112.043,30.323
1983,21.147,162.141,286.622,295.748,255.836,191.515,109.828,29.929
1984,19.311,156.198,283.088,295.138,255.052,189.389,109.032,30.52
1985,19.108,155.818,277.777,292.506,252.267,185.384,106.736,31.0
1986,18.029,149.585,272.682,293.904,251.159,184.174,107.49,31.702
1987,16.921,147.819,269.178,292.964,250.703,182.445,105.891,31.9
1988,16.322,143.339,267.975,294.755,252.831,183.064,105.954,32.15
1989,15.952,146.04,268.055,292.565,253.272,182.195,105.274,31.881
1990,15.94,142.988,261.926,289.654,256.148,184.089,105.573,31.968
1991,16.462,138.879,257.635,285.983,258.32,185.268,107.417,32.049
1992,16.716,137.712,255.011,286.014,256.811,184.698,106.344,31.925
1993,16.056,134.626,252.896,286.635,257.986,183.375,104.381,31.971
1994,15.305,131.774,248.356,288.723,260.491,182.796,101.184,32.307
1995,13.987,135.975,249.771,286.894,258.141,178.826,96.259,32.161
1996,14.106,131.962,248.926,284.047,256.519,178.981,93.704,32.928
1997,14.263,129.492,245.483,281.327,254.556,176.99,90.375,33.259
1998,13.721,129.036,242.382,276.462,250.762,177.361,89.839,32.679
1999,14.069,130.643,238.862,274.139,251.466,180.712,92.714,32.22
2000,13.56,133.779,239.598,273.81,251.522,185.361,94.049,31.886
2001,13.152,133.638,237.422,273.022,253.462,185.414,96.951,31.533
2002,13.245,133.608,234.102,271.151,253.015,185.468,100.061,31.911
2003,12.845,135.632,230.643,269.263,253.407,183.419,102.064,32.104
2004,11.99,130.462,229.799,269.989,253.837,184.444,103.58,32.99
2005,11.044,132.53,231.95,268.919,250.641,182.181,100.828,33.486
2006,9.892,130.171,231.846,270.177,249.383,183.148,100.298,34.666
2007,8.914,127.22,233.643,269.923,249.665,181.121,98.111,35.854
2008,8.828,127.468,235.818,267.285,249.128,182.017,97.462,35.928
2009,8.558,127.793,236.624,263.704,246.609,181.534,97.415,35.275
2010,7.233,125.365,239.901,264.548,245.611,176.903,93.731,35.202
2011,6.892,127.751,240.649,262.128,242.101,172.524,91.149,34.122
2012,6.78,127.604,238.676,258.346,236.181,168.449,88.87,33.201
2013,6.462,127.747,236.522,255.509,231.011,163.19,84.79,32.296
2014,5.877,123.591,235.197,255.034,229.063,161.167,82.228,31.068
2015,4.853,114.881,232.295,253.943,225.456,157.283,80.675,29.824
2016,3.951,106.944,229.817,248.691,219.935,152.052,77.196,28.088
2017,3.6,100.798,225.063,242.148,214.011,147.413,74.532,26.778
2018,3.558,96.601,218.752,234.984,208.186,142.774,72.028,25.507
2019,3.468,92.622,212.462,227.907,202.377,138.134,69.484,24.117
2020,3.22,89.081,206.646,221.565,196.321,132.902,65.874,22.908
2021,2.96,88.457,204.914,219.348,193.759,130.481,64.032,21.75
2022,2.718,87.26,201.983,215.935,190.451,127.918,62.421,20.275
2023,2.498,86.432,199.921,213.27,187.495,125.457,60.555,19.307
