"space_mo","urban_rural","Freq"
"8","urban",9.539918
"9","urban",20.07465
"10","urban",26.197561
"11","urban",18.352468
"12","urban",36.947587
"13","urban",36.145412
"14","urban",25.575644
"15","urban",41.605573
"16","urban",60.461474
"17","urban",48.044441
"18","urban",67.991367
"19","urban",96.46028
"20","urban",88.681361
"21","urban",106.623053
"22","urban",128.57693
"23","urban",99.335144
"24","urban",114.811269
"25","urban",157.606308
"26","urban",114.97649
"27","urban",87.42541
"28","urban",91.789271
"29","urban",88.322277
"30","urban",55.579661
"31","urban",56.002479
"32","urban",55.992611
"33","urban",55.824736
"34","urban",62.049444
"35","urban",30.52942
"36","urban",59.256863
"37","urban",59.207835
"38","urban",60.668997
"39","urban",33.541182
"40","urban",35.158309
"41","urban",23.384322
"42","urban",34.712435
"43","urban",18.106233
"44","urban",33.069104
"45","urban",20.79203
"46","urban",20.320938
"47","urban",26.014153
"48","urban",19.823727
"49","urban",39.785686
"50","urban",29.214902
"51","urban",16.146964
"52","urban",8.352269
"53","urban",16.377689
"54","urban",10.70253
"55","urban",21.042902
"56","urban",6.88033
"57","urban",16.088896
"58","urban",7.371521
"59","urban",10.259821
"60","urban",3.85761
"61","urban",12.269924
"62","urban",14.174661
"63","urban",7.597605
"64","urban",4.858987
"65","urban",7.112829
"66","urban",3.547458
"67","urban",0
"68","urban",4.054788
"69","urban",4.089497
"70","urban",6.60124
"71","urban",0
"72","urban",0
"73","urban",5.203899
"74","urban",6.424076
"75","urban",2.13797
"76","urban",8.537071
"77","urban",2.522529
"78","urban",4.019645
"79","urban",2.032523
"80","urban",2.768753
"81","urban",0.984848
"82","urban",0.857376
"83","urban",0
"84","urban",3.307178
"85","urban",4.363744
"86","urban",6.367676
"87","urban",0.596877
"88","urban",4.6393
"89","urban",3.208534
"90","urban",1.789861
"91","urban",2.334551
"93","urban",1.100038
"94","urban",1.590044
"95","urban",1.335802
"96","urban",3.08716
"97","urban",0.932485
"98","urban",0
"99","urban",2.195198
"100","urban",0
"101","urban",0
"103","urban",4.346102
"104","urban",0
"105","urban",0.932485
"107","urban",0
"110","urban",1.877904
"112","urban",1.596598
"113","urban",1.262713
"114","urban",3.990286
"115","urban",4.844138
"116","urban",0
"117","urban",0.857376
"120","urban",0
"121","urban",1.590044
"122","urban",3.473772
"123","urban",0.932485
"124","urban",0
"125","urban",0
"128","urban",0
"133","urban",0
"144","urban",0
"148","urban",1.335802
"150","urban",0
"151","urban",0
"153","urban",0
"164","urban",1.071838
"170","urban",0.932485
"182","urban",1.590044
"254","urban",0
"8","rural",5.208297
"9","rural",42.152213
"10","rural",43.05735
"11","rural",51.113995
"12","rural",30.753889
"13","rural",78.057481
"14","rural",62.478006
"15","rural",65.674642
"16","rural",70.946192
"17","rural",68.618037
"18","rural",111.57702
"19","rural",127.357555
"20","rural",165.636274
"21","rural",227.307834
"22","rural",167.58894
"23","rural",157.039686
"24","rural",164.80518
"25","rural",202.273943
"26","rural",250.891261
"27","rural",169.341895
"28","rural",158.114797
"29","rural",85.505997
"30","rural",107.66931
"31","rural",86.75425
"32","rural",103.578496
"33","rural",86.881199
"34","rural",103.948447
"35","rural",63.458432
"36","rural",33.992793
"37","rural",83.177292
"38","rural",76.508646
"39","rural",66.815492
"40","rural",43.053858
"41","rural",46.905986
"42","rural",38.347588
"43","rural",47.963824
"44","rural",21.932292
"45","rural",40.808124
"46","rural",43.841573
"47","rural",17.62914
"48","rural",10.240948
"49","rural",19.364226
"50","rural",23.304134
"51","rural",26.483116
"52","rural",23.330365
"53","rural",11.002466
"54","rural",12.779132
"55","rural",17.859284
"56","rural",20.079358
"57","rural",19.415849
"58","rural",10.254764
"59","rural",14.948456
"60","rural",8.236252
"61","rural",19.973178
"62","rural",20.656082
"63","rural",13.303698
"64","rural",10.416211
"65","rural",8.639228
"66","rural",7.850166
"67","rural",12.203815
"68","rural",10.161273
"69","rural",9.003576
"70","rural",7.216428
"71","rural",5.401449
"72","rural",5.788487
"73","rural",10.669027
"74","rural",20.777154
"75","rural",8.392371
"76","rural",5.110968
"77","rural",2.435088
"78","rural",4.344358
"79","rural",1.09937
"80","rural",0.82706
"81","rural",4.151284
"82","rural",5.112603
"83","rural",3.563224
"84","rural",0
"85","rural",2.091994
"86","rural",1.952232
"87","rural",1.09937
"88","rural",0.973302
"89","rural",5.100561
"90","rural",0
"91","rural",0
"93","rural",1.239164
"94","rural",2.056897
"95","rural",3.764069
"96","rural",1.188553
"97","rural",1.12492
"98","rural",1.037735
"99","rural",0
"100","rural",0.722769
"101","rural",2.478328
"103","rural",0
"104","rural",2.094387
"105","rural",0
"107","rural",1.696071
"110","rural",1.751178
"112","rural",1.397353
"113","rural",3.067689
"114","rural",0.82706
"115","rural",2.094387
"116","rural",1.12492
"117","rural",0
"120","rural",1.751178
"121","rural",4.902701
"122","rural",0
"123","rural",0
"124","rural",1.952232
"125","rural",1.053178
"128","rural",3.29118
"133","rural",1.09937
"144","rural",6.348321
"148","rural",0
"150","rural",0.82706
"151","rural",0.82706
"153","rural",3.29118
"164","rural",0
"170","rural",0
"182","rural",0
"254","rural",1.188553
