rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-5.630042683892889,0.55888670140567,-10.07367444910145,8.182931471077646e-11
"ns(age, knots = c(25, 40))1",0.5778320125794502,0.4698921766926897,1.229711923800241,0.22903811672479507
"ns(age, knots = c(25, 40))2",5.536458178159873,0.8607137090640344,6.432403852589244,5.763473759361159e-7
"ns(age, knots = c(25, 40))3",-0.7359666644042219,0.5279106907752655,-1.3941120671820737,0.17424930104943026
prior_userTRUE,4.392655254440096,1.7095152970144774,2.5695325816104098,0.015798494481600322
edu.levelPrimary,0.8488656974650814,0.3173825163837472,2.674582415997729,0.012350166773503668
edu.levelSecondary,1.4301193637433147,0.3986070781570182,3.5877921946483,0.0012537180596621934
parity,0.0754291336264692,0.057042002823949715,1.3223437097618782,0.19675427353157765
urban,-1.04068283131596,0.23292292788313387,-4.4679278282046555,1.1856922454418168e-4
wealthquintile,0.14224134955802645,0.1261650320737346,1.1274229255131196,0.26913274293456774
"ns(age, knots = c(25, 40))1:prior_userTRUE",0.7968653718008111,1.869126314127564,0.426330401416855,0.6731269342691542
"ns(age, knots = c(25, 40))2:prior_userTRUE",-3.292566600116174,3.363512131898243,-0.978907306113378,0.3360085432514096
"ns(age, knots = c(25, 40))3:prior_userTRUE",1.9470038509919227,1.0225215994163743,1.9041200226021788,0.06721726144067863
