rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-6.714911170100352,1.8977883439124237,-3.5382824389452683,0.0015388214780692822
"ns(age, knots = c(25, 40))1",0.9792334775340493,2.945184129187496,0.3324863351766722,0.7421879190796505
"ns(age, knots = c(25, 40))2",3.986700995368301,4.504033380292869,0.8851401974088102,0.3841941080649326
"ns(age, knots = c(25, 40))3",-2.52293767282129,2.6405592658331614,-0.955455802665062,0.34814721023299344
prior_userTRUE,-13.765709341567165,2.2631242683849644,-6.082613108731675,1.990270788158404e-6
edu.levelPrimary,1.6451003355598013,0.9015097716689183,1.8248280687122362,0.07953841898009253
edu.levelSecondary,1.9904676621575197,0.7234339961536207,2.7514157099894505,0.010664631073722543
parity,0.003577170292735163,0.2944919489827879,0.012146920501871638,0.9904011262542685
urban,-2.7009903351848497,1.3992497220624238,-1.9303132904709286,0.06454390482784698
wealthquintile,0.34359887999028677,0.3540625320696936,0.9704468811815784,0.34076577671691277
"ns(age, knots = c(25, 40))1:prior_userTRUE",-10.446525124919415,12.327542442146875,-0.8474134381564639,0.40449819476493154
"ns(age, knots = c(25, 40))2:prior_userTRUE",80.10959070747022,118.91397489296958,0.6736768389045453,0.5064620432093853
"ns(age, knots = c(25, 40))3:prior_userTRUE",106.63247416726861,154.21789042410833,0.6914403632031472,0.4954170691200027
