rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-3.8233400881316233,0.3978358662428473,-9.610345402588154,8.208407048185622e-11
"age_grp(18,20]",1.4257288329961368,0.4330860043980894,3.2920224124481696,0.0024885665579786587
"age_grp(20,25]",1.93337134562529,0.3361369540178291,5.751736970647808,2.4909913121030773e-6
"age_grp(25,35]",2.0458937005778393,0.35039060913295955,5.838894214774753,1.94210263772289e-6
"age_grp(35,50]",1.3487559099557032,0.4274912576848334,3.155049105004316,0.003555927067760346
prior_userTRUE,2.972270986316526,1.3424101827975867,2.2141302445444095,0.03430591954752365
"age_grp(18,20]:prior_userTRUE",14.209304004686828,1.5483492978895266,9.177066198211723,2.39111227175893e-10
"age_grp(20,25]:prior_userTRUE",-0.06309146841214149,1.342382140688222,-0.04699963333823505,0.9628150036019459
"age_grp(25,35]:prior_userTRUE",-0.2745269645391916,1.3534384871457399,-0.20283667646997408,0.8405881468393865
"age_grp(35,50]:prior_userTRUE",0.8985902816044709,1.4049428204744285,0.6395920663169979,0.5271365719660683
