rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-26.516441601623725,0.2906372711897042,-91.23551667368898,8.80099362707921e-29
"age_grp(18,20]",0.051411788952347465,0.4036388922810071,0.12737075127179615,0.8998587461106872
"age_grp(20,25]",-0.3648446261505851,0.738826892620875,-0.49381611551300575,0.6265614327530407
"age_grp(25,35]",-0.06502236327964722,0.3576676750768366,-0.1817954705179289,0.85748659221372
"age_grp(35,50]",-0.02842115163435473,0.5224493143169396,-0.054399825696992435,0.9571308376772437
prior_userTRUE,-0.25964170851748736,1.0785843679373606,-0.24072452395542804,0.8121032179701676
"age_grp(18,20]:prior_userTRUE",3.547908779265483,1.513074444543448,2.3448342492731884,0.019334560846589077
"age_grp(20,25]:prior_userTRUE",0.8325021961495818,1.5669551186738029,0.5312865609413067,0.6007952596106816
"age_grp(25,35]:prior_userTRUE",1.805363451819648,1.0059026019375443,1.794769641058888,0.07315349166226189
"age_grp(35,50]:prior_userTRUE",-0.00897473782080264,1.3516329239896538,-0.0066399224682332,0.9947041783615418
