year,cpr,mcpr
1990,8.2,3.8
1991,8.7,4.2
1992,9.2,4.7
1993,9.8,5.2
1994,10.4,5.8
1995,10.9,6.2
1996,11.4,6.6
1997,11.9,7.0
1998,12.3,7.4
1999,12.6,7.7
2000,13.0,8.0
2001,13.3,8.4
2002,13.5,8.7
2003,13.8,9.1
2004,14.1,9.4
2005,14.4,9.7
2006,14.8,10.0
2007,15.1,10.4
2008,15.3,10.5
2009,15.4,10.6
2010,15.4,10.8
2011,15.3,10.9
2012,15.1,10.9
2013,15.0,10.7
2014,15.1,10.8
2015,15.2,10.9
2016,15.4,11.1
2017,15.7,11.3
2018,16.0,11.7
2019,16.6,12.3
2020,17.2,13.1
2021,17.8,13.8
2022,18.3,14.3
2023,18.9,14.9
2024,19.4,15.5
2025,19.9,16.0
2026,20.5,16.5
2027,21.0,17.0
2028,21.5,17.6
2029,22.0,18.1
2030,22.6,18.7
