"edu","urban","percent"
"0","0",0.625606028846684
"1","0",0.00320519017685802
"2","0",0.012211821839129
"3","0",0.0151384088952101
"4","0",0.018896078783632
"5","0",0.00945536335327427
"6","0",0.0807932329686927
"7","0",0.00563905268168236
"8","0",0.0136242423326526
"9","0",0.0446642818059919
"10","0",0.0110119331931908
"11","0",0.00806574586328553
"12","0",0.117131848053324
"13","0",0.0012809338096318
"14","0",0.00943194670594139
"15","0",0.0191844658411248
"16","0",0.00465942484969451
"17","0",0
"18","0",0
"19","0",0
"20","0",0
"0","1",0.374840324284833
"1","1",0.00286920711419499
"2","1",0.0109570552897004
"3","1",0.0233334684703381
"4","1",0.0155383255532321
"5","1",0.0114661470552953
"6","1",0.0951548621653724
"7","1",0.00614362212436239
"8","1",0.00827867060710744
"9","1",0.055713249247487
"10","1",0.010029269883724
"11","1",0.00959845990938023
"12","1",0.198201348438417
"13","1",0.0038034228522883
"14","1",0.0452544274124133
"15","1",0.0544780646124515
"16","1",0.0614215194103205
"17","1",0.00357843854419225
"18","1",0.00618068400594605
"19","1",0
"20","1",0.00315943301894347
