"age","parity","percent"
"11","1",0
"12","1",0
"13","1",0
"14","1",0.0566425941390938
"15","1",0.0090973409137346
"16","1",0.0190672414291497
"17","1",0.0437317395406541
"18","1",0.00622971063365629
"19","1",0.0329182471880107
"20","1",0
"21","1",0
"22","1",0.0886050224880299
"23","1",0
"24","1",0
"25","1",0
"26","1",0
"27","1",0
"28","1",0
"29","1",0
"30","1",0
"31","1",0
"32","1",0
"33","1",0
"34","1",0
"35","1",0
"36","1",0
"37","1",0
"38","1",0
"39","1",0
"40","1",0
"41","1",0
"42","1",0
"43","1",0
"44","1",0
"45","1",0
"46","1",0
"47","1",0
"48","1",0
"11","2+",0
"12","2+",0
"13","2+",0
"14","2+",0
"15","2+",0
"16","2+",0.123635603760569
"17","2+",0.0558571993222001
"18","2+",0.0810793689260032
"19","2+",0.0924881666496701
"20","2+",0.011603937539724
"21","2+",0
"22","2+",0
"23","2+",0
"24","2+",0
"25","2+",0
"26","2+",0
"27","2+",0
"28","2+",0
"29","2+",0
"30","2+",0
"31","2+",0
"32","2+",0
"33","2+",0
"34","2+",0
"35","2+",0
"36","2+",0
"37","2+",0
"38","2+",0
"39","2+",0
"40","2+",0
"41","2+",0
"42","2+",0
"43","2+",0
"44","2+",0
"45","2+",0
"46","2+",0
"47","2+",0
"48","2+",0
