year,tfr
1960,6.364
1961,6.353
1962,6.356
1963,6.349
1964,6.362
1965,6.367
1966,6.386
1967,6.401
1968,6.42
1969,6.438
1970,6.466
1971,6.532
1972,6.579
1973,6.633
1974,6.703
1975,6.773
1976,6.806
1977,6.862
1978,6.921
1979,6.887
1980,6.847
1981,6.82
1982,6.799
1983,6.775
1984,6.701
1985,6.616
1986,6.557
1987,6.504
1988,6.498
1989,6.494
1990,6.459
1991,6.426
1992,6.391
1993,6.354
1994,6.319
1995,6.273
1996,6.217
1997,6.138
1998,6.069
1999,6.082
2000,6.124
2001,6.128
2002,6.116
2003,6.1
2004,6.09
2005,6.063
2006,6.053
2007,6.027
2008,6.024
2009,5.993
2010,5.948
2011,5.893
2012,5.797
2013,5.694
2014,5.622
2015,5.503
2016,5.343
2017,5.182
2018,5.021
2019,4.861
2020,4.7
2021,4.636
2022,4.552
2023,4.482
