"wt","age","afb"
0.794946,37,25
0.794946,29,26
0.794946,26,Inf
0.794946,21,Inf
0.794946,46,31
0.794946,15,Inf
0.794946,19,Inf
0.794946,27,18
0.794946,37,18
0.794946,33,24
0.794946,19,Inf
0.794946,35,16
0.794946,21,Inf
0.794946,42,17
0.794946,19,Inf
0.794946,15,Inf
0.794946,47,24
0.794946,24,Inf
0.794946,18,Inf
0.794946,18,Inf
0.794946,17,Inf
0.794946,28,Inf
0.794946,19,Inf
0.794946,16,Inf
0.794946,32,20
0.794946,35,23
0.794946,30,Inf
0.794946,24,Inf
0.794946,35,26
0.794946,16,Inf
0.794946,29,Inf
0.794946,25,Inf
0.794946,40,23
0.794946,49,15
0.794946,37,16
0.794946,20,Inf
0.794946,20,Inf
0.794946,17,Inf
0.794946,17,Inf
0.794946,43,21
0.770856,46,16
0.770856,43,17
0.770856,16,Inf
0.770856,34,21
0.770856,28,22
0.770856,26,17
0.770856,41,17
0.770856,31,19
0.770856,40,16
0.770856,25,19
0.770856,37,17
0.770856,20,Inf
0.770856,38,19
0.770856,17,Inf
0.770856,15,Inf
0.770856,35,22
0.770856,36,18
0.770856,15,Inf
0.770856,46,26
0.770856,27,17
0.770856,38,20
0.770856,17,Inf
0.770856,22,20
0.770856,25,23
0.770856,48,27
0.770856,35,22
0.770856,45,19
0.770856,40,17
0.770856,16,Inf
0.770856,32,17
0.770856,23,17
0.770856,39,19
0.770856,37,17
0.770856,15,Inf
0.770856,23,23
1.830784,20,18
1.830784,32,19
1.830784,18,Inf
1.830784,32,15
1.830784,28,14
1.830784,16,Inf
1.830784,24,18
1.830784,22,18
1.830784,28,17
1.830784,22,Inf
1.830784,22,16
1.830784,20,15
1.830784,22,15
1.830784,42,15
1.830784,15,Inf
1.830784,28,16
1.830784,20,18
1.830784,19,16
1.830784,17,Inf
1.830784,34,16
1.830784,26,15
1.830784,28,18
1.830784,25,24
1.830784,20,18
1.830784,25,19
1.04439,20,20
1.04439,30,26
1.04439,35,27
1.04439,31,27
1.04439,22,Inf
1.04439,36,23
1.04439,33,19
1.04439,23,Inf
1.04439,17,Inf
1.04439,19,19
1.04439,32,16
1.04439,29,19
1.04439,22,Inf
1.04439,35,18
1.04439,17,Inf
1.04439,29,17
1.04439,25,20
1.04439,30,25
1.04439,20,20
1.04439,39,22
1.04439,16,Inf
1.04439,15,Inf
1.04439,31,19
1.04439,34,21
1.04439,34,19
1.04439,30,26
1.04439,27,20
1.04439,35,16
1.04439,35,20
1.04439,38,20
1.04439,30,20
1.04439,21,18
1.04439,23,23
1.04439,35,26
1.04439,23,20
1.04439,28,Inf
1.920299,19,Inf
1.920299,36,20
1.920299,33,22
1.920299,36,23
1.920299,46,19
1.920299,30,15
1.920299,19,Inf
1.920299,22,Inf
1.920299,15,Inf
1.920299,37,19
1.920299,17,Inf
1.920299,40,20
1.920299,18,Inf
1.920299,15,Inf
1.920299,46,15
1.920299,22,Inf
1.920299,46,19
1.920299,24,Inf
1.920299,20,Inf
1.920299,18,Inf
1.920299,46,16
1.920299,22,Inf
1.920299,16,Inf
1.920299,35,19
1.920299,33,18
1.920299,35,23
1.920299,25,20
1.920299,34,17
1.920299,16,Inf
1.920299,34,Inf
1.920299,34,19
1.920299,15,Inf
1.920299,28,15
1.920299,35,20
1.920299,15,Inf
1.920299,43,16
1.920299,24,Inf
1.920299,22,Inf
1.890294,37,20
1.890294,30,20
1.890294,16,Inf
1.890294,25,22
1.890294,42,16
1.890294,17,Inf
1.890294,15,Inf
1.890294,29,28
1.890294,36,29
1.890294,33,20
1.890294,21,20
1.890294,28,Inf
1.890294,30,25
1.890294,24,Inf
1.890294,16,Inf
1.890294,38,21
1.890294,32,14
1.890294,19,Inf
1.890294,17,Inf
1.890294,16,Inf
1.890294,19,Inf
1.890294,17,Inf
1.890294,15,Inf
1.890294,22,Inf
1.890294,30,19
1.890294,36,16
1.890294,47,18
1.890294,19,Inf
1.890294,17,Inf
1.890294,15,Inf
1.890294,49,16
1.890294,43,22
1.890294,30,21
1.890294,19,Inf
1.890294,18,Inf
1.890294,15,Inf
1.890294,15,Inf
1.890294,16,Inf
1.890294,28,19
1.890294,38,18
1.890294,38,19
1.890294,16,Inf
1.890294,20,19
1.890294,28,20
1.890294,39,26
1.890294,26,19
1.890294,47,21
1.890294,21,Inf
1.890294,19,Inf
1.890294,32,17
1.890294,26,17
1.890294,37,30
1.890294,36,28
1.590248,41,18
1.590248,42,18
1.590248,32,20
1.590248,40,20
1.590248,25,19
1.590248,34,27
1.590248,16,Inf
1.590248,17,Inf
1.590248,36,19
