"space_mo","urban_rural","Freq"
"8","urban",8.508808
"9","urban",14.608852
"10","urban",16.242939
"11","urban",15.844656
"12","urban",16.097211
"13","urban",36.740792
"14","urban",42.41445
"15","urban",39.541514
"16","urban",66.204671
"17","urban",65.019469
"18","urban",78.259816
"19","urban",102.143926
"20","urban",98.573165
"21","urban",145.452606
"22","urban",140.173953
"23","urban",120.603566
"24","urban",112.915428
"25","urban",195.834138
"26","urban",192.670803
"27","urban",137.738302
"28","urban",146.3424
"29","urban",100.448081
"30","urban",92.616999
"31","urban",100.967979
"32","urban",83.835634
"33","urban",65.58814
"34","urban",73.735047
"35","urban",59.31845
"36","urban",51.465717
"37","urban",80.262389
"38","urban",68.042186
"39","urban",43.218088
"40","urban",48.351211
"41","urban",44.216905
"42","urban",53.310309
"43","urban",24.716244
"44","urban",32.044324
"45","urban",28.403359
"46","urban",20.789747
"47","urban",14.369307
"48","urban",22.312197
"49","urban",25.373795
"50","urban",9.140842
"51","urban",15.616415
"52","urban",7.921085
"53","urban",9.513644
"54","urban",21.472909
"55","urban",13.687879
"56","urban",6.484309
"57","urban",7.621273
"58","urban",13.331527
"59","urban",6.70685
"60","urban",6.345124
"61","urban",8.513579
"62","urban",12.705795
"63","urban",1.890294
"64","urban",2.361104
"65","urban",4.947939
"66","urban",9.924704
"67","urban",4.200647
"68","urban",8.666202
"69","urban",5.687824
"70","urban",4.127681
"71","urban",3.727817
"72","urban",1.920299
"73","urban",6.676793
"74","urban",2.331099
"75","urban",0
"76","urban",2.355189
"77","urban",0.809918
"78","urban",0
"79","urban",5.524442
"80","urban",2.613172
"81","urban",1.499969
"82","urban",0
"83","urban",0
"84","urban",3.642383
"85","urban",0
"86","urban",2.687375
"87","urban",1.978188
"88","urban",4.448246
"89","urban",0
"90","urban",0
"91","urban",0
"92","urban",1.778759
"93","urban",1.105581
"94","urban",0
"95","urban",0
"96","urban",0
"97","urban",0
"98","urban",1.590248
"99","urban",0
"100","urban",0
"101","urban",3.084789
"102","urban",2.137569
"103","urban",0
"104","urban",0
"106","urban",1.778759
"110","urban",3.510547
"111","urban",0
"115","urban",0
"117","urban",0
"118","urban",0
"120","urban",1.480993
"123","urban",0.956753
"125","urban",0
"128","urban",1.590248
"129","urban",0
"137","urban",0
"141","urban",0
"143","urban",1.890294
"146","urban",1.444902
"150","urban",1.105581
"168","urban",0
"171","urban",2.908425
"186","urban",0
"189","urban",0
"8","rural",3.666233
"9","rural",19.823998
"10","rural",23.511415
"11","rural",19.397454
"12","rural",29.140591
"13","rural",50.59515
"14","rural",61.407235
"15","rural",68.425667
"16","rural",77.667044
"17","rural",84.064433
"18","rural",113.183991
"19","rural",152.541586
"20","rural",151.778806
"21","rural",141.510322
"22","rural",178.28048
"23","rural",104.677494
"24","rural",139.556636
"25","rural",249.453299
"26","rural",240.262068
"27","rural",241.23067
"28","rural",192.334051
"29","rural",175.841601
"30","rural",143.461596
"31","rural",144.415223
"32","rural",150.011181
"33","rural",135.343588
"34","rural",98.333444
"35","rural",90.594857
"36","rural",80.643141
"37","rural",107.036113
"38","rural",132.829421
"39","rural",89.460286
"40","rural",62.083993
"41","rural",80.268691
"42","rural",65.301319
"43","rural",65.983636
"44","rural",53.64672
"45","rural",50.411777
"46","rural",55.494995
"47","rural",30.192462
"48","rural",23.74143
"49","rural",24.827242
"50","rural",33.233951
"51","rural",19.563484
"52","rural",36.234753
"53","rural",15.731962
"54","rural",22.326269
"55","rural",24.567738
"56","rural",15.810672
"57","rural",9.960801
"58","rural",19.906046
"59","rural",8.851099
"60","rural",20.178897
"61","rural",19.003217
"62","rural",17.011959
"63","rural",10.617591
"64","rural",8.969013
"65","rural",7.325444
"66","rural",12.193982
"67","rural",4.469154
"68","rural",10.195051
"69","rural",9.530915
"70","rural",1.738979
"71","rural",0
"72","rural",5.828248
"73","rural",2.803651
"74","rural",4.898498
"75","rural",5.549795
"76","rural",3.134438
"77","rural",1.090022
"78","rural",3.592511
"79","rural",3.096507
"80","rural",2.500527
"81","rural",0
"82","rural",4.138332
"83","rural",3.344255
"84","rural",0
"85","rural",4.182422
"86","rural",3.944168
"87","rural",2.777145
"88","rural",1.819636
"89","rural",1.881006
"90","rural",0.96425
"91","rural",3.923838
"92","rural",2.287823
"93","rural",1.453717
"94","rural",2.310618
"95","rural",0.873852
"96","rural",1.725194
"97","rural",1.679661
"98","rural",0.96425
"99","rural",1.221191
"100","rural",2.290038
"101","rural",0.415388
"102","rural",0.992356
"103","rural",1.090022
"104","rural",1.221191
"106","rural",2.047958
"110","rural",0.834106
"111","rural",0.992356
"115","rural",3.450388
"117","rural",1.404248
"118","rural",0.415388
"120","rural",0
"123","rural",2.801849
"125","rural",2.613154
"128","rural",0
"129","rural",0.992356
"137","rural",2.613154
"141","rural",0.834106
"143","rural",0
"146","rural",0
"150","rural",0
"168","rural",2.310618
"171","rural",0
"186","rural",1.090022
"189","rural",2.613154
