rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-9.546558441511284,1.225062928495038,-7.7927086188454116,1.7936726378328758e-9
"ns(age, knots = c(25, 40))1",2.2761014012392655,0.8744751411285009,2.602820016475232,0.013007384925605327
"ns(age, knots = c(25, 40))2",7.459065907738312,2.911085329559066,2.562297240826024,0.014374280895714023
"ns(age, knots = c(25, 40))3",-2.6459168596812335,1.6029819423426548,-1.6506217504948288,0.10684749586332999
prior_userTRUE,-1.8475795719318315,3.538349885443569,-0.5221585291868948,0.6045133725444088
edu.levelPrimary,0.6060026871585427,0.48441347978374694,1.2510029395323101,0.2183863270236786
edu.levelSecondary,0.4872557040973127,0.42198331000502537,1.1546800372069455,0.25524775625071466
parity,0.10234632466088564,0.08681450296219738,1.178908145168457,0.245577317137852
urban,0.4658752535564752,0.4078795067977737,1.1421884301420806,0.26033982401352385
wealthquintile,0.464900262679073,0.15064895214143992,3.0859840448315343,0.0037228759232857326
"ns(age, knots = c(25, 40))1:prior_userTRUE",1.2380714199219163,2.546173446509117,0.48624787192693053,0.629512645368901
"ns(age, knots = c(25, 40))2:prior_userTRUE",11.768102208195133,8.161793656879926,1.4418524533850834,0.15732660801700096
"ns(age, knots = c(25, 40))3:prior_userTRUE",6.5425366739613455,3.1027244535500844,2.108642508191627,0.041450137386478916
