rhs,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-19.59168870111214,0.08846111615144242,-221.4723208734088,2.2157258215307186e-67
"age_grp(18,20]",15.607957924689346,0.7278822701963387,21.442970331560986,1.3827747474953615e-24
"age_grp(20,25]",16.27137091916446,0.3478773400644829,46.773299221353085,1.6391969015965578e-38
"age_grp(25,35]",17.369008330060524,0.23068852463447817,75.29203438957965,2.7105251109997317e-47
"age_grp(35,50]",15.88127342132721,0.3623535189751194,43.82811974959095,2.539560357797491e-37
prior_userTRUE,4.0502360508777695,0.6670233814370149,6.072105061972587,2.8719094141390476e-7
"age_grp(18,20]:prior_userTRUE",-19.511191170520892,1.1978435418861064,-16.28859737374287,5.2460180086391187e-20
"age_grp(20,25]:prior_userTRUE",-1.8839549974856231,1.091845504727915,-1.725477633353539,0.09162238596090205
"age_grp(25,35]:prior_userTRUE",-1.297688491082671,0.8023945106036078,-1.617269901443461,0.11313358383140866
"age_grp(35,50]:prior_userTRUE",0.12441085523518722,0.3559113289541792,0.34955576042145076,0.7267284728358204
