"edu","urban","percent"
"0","0",0.819466810545957
"1","0",0.00073616102871016
"2","0",0.00708215129483518
"3","0",0.0246591065616086
"4","0",0.0118224901167129
"5","0",0.00818196367445139
"6","0",0.0572611249278401
"7","0",0.00282826449807051
"8","0",0.00370218680942153
"9","0",0.0190954278775817
"10","0",0.00605491963396313
"11","0",0.00100858964617439
"12","0",0.0280040084302636
"13","0",0.00132402841900638
"14","0",0.000759693976519319
"15","0",0.00801307255888349
"16","0",0
"17","0",0
"18","0",0
"0","1",0.408813211206928
"1","1",0
"2","1",0.00694710986377659
"3","1",0.0149923418137068
"4","1",0.0111115005251238
"5","1",0.0114545378732123
"6","1",0.075964311200623
"7","1",0
"8","1",0.0147974416717644
"9","1",0.0548054389401037
"10","1",0.0150543262065808
"11","1",0.0110330247533156
"12","1",0.163641232573525
"13","1",0.0150245382059153
"14","1",0.0689781459581962
"15","1",0.0689709642097301
"16","1",0.0537727542136468
"17","1",0.00129759840676402
"18","1",0.00334152237708705
