"age","edu","parity","cum.percent"
15,18,"0",0
16,18,"0",0
17,18,"0",0
18,18,"0",0
19,18,"0",0
20,18,"0",0
21,18,"0",0
22,18,"0",0
23,18,"0",0
24,18,"0",0
25,18,"0",0
26,18,"0",0
27,18,"0",NA
28,18,"0",0
29,18,"0",0
30,18,"0",0
31,18,"0",0
32,18,"0",0
33,18,"0",0
34,18,"0",0
35,18,"0",0
36,18,"0",0
37,18,"0",NA
38,18,"0",0
39,18,"0",NA
40,18,"0",0
41,18,"0",NA
42,18,"0",0
43,18,"0",NA
44,18,"0",NA
45,18,"0",0
46,18,"0",NA
47,18,"0",NA
48,18,"0",NA
49,18,"0",NA
15,18,"1",0
16,18,"1",0
17,18,"1",0
18,18,"1",0
19,18,"1",0
20,18,"1",0
21,18,"1",0
22,18,"1",0
23,18,"1",0
24,18,"1",0
25,18,"1",0
26,18,"1",0
27,18,"1",0
28,18,"1",0
29,18,"1",0
30,18,"1",0
31,18,"1",0
32,18,"1",0
33,18,"1",0
34,18,"1",0
35,18,"1",0
36,18,"1",NA
37,18,"1",0
38,18,"1",0
39,18,"1",0
40,18,"1",NA
41,18,"1",NA
42,18,"1",NA
43,18,"1",0
44,18,"1",NA
45,18,"1",0
46,18,"1",NA
47,18,"1",NA
48,18,"1",NA
49,18,"1",NA
15,18,"2",NA
16,18,"2",NA
17,18,"2",0
18,18,"2",0
19,18,"2",0
20,18,"2",0
21,18,"2",0
22,18,"2",0
23,18,"2",0
24,18,"2",0
25,18,"2",0
26,18,"2",0
27,18,"2",0
28,18,"2",0
29,18,"2",0
30,18,"2",0
31,18,"2",0
32,18,"2",0
33,18,"2",NA
34,18,"2",0
35,18,"2",0
36,18,"2",0
37,18,"2",0
38,18,"2",0
39,18,"2",0
40,18,"2",0
41,18,"2",0
42,18,"2",0
43,18,"2",NA
44,18,"2",0
45,18,"2",0
46,18,"2",NA
47,18,"2",0
48,18,"2",0
49,18,"2",NA
15,18,"3",NA
16,18,"3",NA
17,18,"3",NA
18,18,"3",NA
19,18,"3",0
20,18,"3",0
21,18,"3",0
22,18,"3",0
23,18,"3",0
24,18,"3",0
25,18,"3",0
26,18,"3",0
27,18,"3",0
28,18,"3",0
29,18,"3",0
30,18,"3",0
31,18,"3",0
32,18,"3",0
33,18,"3",0
34,18,"3",0
35,18,"3",0
36,18,"3",0
37,18,"3",0
38,18,"3",0
39,18,"3",0
40,18,"3",0
41,18,"3",0
42,18,"3",0
43,18,"3",0
44,18,"3",NA
45,18,"3",0
46,18,"3",0
47,18,"3",0
48,18,"3",0
49,18,"3",0
15,18,"4",NA
16,18,"4",NA
17,18,"4",NA
18,18,"4",NA
19,18,"4",NA
20,18,"4",NA
21,18,"4",0
22,18,"4",0
23,18,"4",0
24,18,"4",0
25,18,"4",0
26,18,"4",0
27,18,"4",0
28,18,"4",0
29,18,"4",0
30,18,"4",0
31,18,"4",0
32,18,"4",0
33,18,"4",0
34,18,"4",0
35,18,"4",0
36,18,"4",0.239481128908225
37,18,"4",0
38,18,"4",0
39,18,"4",0
40,18,"4",0
41,18,"4",NA
42,18,"4",0
43,18,"4",0
44,18,"4",0
45,18,"4",0
46,18,"4",0
47,18,"4",0
48,18,"4",0
49,18,"4",NA
15,18,"5",NA
16,18,"5",NA
17,18,"5",NA
18,18,"5",NA
19,18,"5",NA
20,18,"5",NA
21,18,"5",NA
22,18,"5",NA
23,18,"5",0
24,18,"5",0
25,18,"5",0
26,18,"5",0
27,18,"5",0
28,18,"5",0
29,18,"5",0
30,18,"5",0
31,18,"5",0
32,18,"5",0
33,18,"5",0
34,18,"5",0
