"postpartum","From","n","age_grp","Pill","IUD","Injectable","Condom","F.sterilization","Withdrawal","Implant","Other.trad","Other.mod","group"
0,"None",3.707259,"<18",0,0,0.520195648591048,0,0,0,0.479804351408952,0,0,"grp0<18"
0,"None",7.815122,"18-20",0.414750914956926,0,0.461866494214678,0,0,0,0,0.123382590828397,0,"grp018-20"
0,"None",33.790019,"20-25",0.116168061343795,0.0438293035585449,0.448127981224278,0.0782894499112297,0,0.0911405820754347,0.17626995119476,0.0461746706919579,0,"grp020-25"
0,"None",78.863154,"25-35",0.155454510480268,0.117750870070451,0.363494034235557,0.0239142730710466,0,0,0.263699154106872,0.0602022206720264,0.0154849373637783,"grp025-35"
0,"None",21.329948,">35",0.10908474788593,0.229951802976735,0.216446472349581,0,0,0.0518323345185839,0.24624649811617,0.089185730785654,0.0572524133673462,"grp0>35"
0,"Pill",0,"<18",0,0,1,0,0,0,0,0,0,"grp0<18"
0,"Pill",0.20054,"18-20",0,0,1,0,0,0,0,0,0,"grp018-25"
0,"Pill",6.277983,"20-25",0,0,0,0.162859631827611,0,0.504125767782423,0.131813832563739,0.201200767826227,0,"grp020-25"
0,"Pill",1.56275,"25-35",0,0,0,0,0,0,0,1,0,"grp025-35"0
0,"Pill",22.068402,">35",0,0.0498467446804712,0.168088745166052,0,0,0,0.153598525167341,0.628465984986135,0,"grp0>35"
0,"IUD",0,"<18",0,0,0,0,0,1,0,0,0,"grp0<18"
0,"IUD",0,"18-20",0,0,0,0,0,1,0,0,0,"grp018-20"
0,"IUD",0.81696,"20-25",0,0,0,0,0,1,0,0,0,"grp020-25"
0,"IUD",0,"25-35",0,0,0,0,0,1,0,0,0,"grp025-35"
0,"IUD",2.990877,">35",0,0,0.150269970981756,0.392330410110479,0,0,0.199565879840595,0,0.25783373906717,"grp0>35"
0,"Injectable",0,"<18",1,0,0,0,0,0,0,0,0,"grp0<18"
0,"Injectable",0,"18-20",1,0,0,0,0,0,0,0,0,"grp018-20"
0,"Injectable",4.233279,"20-25",0.451883988747257,0,0,0,0,0,0.486655143684128,0.0614608675686152,0,"grp020-25"
