year,crude_death_rate
1950,27.513
1951,27.362
1952,27.259
1953,27.167
1954,27.041
1955,27.012
1956,26.939
1957,26.876
1958,26.734
1959,26.588
1960,26.457
1961,26.286
1962,26.165
1963,26.016
1964,25.89
1965,25.698
1966,25.598
1967,26.356
1968,25.297
1969,25.049
1970,24.206
1971,23.752
1972,23.228
1973,22.804
1974,22.315
1975,21.906
1976,21.0
1977,20.5
1978,20.12
1979,19.778
1980,19.526
1981,19.201
1982,19.034
1983,19.034
1984,18.937
1985,18.928
1986,18.984
1987,18.926
1988,18.89
1989,18.848
1990,18.855
1991,18.972
1992,18.851
1993,18.675
1994,18.65
1995,18.535
1996,18.513
1997,18.358
1998,18.153
1999,17.803
2000,17.439
2001,17.149
2002,16.799
2003,16.37
2004,15.986
2005,15.692
2006,15.43
2007,15.067
2008,14.801
2009,14.554
2010,14.36
2011,14.203
2012,14.019
2013,13.864
2014,13.736
2015,13.656
2016,13.408
2017,13.192
2018,12.952
2019,12.679
2020,12.586
2021,12.306
2022,11.953
2023,11.74
2024,11.641
2025,11.558
2026,11.47
2027,11.391
2028,11.316
2029,11.254
2030,11.197
