"wt","age","afb"
1.263135,29,17
1.263135,16,Inf
1.263135,32,24
1.263135,32,21
1.263135,22,Inf
1.263135,16,Inf
1.263135,41,22
1.263135,17,Inf
1.263135,28,22
1.263135,31,20
1.263135,17,Inf
1.263135,32,Inf
1.263135,24,22
1.263135,45,29
1.263135,31,27
1.263135,31,Inf
1.263135,45,24
1.263135,15,Inf
1.263135,26,23
1.263135,20,Inf
1.263135,29,Inf
1.263135,28,22
1.263135,37,21
1.263135,31,25
1.263135,37,24
1.263135,20,Inf
1.263135,17,Inf
2.252123,36,29
2.252123,41,25
2.252123,40,17
2.252123,22,Inf
2.252123,15,Inf
2.252123,19,Inf
2.252123,45,16
2.252123,35,25
2.252123,26,19
2.252123,49,28
2.252123,17,Inf
2.252123,15,Inf
2.252123,38,33
2.252123,38,31
2.252123,27,16
2.252123,24,Inf
2.252123,41,28
2.252123,21,Inf
2.252123,19,Inf
2.252123,17,Inf
2.252123,33,24
2.252123,26,25
2.252123,30,24
2.252123,30,20
2.252123,32,21
2.252123,44,Inf
1.418838,30,23
1.418838,37,30
1.418838,16,Inf
1.418838,32,18
1.418838,40,26
1.418838,34,31
1.418838,32,20
1.418838,38,Inf
1.418838,33,26
1.418838,26,25
1.418838,18,Inf
1.418838,22,Inf
1.418838,18,Inf
1.418838,36,18
1.418838,27,23
1.418838,24,Inf
1.418838,32,25
1.418838,29,Inf
1.418838,43,27
1.418838,18,Inf
1.418838,42,30
1.418838,49,24
1.418838,24,Inf
1.418838,31,17
1.418838,20,19
1.418838,33,17
1.418838,39,18
1.418838,18,Inf
1.418838,16,Inf
1.418838,33,24
1.418838,37,24
1.418838,32,28
1.418838,15,Inf
1.508923,31,26
1.508923,48,25
1.508923,22,Inf
1.508923,20,Inf
1.508923,25,Inf
1.508923,30,28
1.508923,25,Inf
1.508923,21,Inf
1.508923,17,Inf
1.508923,31,25
1.508923,26,19
1.508923,19,17
1.508923,35,15
1.508923,32,14
1.508923,35,21
1.508923,38,28
1.508923,28,12
1.508923,40,22
1.508923,17,Inf
1.508923,28,21
1.508923,35,20
1.508923,38,15
1.508923,33,24
1.508923,31,Inf
1.508923,18,Inf
1.508923,34,19
1.508923,32,20
1.508923,36,18
1.508923,16,Inf
1.508923,26,17
2.498535,31,17
2.498535,46,27
2.498535,16,Inf
2.498535,37,22
2.498535,17,Inf
2.498535,18,Inf
2.498535,25,21
2.498535,34,19
2.498535,19,Inf
2.498535,36,29
2.498535,39,32
2.498535,32,27
2.498535,30,24
2.498535,26,Inf
2.498535,45,13
2.498535,22,21
2.498535,18,Inf
2.498535,33,17
2.498535,15,Inf
2.498535,35,30
2.498535,17,Inf
2.498535,42,31
2.498535,32,Inf
2.498535,30,28
2.498535,37,23
2.498535,47,31
2.498535,24,Inf
2.498535,35,27
2.498535,45,27
2.498535,16,Inf
2.498535,31,Inf
2.498535,19,Inf
1.889649,36,Inf
1.889649,37,25
1.889649,35,17
1.889649,26,Inf
1.889649,29,26
1.889649,42,26
1.889649,15,Inf
1.889649,35,25
1.889649,37,Inf
1.889649,24,20
1.889649,41,24
1.889649,38,30
1.889649,44,28
1.889649,41,26
1.889649,15,Inf
1.889649,41,31
1.889649,20,Inf
1.889649,18,Inf
1.889649,48,25
1.889649,21,Inf
1.889649,44,28
1.889649,37,31
1.889649,39,28
1.889649,16,Inf
1.889649,32,28
1.889649,34,Inf
1.749932,47,42
1.749932,31,Inf
1.749932,23,Inf
1.749932,33,23
1.749932,40,Inf
1.749932,46,25
1.749932,20,Inf
1.749932,39,22
1.749932,47,17
1.749932,30,17
1.749932,17,Inf
1.749932,39,24
1.749932,30,Inf
1.749932,20,Inf
1.749932,16,Inf
1.749932,43,32
1.749932,41,19
1.749932,26,20
